,nodeID,parentNode,dataSetFilters,evaluated,nodeFeature,nodePrediction,childrenNodes,gainOrMSE,treeLevel,pruned,isLeaf
0,0,-1,{},True,CACH,87.52380952380952,"{'belowMean': 1, 'aboveMean': 2}",6515.409941782355,0,False,False
1,1,0,{'CACH': 'belowMean'},True,CHMIN,32.49090909090909,"{'belowMean': 3, 'aboveMean': 4}",302.5108225108225,1,True,True
2,2,0,{'CACH': 'aboveMean'},True,CHMAX,191.89655172413796,"{'belowMean': 5, 'aboveMean': 6}",13005.413444792755,1,False,False
3,3,1,"{'CACH': 'belowMean', 'CHMIN': 'belowMean'}",True,MMAX,30.33333333333333,"{'belowMean': 7, 'aboveMean': 8}",201.4920634920635,2,False,False
4,4,1,"{'CACH': 'belowMean', 'CHMIN': 'aboveMean'}",True,CHMAX,47.285714285714285,"{'belowMean': 9, 'aboveMean': 10}",116.76190476190476,2,True,True
5,5,2,"{'CACH': 'aboveMean', 'CHMAX': 'belowMean'}",True,MMIN,99.36363636363636,"{'aboveMean': 11, 'belowMean': 12}",926.5939393939392,2,False,False
6,6,2,"{'CACH': 'aboveMean', 'CHMAX': 'aboveMean'}",True,CHMIN,248.44444444444449,"{'aboveMean': 13, 'belowMean': 14}",17430.814814814818,2,False,False
7,7,3,"{'CACH': 'belowMean', 'CHMIN': 'belowMean', 'MMAX': 'belowMean'}",True,CHMAX,27.73809523809524,"{'belowMean': 15, 'aboveMean': 16}",191.46435006435007,3,False,False
8,8,3,"{'CACH': 'belowMean', 'CHMIN': 'belowMean', 'MMAX': 'aboveMean'}",True,CHMAX,48.5,"{'aboveMean': 17, 'belowMean': 18}",103.91666666666669,3,False,False
9,9,4,"{'CACH': 'belowMean', 'CHMIN': 'aboveMean', 'CHMAX': 'belowMean'}",True,,105.0,{},0.0,3,False,True
10,10,4,"{'CACH': 'belowMean', 'CHMIN': 'aboveMean', 'CHMAX': 'aboveMean'}",True,MYCT,37.66666666666666,"{'aboveMean': 19, 'belowMean': 20}",128.20000000000002,3,True,True
11,11,5,"{'CACH': 'aboveMean', 'CHMAX': 'belowMean', 'MMIN': 'aboveMean'}",True,CHMIN,148.6,"{'belowMean': 21, 'aboveMean': 22}",498.2333333333333,3,False,False
12,12,5,"{'CACH': 'aboveMean', 'CHMAX': 'belowMean', 'MMIN': 'belowMean'}",True,MMAX,58.333333333333336,"{'aboveMean': 23, 'belowMean': 24}",141.77777777777777,3,False,False
13,13,6,"{'CACH': 'aboveMean', 'CHMAX': 'aboveMean', 'CHMIN': 'aboveMean'}",True,MMAX,267.0,"{'aboveMean': 25, 'belowMean': 26}",17505.813333333335,3,False,False
14,14,6,"{'CACH': 'aboveMean', 'CHMAX': 'aboveMean', 'CHMIN': 'belowMean'}",True,MMAX,155.66666666666666,{'aboveMean': 27},572.2222222222223,3,False,False
15,15,7,"{'CACH': 'belowMean', 'CHMIN': 'belowMean', 'MMAX': 'belowMean', 'CHMAX': 'belowMean'}",True,MMIN,26.37837837837838,"{'belowMean': 28, 'aboveMean': 29}",191.13513513513516,4,False,False
16,16,7,"{'CACH': 'belowMean', 'CHMIN': 'belowMean', 'MMAX': 'belowMean', 'CHMAX': 'aboveMean'}",True,MYCT,37.8,"{'belowMean': 30, 'aboveMean': 31}",175.35,4,False,False
17,17,8,"{'CACH': 'belowMean', 'CHMIN': 'belowMean', 'MMAX': 'aboveMean', 'CHMAX': 'aboveMean'}",True,MMIN,36.5,{'belowMean': 32},2.25,4,False,False
18,18,8,"{'CACH': 'belowMean', 'CHMIN': 'belowMean', 'MMAX': 'aboveMean', 'CHMAX': 'belowMean'}",True,MMIN,54.5,"{'belowMean': 33, 'aboveMean': 34}",130.66666666666666,4,False,False
19,19,10,"{'CACH': 'belowMean', 'CHMIN': 'aboveMean', 'CHMAX': 'aboveMean', 'MYCT': 'aboveMean'}",True,,44.0,{},0.0,4,False,True
20,20,10,"{'CACH': 'belowMean', 'CHMIN': 'aboveMean', 'CHMAX': 'aboveMean', 'MYCT': 'belowMean'}",True,MMIN,36.4,"{'belowMean': 35, 'aboveMean': 36}",150.95,4,False,False
21,21,11,"{'CACH': 'aboveMean', 'CHMAX': 'belowMean', 'MMIN': 'aboveMean', 'CHMIN': 'belowMean'}",True,MMAX,118.66666666666669,{'aboveMean': 37},550.2222222222222,4,False,False
22,22,11,"{'CACH': 'aboveMean', 'CHMAX': 'belowMean', 'MMIN': 'aboveMean', 'CHMIN': 'aboveMean'}",True,MMAX,193.5,{'aboveMean': 38},420.25,4,False,False
23,23,12,"{'CACH': 'aboveMean', 'CHMAX': 'belowMean', 'MMIN': 'belowMean', 'MMAX': 'aboveMean'}",True,CHMIN,63.0,"{'aboveMean': 39, 'belowMean': 40}",20.166666666666668,4,False,False
24,24,12,"{'CACH': 'aboveMean', 'CHMAX': 'belowMean', 'MMIN': 'belowMean', 'MMAX': 'belowMean'}",True,MYCT,53.66666666666666,"{'belowMean': 41, 'aboveMean': 42}",150.0,4,False,False
25,25,13,"{'CACH': 'aboveMean', 'CHMAX': 'aboveMean', 'CHMIN': 'aboveMean', 'MMAX': 'aboveMean'}",True,MMIN,307.6,{'aboveMean': 43},19423.84,4,False,False
26,26,13,"{'CACH': 'aboveMean', 'CHMAX': 'aboveMean', 'CHMIN': 'aboveMean', 'MMAX': 'belowMean'}",True,MMIN,185.8,"{'aboveMean': 44, 'belowMean': 45}",1483.7333333333331,4,False,False
27,27,14,"{'CACH': 'aboveMean', 'CHMAX': 'aboveMean', 'CHMIN': 'belowMean', 'MMAX': 'aboveMean'}",True,MMIN,155.66666666666666,{'belowMean': 46},572.2222222222223,4,False,False
28,28,15,"{'CACH': 'belowMean', 'CHMIN': 'belowMean', 'MMAX': 'belowMean', 'CHMAX': 'belowMean', 'MMIN': 'belowMean'}",True,,26.0,{},0.0,5,False,True
29,29,15,"{'CACH': 'belowMean', 'CHMIN': 'belowMean', 'MMAX': 'belowMean', 'CHMAX': 'belowMean', 'MMIN': 'aboveMean'}",True,,33.0,{},0.0,5,False,True
30,30,16,"{'CACH': 'belowMean', 'CHMIN': 'belowMean', 'MMAX': 'belowMean', 'CHMAX': 'aboveMean', 'MYCT': 'belowMean'}",True,,37.75,{},0.0,5,False,True
31,31,16,"{'CACH': 'belowMean', 'CHMIN': 'belowMean', 'MMAX': 'belowMean', 'CHMAX': 'aboveMean', 'MYCT': 'aboveMean'}",True,,38.0,{},0.0,5,False,True
32,32,17,"{'CACH': 'belowMean', 'CHMIN': 'belowMean', 'MMAX': 'aboveMean', 'CHMAX': 'aboveMean', 'MMIN': 'belowMean'}",True,,36.5,{},0.0,5,False,True
33,33,18,"{'CACH': 'belowMean', 'CHMIN': 'belowMean', 'MMAX': 'aboveMean', 'CHMAX': 'belowMean', 'MMIN': 'belowMean'}",True,,57.333333333333336,{},0.0,5,False,True
34,34,18,"{'CACH': 'belowMean', 'CHMIN': 'belowMean', 'MMAX': 'aboveMean', 'CHMAX': 'belowMean', 'MMIN': 'aboveMean'}",True,,46.0,{},0.0,5,False,True
35,35,20,"{'CACH': 'belowMean', 'CHMIN': 'aboveMean', 'CHMAX': 'aboveMean', 'MYCT': 'belowMean', 'MMIN': 'belowMean'}",True,,37.25,{},0.0,5,False,True
36,36,20,"{'CACH': 'belowMean', 'CHMIN': 'aboveMean', 'CHMAX': 'aboveMean', 'MYCT': 'belowMean', 'MMIN': 'aboveMean'}",True,,33.0,{},0.0,5,False,True
37,37,21,"{'CACH': 'aboveMean', 'CHMAX': 'belowMean', 'MMIN': 'aboveMean', 'CHMIN': 'belowMean', 'MMAX': 'aboveMean'}",True,,118.66666666666669,{},0.0,5,False,True
38,38,22,"{'CACH': 'aboveMean', 'CHMAX': 'belowMean', 'MMIN': 'aboveMean', 'CHMIN': 'aboveMean', 'MMAX': 'aboveMean'}",True,,193.5,{},0.0,5,False,True
39,39,23,"{'CACH': 'aboveMean', 'CHMAX': 'belowMean', 'MMIN': 'belowMean', 'MMAX': 'aboveMean', 'CHMIN': 'aboveMean'}",True,,59.5,{},0.0,5,False,True
40,40,23,"{'CACH': 'aboveMean', 'CHMAX': 'belowMean', 'MMIN': 'belowMean', 'MMAX': 'aboveMean', 'CHMIN': 'belowMean'}",True,,70.0,{},0.0,5,False,True
41,41,24,"{'CACH': 'aboveMean', 'CHMAX': 'belowMean', 'MMIN': 'belowMean', 'MMAX': 'belowMean', 'MYCT': 'belowMean'}",True,,47.0,{},0.0,5,False,True
42,42,24,"{'CACH': 'aboveMean', 'CHMAX': 'belowMean', 'MMIN': 'belowMean', 'MMAX': 'belowMean', 'MYCT': 'aboveMean'}",True,,67.0,{},0.0,5,False,True
43,43,25,"{'CACH': 'aboveMean', 'CHMAX': 'aboveMean', 'CHMIN': 'aboveMean', 'MMAX': 'aboveMean', 'MMIN': 'aboveMean'}",True,,307.6,{},0.0,5,False,True
