,nodeID,parentNode,dataSetFilters,evaluated,nodeFeature,nodePrediction,childrenNodes,gainOrMSE,treeLevel,pruned,isLeaf
0,0,-1,{},True,MMIN,101.79761904761905,"{'belowMean': 1, 'aboveMean': 2}",13817.316617452398,0,False,False
1,1,0,{'MMIN': 'belowMean'},True,CACH,50.80327868852459,"{'belowMean': 3, 'aboveMean': 4}",1437.210611028316,1,False,False
2,2,0,{'MMIN': 'aboveMean'},True,CHMAX,237.04347826086956,"{'aboveMean': 5, 'belowMean': 6}",33037.03853754941,1,False,False
3,3,1,"{'MMIN': 'belowMean', 'CACH': 'belowMean'}",True,MMAX,38.76,"{'belowMean': 7, 'aboveMean': 8}",439.36996677740865,2,False,False
4,4,1,"{'MMIN': 'belowMean', 'CACH': 'aboveMean'}",True,CHMAX,105.54545454545455,"{'belowMean': 9, 'aboveMean': 10}",2923.6006493506497,2,False,False
5,5,2,"{'MMIN': 'aboveMean', 'CHMAX': 'aboveMean'}",True,MMAX,350.8181818181818,"{'belowMean': 11, 'aboveMean': 12}",37297.77272727273,2,False,False
6,6,2,"{'MMIN': 'aboveMean', 'CHMAX': 'belowMean'}",True,CHMIN,132.75,"{'belowMean': 13, 'aboveMean': 14}",2045.0729166666667,2,False,False
7,7,3,"{'MMIN': 'belowMean', 'CACH': 'belowMean', 'MMAX': 'belowMean'}",True,CHMAX,33.30232558139535,"{'belowMean': 15, 'aboveMean': 16}",342.38953488372096,3,False,False
8,8,3,"{'MMIN': 'belowMean', 'CACH': 'belowMean', 'MMAX': 'aboveMean'}",True,CHMIN,72.28571428571429,"{'belowMean': 17, 'aboveMean': 18}",840.0,3,False,False
9,9,4,"{'MMIN': 'belowMean', 'CACH': 'aboveMean', 'CHMAX': 'belowMean'}",True,CHMIN,43.25,"{'belowMean': 19, 'aboveMean': 20}",25.166666666666668,3,False,False
10,10,4,"{'MMIN': 'belowMean', 'CACH': 'aboveMean', 'CHMAX': 'aboveMean'}",True,CHMIN,141.14285714285714,"{'belowMean': 21, 'aboveMean': 22}",4399.630952380952,3,False,False
11,11,5,"{'MMIN': 'aboveMean', 'CHMAX': 'aboveMean', 'MMAX': 'belowMean'}",True,CACH,75.0,"{'belowMean': 23, 'aboveMean': 24}",308.1666666666667,3,False,False
12,12,5,"{'MMIN': 'aboveMean', 'CHMAX': 'aboveMean', 'MMAX': 'aboveMean'}",True,CACH,454.25,{'aboveMean': 25},50853.6875,3,False,False
13,13,6,"{'MMIN': 'aboveMean', 'CHMAX': 'belowMean', 'CHMIN': 'belowMean'}",True,CACH,89.5,"{'aboveMean': 26, 'belowMean': 27}",252.66666666666666,3,False,False
14,14,6,"{'MMIN': 'aboveMean', 'CHMAX': 'belowMean', 'CHMIN': 'aboveMean'}",True,CACH,154.375,"{'aboveMean': 28, 'belowMean': 29}",2074.354166666667,3,False,False
