,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,Class
72,175.0,256.0,2000.0,0.0,3.0,24.0,22
163,56.0,4000.0,12000.0,0.0,1.0,8.0,42
95,26.0,16000.0,32000.0,64.0,16.0,24.0,465
97,26.0,8000.0,32000.0,0.0,8.0,24.0,277
121,17.0,4000.0,16000.0,32.0,6.0,12.0,133
170,200.0,1000.0,2000.0,0.0,1.0,2.0,25
116,180.0,2000.0,16000.0,16.0,1.0,6.0,66
146,60.0,4000.0,16000.0,64.0,5.0,8.0,93
4,29.0,8000.0,16000.0,32.0,8.0,16.0,132
48,320.0,512.0,8000.0,4.0,1.0,5.0,40
63,75.0,2000.0,8000.0,64.0,1.0,38.0,144
29,320.0,256.0,5000.0,4.0,1.0,6.0,27
85,140.0,2000.0,4000.0,0.0,3.0,6.0,29
119,25.0,2000.0,12000.0,16.0,3.0,5.0,66
0,125.0,256.0,6000.0,256.0,16.0,128.0,198
172,200.0,2000.0,8000.0,64.0,1.0,5.0,41
54,110.0,1000.0,4000.0,16.0,1.0,2.0,26
90,140.0,2000.0,32000.0,32.0,1.0,54.0,141
123,1500.0,768.0,2000.0,0.0,0.0,0.0,18
196,50.0,2000.0,32000.0,112.0,52.0,104.0,307
45,133.0,1000.0,8000.0,9.0,3.0,12.0,72
53,200.0,1000.0,8000.0,0.0,1.0,2.0,36
9,23.0,32000.0,64000.0,128.0,32.0,64.0,1144
129,50.0,2000.0,16000.0,24.0,1.0,6.0,80
25,320.0,512.0,2000.0,4.0,1.0,3.0,69
47,810.0,1000.0,5000.0,0.0,1.0,1.0,20
2,29.0,8000.0,32000.0,32.0,8.0,32.0,220
18,143.0,1000.0,2000.0,0.0,5.0,16.0,31
11,400.0,512.0,3500.0,4.0,1.0,6.0,40
147,50.0,4000.0,16000.0,64.0,5.0,10.0,111
28,320.0,512.0,5000.0,4.0,1.0,5.0,77
158,84.0,1000.0,2000.0,0.0,1.0,6.0,12
84,330.0,1000.0,4000.0,0.0,3.0,6.0,22
12,60.0,2000.0,8000.0,65.0,1.0,8.0,92
182,240.0,512.0,2000.0,8.0,1.0,5.0,11
75,300.0,768.0,12000.0,6.0,6.0,24.0,50
103,1100.0,768.0,2000.0,0.0,1.0,1.0,13
46,810.0,512.0,512.0,8.0,1.0,1.0,18
40,50.0,1000.0,8000.0,8.0,3.0,5.0,36
143,75.0,4000.0,16000.0,16.0,1.0,6.0,66
148,72.0,4000.0,16000.0,64.0,8.0,16.0,143
13,50.0,4000.0,16000.0,65.0,1.0,8.0,138
