,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,Class
5,26.0,8000.0,32000.0,64.0,8.0,32.0,318
7,23.0,16000.0,32000.0,64.0,16.0,32.0,489
8,23.0,16000.0,64000.0,64.0,16.0,32.0,636
12,60.0,2000.0,8000.0,65.0,1.0,8.0,92
13,50.0,4000.0,16000.0,65.0,1.0,8.0,138
15,200.0,512.0,16000.0,0.0,4.0,32.0,35
18,143.0,1000.0,2000.0,0.0,5.0,16.0,31
19,110.0,5000.0,5000.0,142.0,8.0,64.0,120
26,320.0,256.0,6000.0,0.0,1.0,6.0,33
29,320.0,256.0,5000.0,4.0,1.0,6.0,27
31,25.0,1310.0,2620.0,131.0,12.0,24.0,368
32,50.0,2620.0,10480.0,30.0,12.0,24.0,32
34,56.0,5240.0,20970.0,30.0,12.0,24.0,106
35,64.0,5240.0,20970.0,30.0,12.0,24.0,208
41,50.0,2000.0,16000.0,8.0,3.0,5.0,40
42,50.0,2000.0,16000.0,8.0,3.0,6.0,52
46,810.0,512.0,512.0,8.0,1.0,1.0,18
50,700.0,384.0,8000.0,0.0,1.0,1.0,24
53,200.0,1000.0,8000.0,0.0,1.0,2.0,36
54,110.0,1000.0,4000.0,16.0,1.0,2.0,26
56,220.0,1000.0,8000.0,16.0,1.0,2.0,71
58,800.0,256.0,8000.0,0.0,1.0,4.0,14
60,800.0,256.0,8000.0,0.0,1.0,4.0,16
64,75.0,2000.0,16000.0,64.0,1.0,38.0,144
67,105.0,256.0,2000.0,0.0,3.0,10.0,26
68,105.0,1000.0,4000.0,0.0,3.0,24.0,32
72,175.0,256.0,2000.0,0.0,3.0,24.0,22
74,300.0,768.0,3000.0,6.0,6.0,24.0,44
79,180.0,768.0,12000.0,6.0,1.0,31.0,84
85,140.0,2000.0,4000.0,0.0,3.0,6.0,29
89,140.0,2000.0,8000.0,32.0,1.0,54.0,66
91,140.0,2000.0,32000.0,32.0,1.0,54.0,189
92,140.0,2000.0,4000.0,8.0,1.0,20.0,22
93,57.0,4000.0,16000.0,1.0,6.0,12.0,132
95,26.0,16000.0,32000.0,64.0,16.0,24.0,465
101,115.0,512.0,6000.0,16.0,1.0,6.0,45
103,1100.0,768.0,2000.0,0.0,1.0,1.0,13
104,600.0,768.0,2000.0,0.0,1.0,1.0,16
105,400.0,2000.0,4000.0,0.0,1.0,1.0,32
109,900.0,1000.0,4000.0,4.0,1.0,2.0,18
111,900.0,2000.0,4000.0,0.0,3.0,6.0,37
112,225.0,2000.0,4000.0,8.0,3.0,6.0,40
113,225.0,2000.0,4000.0,8.0,3.0,6.0,34
114,180.0,2000.0,8000.0,8.0,1.0,6.0,50
116,180.0,2000.0,16000.0,16.0,1.0,6.0,66
117,225.0,1000.0,4000.0,2.0,3.0,6.0,24
118,25.0,2000.0,12000.0,8.0,1.0,4.0,49
120,17.0,4000.0,16000.0,8.0,6.0,12.0,100
126,50.0,2000.0,8000.0,8.0,3.0,6.0,45
128,50.0,2000.0,16000.0,24.0,1.0,6.0,70
129,50.0,2000.0,16000.0,24.0,1.0,6.0,80
130,50.0,8000.0,16000.0,48.0,1.0,10.0,136
132,100.0,1000.0,8000.0,24.0,2.0,6.0,26
133,100.0,1000.0,8000.0,24.0,3.0,6.0,32
135,50.0,2000.0,16000.0,24.0,6.0,16.0,54
137,150.0,512.0,4000.0,0.0,8.0,128.0,30
141,92.0,2000.0,8000.0,32.0,1.0,6.0,60
144,60.0,4000.0,16000.0,32.0,1.0,6.0,86
149,72.0,2000.0,8000.0,16.0,6.0,8.0,105
150,40.0,8000.0,16000.0,32.0,8.0,16.0,214
157,112.0,1000.0,1000.0,0.0,1.0,4.0,8
159,56.0,1000.0,4000.0,0.0,1.0,6.0,17
167,38.0,8000.0,16000.0,64.0,4.0,8.0,100
170,200.0,1000.0,2000.0,0.0,1.0,2.0,25
171,200.0,1000.0,4000.0,0.0,1.0,4.0,30
172,200.0,2000.0,8000.0,64.0,1.0,5.0,41
176,160.0,512.0,4000.0,2.0,1.0,5.0,30
177,160.0,512.0,2000.0,2.0,3.0,8.0,32
181,240.0,512.0,1000.0,8.0,1.0,3.0,6
182,240.0,512.0,2000.0,8.0,1.0,5.0,11
184,105.0,2000.0,6000.0,16.0,6.0,16.0,33
185,105.0,2000.0,8000.0,16.0,4.0,14.0,58
187,70.0,4000.0,12000.0,8.0,6.0,8.0,75
188,59.0,4000.0,12000.0,32.0,6.0,12.0,113
189,59.0,8000.0,16000.0,64.0,12.0,24.0,188
190,26.0,8000.0,24000.0,32.0,8.0,16.0,173
194,50.0,2000.0,32000.0,24.0,6.0,26.0,114
195,50.0,2000.0,32000.0,48.0,26.0,52.0,208
197,50.0,4000.0,32000.0,112.0,52.0,104.0,397
202,180.0,262.0,4000.0,0.0,1.0,3.0,18
203,180.0,512.0,4000.0,0.0,1.0,3.0,21
205,98.0,1000.0,8000.0,32.0,2.0,8.0,46
206,125.0,2000.0,8000.0,0.0,2.0,14.0,52
