,handicapped-infants,water-project-cost-sharing,adoption-of-the-budget-resolution,physician-fee-freeze,el-salvador-aid,religious-groups-in-schools,anti-satellite-test-ban,aid-to-nicaraguan-contras,mx-missile,immigration,synfuels-corporation-cutback,education-spending,superfund-right-to-sue,crime,duty-free-exports,export-administration-act-south-africa,Class
1,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,0,republican
7,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,0,1,republican
14,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,0,0,-1,0,republican
38,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican
55,-1,1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,-1,-1,republican
57,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,republican
59,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,0,republican
61,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,republican
65,1,1,-1,1,1,1,1,-1,-1,-1,-1,1,1,1,-1,1,republican
66,-1,1,-1,1,1,1,1,-1,-1,-1,1,1,1,1,-1,1,republican
67,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican
71,1,1,1,1,-1,-1,1,1,1,1,1,-1,-1,1,-1,1,republican
79,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican
82,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,republican
83,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,republican
84,-1,0,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican
86,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican
87,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,republican
89,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,0,1,1,-1,0,republican
106,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,republican
111,-1,0,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,republican
119,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,republican
121,-1,0,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,republican
122,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,-1,1,-1,1,republican
125,-1,0,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,republican
133,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,republican
135,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican
155,1,1,-1,1,1,1,-1,0,-1,-1,1,1,1,1,-1,-1,republican
156,1,1,-1,1,1,1,1,-1,-1,-1,-1,1,1,1,-1,-1,republican
163,-1,1,-1,1,1,1,1,-1,-1,-1,-1,1,1,1,-1,1,republican
167,1,-1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,republican
188,1,0,-1,1,1,1,1,1,-1,-1,-1,1,0,1,0,0,republican
204,-1,-1,1,1,1,1,1,-1,-1,-1,-1,1,1,1,-1,1,republican
207,1,0,-1,1,1,1,1,-1,-1,1,-1,1,1,1,-1,1,republican
217,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican
225,-1,0,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,republican
228,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,0,-1,1,republican
230,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,republican
235,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,-1,1,-1,1,republican
240,-1,-1,-1,1,-1,1,1,0,1,-1,-1,1,1,1,-1,1,republican
273,-1,-1,-1,1,1,-1,1,1,-1,1,-1,1,1,1,0,1,republican
274,1,-1,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,1,1,1,republican
278,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,republican
281,1,-1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,0,republican
282,1,-1,-1,1,1,1,-1,-1,-1,1,-1,0,1,1,-1,-1,republican
283,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,republican
296,-1,-1,1,1,1,1,-1,-1,-1,1,-1,1,1,1,1,1,republican
310,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,1,-1,republican
314,-1,1,-1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,republican
324,-1,1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,-1,republican
339,1,-1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,-1,republican
340,-1,-1,-1,1,1,1,-1,-1,-1,1,1,1,-1,1,-1,1,republican
347,1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican
355,1,-1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,1,1,1,republican
359,-1,-1,-1,1,1,1,-1,-1,-1,1,0,1,1,1,-1,1,republican
363,1,1,-1,1,1,1,-1,-1,-1,1,1,-1,1,-1,-1,-1,republican
364,1,1,-1,1,1,1,-1,-1,-1,-1,1,-1,1,1,-1,1,republican
374,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,republican
377,-1,1,-1,1,1,1,0,0,-1,-1,0,0,1,0,0,0,republican
399,-1,1,-1,1,0,1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican
400,-1,1,-1,1,1,1,-1,0,-1,-1,0,0,0,1,-1,0,republican
402,0,-1,1,1,-1,1,1,1,1,1,-1,1,-1,1,-1,1,republican
403,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,0,1,-1,-1,republican
409,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,republican
410,-1,-1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,1,republican
427,-1,-1,-1,1,1,1,1,1,-1,1,-1,1,1,1,-1,1,republican
432,-1,0,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,1,republican
3,-1,1,1,-1,0,1,-1,-1,-1,-1,1,-1,1,-1,-1,1,democrat
6,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,0,1,1,1,democrat
13,1,1,1,-1,-1,1,1,1,0,1,1,0,-1,-1,1,0,democrat
22,1,0,1,-1,-1,-1,1,1,1,-1,-1,0,-1,-1,1,1,democrat
23,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,democrat
27,1,1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,1,democrat
29,1,1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,1,democrat
41,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,0,democrat
43,1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,democrat
46,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,democrat
48,1,1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,-1,1,democrat
52,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,0,0,democrat
62,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,0,democrat
68,1,0,1,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,democrat
77,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,democrat
81,1,-1,1,-1,-1,-1,1,1,0,1,1,1,-1,1,-1,1,democrat
85,-1,-1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,-1,1,democrat
88,-1,1,1,-1,1,1,1,-1,1,1,1,-1,1,1,-1,1,democrat
104,0,0,0,0,-1,1,1,1,1,1,0,-1,1,1,-1,0,democrat
105,1,1,1,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,1,1,democrat
109,1,0,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,0,democrat
110,-1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,1,democrat
112,-1,0,1,-1,-1,1,1,1,-1,1,-1,-1,-1,-1,1,0,democrat
115,-1,0,1,-1,0,0,1,1,1,1,0,0,-1,-1,1,1,democrat
118,-1,1,1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,1,1,democrat
124,-1,0,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,democrat
127,-1,0,1,-1,-1,-1,1,1,1,1,1,-1,-1,1,1,1,democrat
137,-1,0,1,-1,-1,1,1,1,1,1,-1,-1,-1,1,1,1,democrat
144,-1,0,-1,-1,-1,1,1,1,1,1,-1,-1,-1,1,-1,0,democrat
151,1,1,0,1,1,1,-1,-1,1,-1,1,0,1,1,-1,-1,democrat
152,-1,1,1,-1,-1,1,-1,1,1,1,1,-1,1,-1,1,1,democrat
153,-1,-1,1,-1,-1,1,1,1,1,1,1,-1,1,1,-1,1,democrat
164,1,1,-1,-1,1,1,-1,-1,-1,1,1,1,1,1,-1,0,democrat
168,-1,-1,1,1,1,1,-1,-1,1,-1,-1,-1,1,1,1,0,democrat
169,1,-1,1,-1,-1,-1,1,1,1,1,1,-1,-1,1,-1,1,democrat
170,1,-1,1,-1,-1,-1,0,1,1,0,-1,-1,-1,-1,1,0,democrat
172,-1,1,1,-1,-1,-1,1,1,1,1,-1,-1,0,-1,1,1,democrat
175,-1,1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,1,democrat
181,-1,-1,1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,1,1,democrat
184,-1,-1,1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,1,1,democrat
187,1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,0,democrat
189,1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,democrat
192,-1,-1,-1,-1,-1,1,1,1,1,-1,1,-1,-1,1,1,1,democrat
193,-1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,democrat
199,1,1,-1,-1,-1,-1,1,1,0,-1,1,-1,-1,-1,1,0,democrat
201,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,democrat
205,-1,-1,1,-1,-1,1,1,1,1,1,-1,1,-1,-1,-1,1,democrat
209,1,1,1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,-1,1,democrat
210,-1,-1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,1,democrat
213,-1,1,1,-1,-1,1,-1,1,1,-1,1,-1,1,-1,1,1,democrat
216,1,1,1,-1,1,1,-1,-1,0,1,-1,-1,-1,1,1,0,democrat
218,1,0,1,-1,-1,-1,1,1,1,-1,0,-1,-1,-1,1,0,democrat
219,-1,1,1,-1,-1,-1,-1,1,1,-1,1,-1,-1,1,1,1,democrat
226,-1,-1,1,-1,-1,1,1,1,1,-1,1,-1,-1,1,1,1,democrat
227,1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,0,1,democrat
232,-1,1,1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,1,0,democrat
236,-1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,democrat
241,1,-1,1,-1,-1,-1,1,1,1,1,1,-1,-1,1,1,1,democrat
244,1,-1,1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,1,1,democrat
246,-1,-1,1,-1,1,-1,1,1,1,-1,-1,-1,-1,1,0,1,democrat
252,1,1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,1,democrat
259,1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,democrat
262,1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,0,-1,1,1,democrat
263,1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,0,democrat
264,1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,0,democrat
265,1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,democrat
268,1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,0,democrat
271,-1,1,1,-1,-1,1,1,1,1,-1,0,-1,-1,-1,-1,1,democrat
275,-1,-1,1,-1,1,1,-1,-1,-1,-1,0,-1,1,1,-1,-1,democrat
284,-1,-1,1,-1,-1,1,1,1,1,1,1,-1,-1,-1,0,1,democrat
286,-1,-1,1,-1,-1,1,0,1,0,1,1,1,-1,1,1,0,democrat
288,1,1,1,-1,1,1,-1,1,-1,1,1,-1,1,1,1,1,democrat
289,1,1,1,-1,1,1,-1,1,-1,1,1,-1,1,1,-1,0,democrat
292,1,-1,1,-1,-1,1,1,1,-1,1,1,-1,1,1,1,1,democrat
294,-1,1,1,-1,-1,1,1,1,-1,1,1,-1,1,1,-1,0,democrat
307,1,-1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,-1,0,democrat
309,1,-1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,1,1,1,democrat
316,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,1,1,1,1,-1,democrat
320,-1,1,1,-1,-1,1,-1,1,1,1,-1,-1,1,1,-1,1,democrat
328,1,1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,-1,1,democrat
336,-1,-1,1,-1,-1,1,1,1,-1,-1,1,-1,-1,1,0,1,democrat
337,1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,democrat
338,1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,1,1,1,democrat
342,-1,1,1,-1,1,0,1,-1,-1,1,1,-1,1,-1,1,1,democrat
350,-1,1,-1,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1,democrat
358,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,-1,0,democrat
360,1,-1,1,-1,-1,1,1,1,1,1,-1,-1,1,-1,-1,1,democrat
362,1,1,1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,1,democrat
365,-1,1,-1,-1,1,1,-1,-1,-1,1,1,-1,1,1,-1,-1,democrat
366,1,-1,1,-1,-1,-1,1,1,-1,1,1,-1,-1,-1,-1,0,democrat
372,-1,1,1,1,1,1,-1,-1,-1,-1,1,1,0,1,-1,-1,democrat
373,-1,1,1,0,1,1,-1,1,-1,1,0,-1,1,1,0,1,democrat
376,1,0,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,1,democrat
380,1,1,1,-1,-1,1,0,1,1,-1,1,-1,1,-1,1,1,democrat
381,1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,-1,0,democrat
382,1,1,-1,1,1,1,-1,-1,-1,-1,1,-1,1,1,-1,0,democrat
386,-1,0,1,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1,0,democrat
387,1,1,1,-1,1,1,-1,1,1,-1,1,-1,-1,1,-1,0,democrat
390,0,0,-1,-1,0,1,0,-1,-1,-1,1,1,-1,1,-1,0,democrat
406,1,-1,1,-1,1,1,-1,-1,1,1,-1,-1,1,1,-1,1,democrat
407,-1,-1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,-1,democrat
414,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,democrat
419,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,democrat
421,-1,1,1,-1,1,1,1,1,-1,-1,1,-1,1,-1,1,1,democrat
422,-1,-1,1,-1,-1,1,1,1,1,-1,1,-1,-1,-1,1,1,democrat
425,-1,-1,1,-1,-1,-1,1,1,-1,1,1,-1,-1,-1,1,0,democrat
426,1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,1,democrat
