,handicapped-infants,water-project-cost-sharing,adoption-of-the-budget-resolution,physician-fee-freeze,el-salvador-aid,religious-groups-in-schools,anti-satellite-test-ban,aid-to-nicaraguan-contras,mx-missile,immigration,synfuels-corporation-cutback,education-spending,superfund-right-to-sue,crime,duty-free-exports,export-administration-act-south-africa,Class,leafDecisionNode,leafParentNode,classPrediction,success,treeID
1,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,0,republican,1,0,republican,True,9
10,-1,1,-1,1,1,-1,-1,-1,-1,-1,0,0,1,1,-1,-1,republican,1,0,republican,True,9
14,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,0,0,-1,0,republican,1,0,republican,True,9
15,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,0,-1,0,republican,1,0,republican,True,9
18,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,0,1,1,-1,-1,republican,1,0,republican,True,9
28,1,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,-1,1,republican,1,0,republican,True,9
30,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,republican,1,0,republican,True,9
56,-1,1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,-1,1,republican,1,0,republican,True,9
59,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,0,republican,1,0,republican,True,9
61,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,republican,1,0,republican,True,9
71,1,1,1,1,-1,-1,1,1,1,1,1,-1,-1,1,-1,1,republican,1,0,republican,True,9
79,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican,1,0,republican,True,9
84,-1,0,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican,1,0,republican,True,9
86,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican,1,0,republican,True,9
87,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,republican,1,0,republican,True,9
89,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,0,1,1,-1,0,republican,1,0,republican,True,9
111,-1,0,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,republican,1,0,republican,True,9
113,-1,0,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican,1,0,republican,True,9
126,-1,0,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,republican,1,0,republican,True,9
136,-1,1,-1,1,1,1,-1,-1,-1,1,1,1,1,-1,-1,1,republican,1,0,republican,True,9
