,handicapped-infants,water-project-cost-sharing,adoption-of-the-budget-resolution,physician-fee-freeze,el-salvador-aid,religious-groups-in-schools,anti-satellite-test-ban,aid-to-nicaraguan-contras,mx-missile,immigration,synfuels-corporation-cutback,education-spending,superfund-right-to-sue,crime,duty-free-exports,export-administration-act-south-africa,Class,leafDecisionNode,leafParentNode,classPrediction,success,treeID
10,-1,1,-1,1,1,-1,-1,-1,-1,-1,0,0,1,1,-1,-1,republican,21,17,democrat,False,1
11,-1,1,-1,1,1,1,-1,-1,-1,-1,1,0,1,1,0,0,republican,16,10,republican,True,1
18,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,0,1,1,-1,-1,republican,16,10,republican,True,1
30,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,republican,16,10,republican,True,1
49,-1,0,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,republican,21,17,democrat,False,1
51,-1,1,-1,1,1,1,-1,0,-1,-1,-1,1,1,1,-1,1,republican,16,10,republican,True,1
53,1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican,16,10,republican,True,1
55,-1,1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,-1,-1,republican,21,17,democrat,False,1
56,-1,1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,-1,1,republican,21,17,democrat,False,1
59,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,0,republican,20,17,republican,True,1
65,1,1,-1,1,1,1,1,-1,-1,-1,-1,1,1,1,-1,1,republican,20,17,republican,True,1
67,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican,16,10,republican,True,1
71,1,1,1,1,-1,-1,1,1,1,1,1,-1,-1,1,-1,1,republican,13,9,republican,True,1
73,1,-1,1,1,1,-1,1,-1,1,1,-1,-1,1,1,-1,1,republican,16,10,republican,True,1
79,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican,21,17,democrat,False,1
83,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,republican,16,10,republican,True,1
84,-1,0,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican,21,17,democrat,False,1
86,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican,16,10,republican,True,1
99,-1,-1,-1,1,1,1,-1,-1,-1,1,0,1,1,1,-1,-1,republican,16,10,republican,True,1
107,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,republican,7,2,democrat,False,1
113,-1,0,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican,16,10,republican,True,1
135,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican,16,10,republican,True,1
140,-1,-1,-1,1,-1,-1,1,1,1,1,-1,-1,1,1,-1,1,republican,14,9,republican,True,1
141,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,0,1,republican,21,17,democrat,False,1
146,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,republican,16,10,republican,True,1
150,1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,republican,20,17,republican,True,1
154,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,republican,16,10,republican,True,1
156,1,1,-1,1,1,1,1,-1,-1,-1,-1,1,1,1,-1,-1,republican,16,10,republican,True,1
163,-1,1,-1,1,1,1,1,-1,-1,-1,-1,1,1,1,-1,1,republican,21,17,democrat,False,1
167,1,-1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,republican,16,10,republican,True,1
204,-1,-1,1,1,1,1,1,-1,-1,-1,-1,1,1,1,-1,1,republican,16,10,republican,True,1
206,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,-1,1,-1,1,republican,21,17,democrat,False,1
207,1,0,-1,1,1,1,1,-1,-1,1,-1,1,1,1,-1,1,republican,21,17,democrat,False,1
211,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,republican,21,17,democrat,False,1
224,-1,1,-1,1,1,1,-1,-1,-1,1,-1,0,1,1,-1,-1,republican,21,17,democrat,False,1
228,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,0,-1,1,republican,21,17,democrat,False,1
229,-1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,-1,1,republican,16,10,republican,True,1
230,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,republican,21,17,democrat,False,1
235,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,-1,1,-1,1,republican,21,17,democrat,False,1
240,-1,-1,-1,1,-1,1,1,0,1,-1,-1,1,1,1,-1,1,republican,14,9,republican,True,1
242,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,0,-1,1,1,1,republican,3,0,democrat,False,1
248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,republican,7,2,democrat,False,1
267,1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,1,-1,1,republican,3,0,democrat,False,1
274,1,-1,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,1,1,1,republican,16,10,republican,True,1
281,1,-1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,0,republican,16,10,republican,True,1
282,1,-1,-1,1,1,1,-1,-1,-1,1,-1,0,1,1,-1,-1,republican,21,17,democrat,False,1
283,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,republican,21,17,democrat,False,1
295,-1,1,-1,1,1,1,0,0,-1,1,-1,1,0,0,0,0,republican,16,10,republican,True,1
304,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,0,republican,20,17,republican,True,1
306,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,republican,16,10,republican,True,1
313,-1,1,1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,republican,16,10,republican,True,1
327,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,republican,20,17,republican,True,1
330,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican,21,17,democrat,False,1
340,-1,-1,-1,1,1,1,-1,-1,-1,1,1,1,-1,1,-1,1,republican,16,10,republican,True,1
347,1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican,21,17,democrat,False,1
349,-1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,-1,1,republican,16,10,republican,True,1
369,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,1,republican,20,17,republican,True,1
374,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,republican,16,10,republican,True,1
399,-1,1,-1,1,0,1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican,21,17,democrat,False,1
400,-1,1,-1,1,1,1,-1,0,-1,-1,0,0,0,1,-1,0,republican,16,10,republican,True,1
402,0,-1,1,1,-1,1,1,1,1,1,-1,1,-1,1,-1,1,republican,13,9,republican,True,1
404,1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,republican,16,10,republican,True,1
409,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,republican,16,10,republican,True,1
413,1,1,1,1,1,1,1,1,-1,1,0,0,0,1,-1,1,republican,16,10,republican,True,1
416,1,1,-1,1,1,1,-1,-1,-1,1,-1,-1,1,1,-1,1,republican,20,17,republican,True,1
427,-1,-1,-1,1,1,1,1,1,-1,1,-1,1,1,1,-1,1,republican,20,17,republican,True,1
433,-1,-1,-1,1,1,1,0,0,0,0,-1,1,1,1,-1,1,republican,16,10,republican,True,1
2,0,1,1,0,1,1,-1,-1,-1,-1,1,-1,1,1,-1,-1,democrat,7,2,democrat,True,1
5,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,democrat,3,0,democrat,True,1
9,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,0,0,democrat,3,0,democrat,True,1
