,Unnamed: 0,nodeID,parentNode,dataSetFilters,evaluated,nodeFeature,nodePrediction,childrenNodes,gainOrMSE,treeLevel,pruned,isLeaf
0,0,0,-1,{},True,physician-fee-freeze,democrat,"{1: 1, 0: 2, -1: 3}",0.6727551184055984,0,False,False
1,1,1,0,{'physician-fee-freeze': 1},True,adoption-of-the-budget-resolution,republican,"{-1: 4, 1: 5, 0: 6}",0.1163337960108999,1,True,True
2,2,2,0,{'physician-fee-freeze': 0},True,education-spending,democrat,"{0: 7, -1: 8}",0.9999884024080972,1,True,True
3,3,3,0,{'physician-fee-freeze': -1},True,,democrat,{},0.0,1,False,True
4,4,4,1,"{'physician-fee-freeze': 1, 'adoption-of-the-budget-resolution': -1}",True,el-salvador-aid,republican,"{1: 9, -1: 10}",0.7246234594854882,2,False,False
5,5,5,1,"{'physician-fee-freeze': 1, 'adoption-of-the-budget-resolution': 1}",True,export-administration-act-south-africa,republican,"{1: 11, 0: 12}",0.6674189163992066,2,True,True
6,6,6,1,"{'physician-fee-freeze': 1, 'adoption-of-the-budget-resolution': 0}",True,,democrat,{},0.0,2,False,True
7,7,7,2,"{'physician-fee-freeze': 0, 'education-spending': 0}",True,,republican,{},0.0,2,False,True
8,8,8,2,"{'physician-fee-freeze': 0, 'education-spending': -1}",True,,democrat,{},0.0,2,False,True
9,9,9,4,"{'physician-fee-freeze': 1, 'adoption-of-the-budget-resolution': -1, 'el-salvador-aid': 1}",True,duty-free-exports,republican,"{-1: 13, 1: 14, 0: 15}",0.1337586276664217,3,False,False
10,10,10,4,"{'physician-fee-freeze': 1, 'adoption-of-the-budget-resolution': -1, 'el-salvador-aid': -1}",True,,democrat,{},0.0,3,False,True
11,11,11,5,"{'physician-fee-freeze': 1, 'adoption-of-the-budget-resolution': 1, 'export-administration-act-south-africa': 1}",True,immigration,republican,"{1: 16, -1: 17}",0.3802149550762411,3,False,False
12,12,12,5,"{'physician-fee-freeze': 1, 'adoption-of-the-budget-resolution': 1, 'export-administration-act-south-africa': 0}",True,,democrat,{},0.0,3,False,True
13,13,13,9,"{'physician-fee-freeze': 1, 'adoption-of-the-budget-resolution': -1, 'el-salvador-aid': 1, 'duty-free-exports': -1}",True,,republican,{},0.0,4,False,True
14,14,14,9,"{'physician-fee-freeze': 1, 'adoption-of-the-budget-resolution': -1, 'el-salvador-aid': 1, 'duty-free-exports': 1}",True,anti-satellite-test-ban,republican,"{1: 18, -1: 19}",0.9999851670396316,4,False,False
15,15,15,9,"{'physician-fee-freeze': 1, 'adoption-of-the-budget-resolution': -1, 'el-salvador-aid': 1, 'duty-free-exports': 0}",True,,republican,{},0.0,4,False,True
16,16,16,11,"{'physician-fee-freeze': 1, 'adoption-of-the-budget-resolution': 1, 'export-administration-act-south-africa': 1, 'immigration': 1}",True,,republican,{},0.0,4,False,True
17,17,17,11,"{'physician-fee-freeze': 1, 'adoption-of-the-budget-resolution': 1, 'export-administration-act-south-africa': 1, 'immigration': -1}",True,aid-to-nicaraguan-contras,republican,"{1: 20, -1: 21}",0.9999800684314308,4,False,False
18,18,18,14,"{'physician-fee-freeze': 1, 'adoption-of-the-budget-resolution': -1, 'el-salvador-aid': 1, 'duty-free-exports': 1, 'anti-satellite-test-ban': 1}",True,,republican,{},0.0,5,False,True
19,19,19,14,"{'physician-fee-freeze': 1, 'adoption-of-the-budget-resolution': -1, 'el-salvador-aid': 1, 'duty-free-exports': 1, 'anti-satellite-test-ban': -1}",True,,democrat,{},0.0,5,False,True
20,20,20,17,"{'physician-fee-freeze': 1, 'adoption-of-the-budget-resolution': 1, 'export-administration-act-south-africa': 1, 'immigration': -1, 'aid-to-nicaraguan-contras': 1}",True,,republican,{},0.0,5,False,True
21,21,21,17,"{'physician-fee-freeze': 1, 'adoption-of-the-budget-resolution': 1, 'export-administration-act-south-africa': 1, 'immigration': -1, 'aid-to-nicaraguan-contras': -1}",True,,democrat,{},0.0,5,False,True
