,handicapped-infants,water-project-cost-sharing,adoption-of-the-budget-resolution,physician-fee-freeze,el-salvador-aid,religious-groups-in-schools,anti-satellite-test-ban,aid-to-nicaraguan-contras,mx-missile,immigration,synfuels-corporation-cutback,education-spending,superfund-right-to-sue,crime,duty-free-exports,export-administration-act-south-africa,Class
239,-1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,-1,1,1,1,republican
204,-1,-1,1,1,1,1,1,-1,-1,-1,-1,1,1,1,-1,1,republican
248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,republican
356,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,republican
340,-1,-1,-1,1,1,1,-1,-1,-1,1,1,1,-1,1,-1,1,republican
87,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,republican
66,-1,1,-1,1,1,1,1,-1,-1,-1,1,1,1,1,-1,1,republican
86,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican
51,-1,1,-1,1,1,1,-1,0,-1,-1,-1,1,1,1,-1,1,republican
10,-1,1,-1,1,1,-1,-1,-1,-1,-1,0,0,1,1,-1,-1,republican
409,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,republican
71,1,1,1,1,-1,-1,1,1,1,1,1,-1,-1,1,-1,1,republican
132,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,0,republican
133,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,republican
142,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,-1,1,republican
150,1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,republican
308,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican
59,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,0,republican
89,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,0,1,1,-1,0,republican
