,handicapped-infants,water-project-cost-sharing,adoption-of-the-budget-resolution,physician-fee-freeze,el-salvador-aid,religious-groups-in-schools,anti-satellite-test-ban,aid-to-nicaraguan-contras,mx-missile,immigration,synfuels-corporation-cutback,education-spending,superfund-right-to-sue,crime,duty-free-exports,export-administration-act-south-africa,Class
434,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,0,-1,republican
150,1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,republican
106,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,republican
356,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,republican
15,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,0,-1,0,republican
166,1,-1,1,1,1,1,1,1,-1,1,-1,1,-1,1,1,1,republican
315,-1,1,1,1,1,1,1,0,-1,-1,-1,-1,0,0,1,0,republican
420,1,1,1,1,1,1,1,1,-1,1,-1,-1,1,1,-1,1,republican
305,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican
313,-1,1,1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,republican
308,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican
28,1,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,-1,1,republican
135,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican
86,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican
403,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,0,1,-1,-1,republican
155,1,1,-1,1,1,1,-1,0,-1,-1,1,1,1,1,-1,-1,republican
126,-1,0,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,republican
146,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,republican
33,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,republican
107,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,republican
58,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,republican
1,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,0,republican
283,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,republican
256,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,republican
278,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,republican
224,-1,1,-1,1,1,1,-1,-1,-1,1,-1,0,1,1,-1,-1,republican
71,1,1,1,1,-1,-1,1,1,1,1,1,-1,-1,1,-1,1,republican
267,1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,1,-1,1,republican
229,-1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,-1,1,republican
240,-1,-1,-1,1,-1,1,1,0,1,-1,-1,1,1,1,-1,1,republican
340,-1,-1,-1,1,1,1,-1,-1,-1,1,1,1,-1,1,-1,1,republican
410,-1,-1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,1,republican
377,-1,1,-1,1,1,1,0,0,-1,-1,0,0,1,0,0,0,republican
18,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,0,1,1,-1,-1,republican
13,1,1,1,-1,-1,1,1,1,0,1,1,0,-1,-1,1,0,democrat
216,1,1,1,-1,1,1,-1,-1,0,1,-1,-1,-1,1,1,0,democrat
208,-1,-1,1,-1,-1,-1,1,1,1,-1,-1,0,-1,-1,1,1,democrat
42,1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,democrat
22,1,0,1,-1,-1,-1,1,1,1,-1,-1,0,-1,-1,1,1,democrat
390,0,0,-1,-1,0,1,0,-1,-1,-1,1,1,-1,1,-1,0,democrat
336,-1,-1,1,-1,-1,1,1,1,-1,-1,1,-1,-1,1,0,1,democrat
115,-1,0,1,-1,0,0,1,1,1,1,0,0,-1,-1,1,1,democrat
101,1,-1,1,-1,1,1,1,-1,-1,-1,1,-1,-1,1,-1,1,democrat
138,-1,-1,1,-1,-1,1,1,1,1,1,-1,-1,-1,1,-1,1,democrat
252,1,1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,1,democrat
92,1,1,1,-1,-1,-1,1,1,-1,1,1,-1,-1,0,1,1,democrat
361,1,-1,1,-1,1,1,1,-1,1,1,-1,-1,1,1,-1,0,democrat
172,-1,1,1,-1,-1,-1,1,1,1,1,-1,-1,0,-1,1,1,democrat
110,-1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,1,democrat
424,-1,1,1,-1,-1,0,1,1,1,1,1,-1,0,1,1,1,democrat
102,1,-1,1,-1,1,1,1,-1,0,-1,1,-1,1,1,1,0,democrat
264,1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,0,democrat
105,1,1,1,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,1,1,democrat
213,-1,1,1,-1,-1,1,-1,1,1,-1,1,-1,1,-1,1,1,democrat
371,1,1,1,-1,0,-1,1,1,1,1,-1,-1,-1,-1,1,0,democrat
31,1,1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,0,democrat
428,0,0,0,-1,-1,-1,1,1,1,1,-1,-1,1,-1,1,1,democrat
350,-1,1,-1,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1,democrat
244,1,-1,1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,1,1,democrat
288,1,1,1,-1,1,1,-1,1,-1,1,1,-1,1,1,1,1,democrat
318,-1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,0,democrat
429,1,-1,1,-1,0,-1,1,1,1,1,-1,1,-1,0,1,1,democrat
128,-1,0,1,-1,-1,1,-1,1,-1,1,1,-1,-1,-1,1,1,democrat
193,-1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,democrat
109,1,0,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,0,democrat
312,1,1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,1,democrat
153,-1,-1,1,-1,-1,1,1,1,1,1,1,-1,1,1,-1,1,democrat
294,-1,1,1,-1,-1,1,1,1,-1,1,1,-1,1,1,-1,0,democrat
326,1,1,-1,1,-1,-1,1,1,1,-1,1,-1,-1,1,-1,1,democrat
68,1,0,1,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,democrat
383,1,1,1,-1,1,1,-1,1,1,1,1,-1,-1,-1,-1,1,democrat
269,1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,democrat
321,1,1,1,-1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,1,democrat
159,-1,1,1,-1,0,1,1,1,1,1,1,-1,-1,0,-1,0,democrat
285,-1,-1,1,-1,-1,1,1,1,1,1,1,-1,-1,-1,1,1,democrat
178,0,-1,1,-1,-1,-1,1,1,1,1,1,0,-1,-1,1,0,democrat
232,-1,1,1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,1,0,democrat
262,1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,0,-1,1,1,democrat
93,1,-1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,-1,1,1,democrat
143,0,1,-1,-1,-1,-1,1,1,1,1,1,-1,-1,1,1,1,democrat
299,-1,1,1,-1,-1,1,1,1,1,1,-1,-1,1,1,1,1,democrat
218,1,0,1,-1,-1,-1,1,1,1,-1,0,-1,-1,-1,1,0,democrat
90,1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,1,democrat
62,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,0,democrat
209,1,1,1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,-1,1,democrat
199,1,1,-1,-1,-1,-1,1,1,0,-1,1,-1,-1,-1,1,0,democrat
48,1,1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,-1,1,democrat
