,handicapped-infants,water-project-cost-sharing,adoption-of-the-budget-resolution,physician-fee-freeze,el-salvador-aid,religious-groups-in-schools,anti-satellite-test-ban,aid-to-nicaraguan-contras,mx-missile,immigration,synfuels-corporation-cutback,education-spending,superfund-right-to-sue,crime,duty-free-exports,export-administration-act-south-africa,Class
136,-1,1,-1,1,1,1,-1,-1,-1,1,1,1,1,-1,-1,1,republican
351,-1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,republican
296,-1,-1,1,1,1,1,-1,-1,-1,1,-1,1,1,1,1,1,republican
0,-1,1,-1,1,1,1,-1,-1,-1,1,0,1,1,1,-1,1,republican
66,-1,1,-1,1,1,1,1,-1,-1,-1,1,1,1,1,-1,1,republican
357,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,republican
251,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,republican
355,1,-1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,1,1,1,republican
378,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,republican
106,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,republican
303,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,republican
410,-1,-1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,1,republican
343,-1,-1,-1,1,1,-1,1,-1,1,1,-1,-1,-1,1,-1,1,republican
14,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,0,0,-1,0,republican
133,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,republican
250,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,republican
7,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,0,1,republican
188,1,0,-1,1,1,1,1,1,-1,-1,-1,1,0,1,0,0,republican
166,1,-1,1,1,1,1,1,1,-1,1,-1,1,-1,1,1,1,republican
239,-1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,-1,1,1,1,republican
277,-1,-1,1,1,1,1,1,1,-1,1,-1,-1,-1,1,-1,1,republican
247,-1,1,-1,1,1,1,0,-1,-1,-1,-1,0,1,1,-1,-1,republican
171,-1,0,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,republican
125,-1,0,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,republican
197,-1,0,1,1,1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,republican
403,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,0,1,-1,-1,republican
276,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,-1,republican
142,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,-1,1,republican
315,-1,1,1,1,1,1,1,0,-1,-1,-1,-1,0,0,1,0,republican
302,-1,-1,-1,1,1,1,1,-1,-1,1,-1,1,1,1,-1,1,republican
123,1,0,-1,1,1,1,-1,1,-1,-1,-1,1,1,1,-1,1,republican
58,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,republican
155,1,1,-1,1,1,1,-1,0,-1,-1,1,1,1,1,-1,-1,republican
8,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,republican
28,1,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,-1,1,republican
61,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,republican
38,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican
353,-1,-1,1,1,1,1,1,-1,-1,1,1,1,1,1,-1,1,republican
339,1,-1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,-1,republican
346,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,republican
195,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,0,republican
434,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,0,-1,republican
393,0,0,0,0,-1,1,-1,1,1,-1,-1,1,1,-1,-1,0,republican
89,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,0,1,1,-1,0,republican
36,1,0,-1,1,1,1,-1,-1,-1,1,-1,1,0,1,-1,1,republican
191,-1,1,-1,1,1,1,-1,0,-1,1,-1,1,1,1,-1,0,republican
126,-1,0,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,republican
148,-1,1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,-1,1,republican
37,1,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,1,republican
379,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,republican
314,-1,1,-1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,republican
111,-1,0,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,republican
119,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,republican
401,-1,1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,-1,-1,republican
310,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,1,-1,republican
279,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican
412,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,republican
231,-1,1,-1,1,1,1,-1,-1,1,1,-1,1,1,1,-1,1,republican
308,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican
266,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,-1,1,-1,1,republican
117,1,1,1,1,1,-1,1,-1,-1,-1,-1,1,1,1,-1,1,republican
217,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican
273,-1,-1,-1,1,1,-1,1,1,-1,1,-1,1,1,1,0,1,republican
363,1,1,-1,1,1,1,-1,-1,-1,1,1,-1,1,-1,-1,-1,republican
15,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,0,-1,0,republican
359,-1,-1,-1,1,1,1,-1,-1,-1,1,0,1,1,1,-1,1,republican
158,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican
169,1,-1,1,-1,-1,-1,1,1,1,1,1,-1,-1,1,-1,1,democrat
238,1,1,1,-1,-1,-1,1,1,0,1,-1,-1,-1,-1,1,0,democrat
319,1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,0,democrat
81,1,-1,1,-1,-1,-1,1,1,0,1,1,1,-1,1,-1,1,democrat
124,-1,0,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,democrat
