,handicapped-infants,water-project-cost-sharing,adoption-of-the-budget-resolution,physician-fee-freeze,el-salvador-aid,religious-groups-in-schools,anti-satellite-test-ban,aid-to-nicaraguan-contras,mx-missile,immigration,synfuels-corporation-cutback,education-spending,superfund-right-to-sue,crime,duty-free-exports,export-administration-act-south-africa,Class
1,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,0,republican
11,-1,1,-1,1,1,1,-1,-1,-1,-1,1,0,1,1,0,0,republican
28,1,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,-1,1,republican
30,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,republican
35,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,republican
36,1,0,-1,1,1,1,-1,-1,-1,1,-1,1,0,1,-1,1,republican
37,1,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,1,republican
38,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican
53,1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican
55,-1,1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,-1,-1,republican
57,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,republican
61,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,republican
65,1,1,-1,1,1,1,1,-1,-1,-1,-1,1,1,1,-1,1,republican
67,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican
79,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican
82,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,republican
84,-1,0,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican
99,-1,-1,-1,1,1,1,-1,-1,-1,1,0,1,1,1,-1,-1,republican
106,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,republican
107,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,republican
120,-1,0,0,1,1,1,-1,-1,-1,1,-1,1,1,1,0,1,republican
121,-1,0,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,republican
123,1,0,-1,1,1,1,-1,1,-1,-1,-1,1,1,1,-1,1,republican
125,-1,0,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,republican
134,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,0,republican
136,-1,1,-1,1,1,1,-1,-1,-1,1,1,1,1,-1,-1,1,republican
156,1,1,-1,1,1,1,1,-1,-1,-1,-1,1,1,1,-1,-1,republican
158,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican
163,-1,1,-1,1,1,1,1,-1,-1,-1,-1,1,1,1,-1,1,republican
167,1,-1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,republican
171,-1,0,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,republican
191,-1,1,-1,1,1,1,-1,0,-1,1,-1,1,1,1,-1,0,republican
206,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,-1,1,-1,1,republican
230,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,republican
235,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,-1,1,-1,1,republican
240,-1,-1,-1,1,-1,1,1,0,1,-1,-1,1,1,1,-1,1,republican
250,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,republican
253,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,republican
256,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,republican
257,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,1,0,1,republican
276,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,-1,republican
277,-1,-1,1,1,1,1,1,1,-1,1,-1,-1,-1,1,-1,1,republican
279,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican
324,-1,1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,-1,republican
330,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,republican
335,-1,-1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,-1,0,republican
339,1,-1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,-1,republican
346,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,republican
349,-1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,-1,1,republican
351,-1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,republican
353,-1,-1,1,1,1,1,1,-1,-1,1,1,1,1,1,-1,1,republican
355,1,-1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,1,1,1,republican
357,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,republican
