,X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,Class
442,6,5,4,1,87.9,24.9,41.6,3.7,10.9,64.0,3.1,0.0,1.4701758451005926
45,5,6,9,3,94.3,85.1,692.3,15.9,25.9,24.0,4.0,0.0,0.0
365,6,5,9,2,91.9,111.7,770.3,6.5,19.6,45.0,3.1,0.0,3.0459499897146083
298,8,6,6,3,91.2,147.8,377.2,12.7,19.6,43.0,4.9,0.0,0.0
70,4,5,3,5,91.2,48.3,97.8,12.5,15.8,27.0,7.6,0.0,0.0
107,4,5,8,7,90.2,99.6,631.2,6.3,21.4,33.0,3.1,0.0,0.0
369,4,5,9,7,91.0,276.3,825.1,7.1,13.8,77.0,7.6,0.0,0.0
324,6,5,9,4,88.1,53.3,726.9,5.4,13.7,56.0,1.8,0.0,1.6900958154515549
34,6,3,9,1,91.8,78.5,724.3,9.2,21.2,32.0,2.7,0.0,0.0
182,5,4,2,7,86.8,15.6,48.3,3.9,12.4,53.0,2.2,0.0,1.998773638612381
291,9,4,7,6,91.6,104.2,474.9,9.0,25.3,39.0,0.9,0.0,2.1972245773362196
146,5,4,3,1,90.1,39.7,86.6,6.2,13.2,40.0,5.4,0.0,0.6678293725756554
327,6,5,9,6,92.2,102.3,751.5,8.4,21.2,32.0,2.2,0.0,0.0
56,4,3,9,2,90.3,80.7,730.2,6.3,17.8,63.0,4.9,0.0,0.0
23,7,4,8,6,90.2,110.9,537.4,6.2,19.5,43.0,5.8,0.0,0.0
354,7,4,9,5,92.1,99.0,745.3,9.6,18.7,50.0,2.2,0.0,1.9416152247724325
29,6,3,9,7,93.5,149.3,728.6,8.1,22.8,39.0,3.6,0.0,0.0
398,1,2,8,6,93.7,231.1,715.1,8.4,25.9,32.0,3.1,0.0,0.0
513,2,4,8,7,81.6,56.7,665.6,1.9,21.9,71.0,5.8,0.0,4.012592060349841
148,2,2,8,2,94.8,108.3,647.1,17.0,17.4,43.0,6.7,0.0,0.7275486072772778
84,1,2,8,4,91.7,114.3,661.3,6.3,20.2,45.0,3.6,0.0,0.0
486,5,4,8,2,95.1,141.3,605.8,17.7,24.1,43.0,6.3,0.0,1.0986122886681098
452,7,4,8,1,91.5,238.2,730.6,7.5,17.7,65.0,4.0,0.0,0.0
217,1,3,9,1,88.6,91.8,709.9,7.1,12.4,73.0,6.3,0.0,3.4442568711226023
232,6,4,9,2,91.0,129.5,692.6,7.0,18.7,43.0,2.7,0.0,4.648133885420207
411,7,4,2,5,84.6,3.2,43.6,3.3,8.2,53.0,9.4,0.0,1.7263316639055997
203,8,6,10,3,91.4,37.9,673.8,5.2,20.2,37.0,2.7,0.0,2.6878474937846906
346,1,4,9,1,91.5,130.1,807.1,7.5,21.3,35.0,2.2,0.0,3.3738261848660236
392,1,3,9,7,91.0,276.3,825.1,7.1,21.9,43.0,4.0,0.0,4.27332721775054
131,4,6,3,1,87.2,23.9,64.7,4.1,14.0,39.0,3.1,0.0,0.0
109,4,5,9,1,88.6,91.8,709.9,7.1,17.4,56.0,5.4,0.0,0.0
13,6,5,9,1,90.9,126.5,686.5,7.0,21.3,42.0,2.2,0.0,0.0
179,8,6,8,2,88.8,147.3,614.5,9.0,14.4,66.0,5.4,0.0,1.8293763327993617
338,8,6,9,1,91.6,108.4,764.0,6.2,22.7,35.0,2.2,0.0,2.1377104498038118
