,X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,Class
512,4,3,8,7,81.6,56.7,665.6,1.9,27.8,32.0,2.7,0.0,2.0068708488450007
374,6,5,9,5,90.3,290.0,855.3,7.4,10.3,78.0,4.0,0.0,2.9601050959108397
314,4,4,9,3,92.6,115.4,777.1,8.8,19.7,41.0,1.8,0.0,0.9477893989335261
349,5,4,9,5,92.1,99.0,745.3,9.6,12.8,64.0,3.6,0.0,0.9707789171582248
223,2,2,7,5,88.3,150.3,309.9,6.8,13.4,79.0,3.6,0.0,3.6381123370602833
256,8,6,8,6,94.2,117.2,581.1,11.0,23.9,41.0,2.2,0.0,2.199444334074532
424,8,6,8,6,93.7,231.1,715.1,8.4,26.9,31.0,3.6,0.0,1.7850704810772584
476,4,3,7,4,93.5,85.3,395.0,9.9,27.2,28.0,1.3,0.0,1.0152306797290584
208,6,5,9,5,92.4,117.9,668.0,12.2,19.6,33.0,6.3,0.0,3.007166651179654
24,7,4,8,6,93.5,139.4,594.2,20.3,23.7,32.0,5.8,0.0,0.0
210,4,4,10,6,90.6,43.7,686.9,6.7,18.4,25.0,3.1,0.0,3.2280337626529665
65,2,2,8,4,91.7,114.3,661.3,6.3,18.6,44.0,4.5,0.0,0.0
248,8,6,8,3,93.1,157.3,666.7,13.5,28.7,28.0,2.7,0.0,0.0
35,6,3,9,2,90.3,80.7,730.2,6.3,18.2,62.0,4.5,0.0,0.0
326,5,4,9,6,92.2,102.3,751.5,8.4,24.1,27.0,3.1,0.0,0.0
289,7,4,7,6,91.6,104.2,474.9,9.0,24.3,30.0,1.8,0.0,0.0
175,1,4,8,6,90.2,96.9,624.2,8.9,20.3,39.0,4.9,0.0,1.7101878155342434
499,7,5,8,2,96.1,181.1,671.2,14.3,27.3,63.0,4.9,6.4,2.469793011977952
86,1,2,9,4,92.9,137.0,706.4,9.2,25.4,27.0,2.2,0.0,0.0
145,6,5,8,4,95.2,131.7,578.8,10.4,27.4,22.0,4.0,0.0,0.6418538861723948
241,4,4,4,5,83.0,23.3,85.3,2.3,16.7,20.0,3.1,0.0,0.0
97,3,4,3,6,69.0,2.4,15.5,0.7,17.4,24.0,5.4,0.0,0.0
461,8,6,8,6,93.7,231.1,715.1,8.4,18.9,64.0,4.9,0.0,0.0
95,4,4,9,7,89.7,90.0,704.4,4.8,17.8,64.0,1.3,0.0,0.0
231,1,5,9,7,93.5,149.3,728.6,8.1,27.8,27.0,3.1,0.0,4.566221435849517
110,4,4,3,5,85.9,19.5,57.3,2.8,13.7,43.0,5.8,0.0,0.0
344,6,3,9,1,91.5,130.1,807.1,7.5,12.2,66.0,4.9,0.0,1.9600947840472698
264,4,4,8,5,94.3,167.6,684.4,13.0,21.8,53.0,3.1,0.0,2.020222182019865
458,8,6,8,6,93.7,231.1,715.1,8.4,18.9,64.0,4.9,0.0,1.463255402256019
240,6,3,4,3,88.0,17.2,43.5,3.8,15.2,51.0,2.7,0.0,0.0
508,1,2,8,5,91.0,166.9,752.6,7.1,25.9,41.0,3.6,0.0,0.0
180,1,3,9,7,92.4,124.1,680.7,8.5,23.9,32.0,6.7,0.0,1.8453002361560848
394,6,5,2,1,84.1,4.6,46.7,2.2,5.3,68.0,1.8,0.0,0.0
233,9,4,9,2,84.4,73.4,671.9,3.2,24.3,36.0,3.1,0.0,4.669646205172456
66,2,2,9,5,92.4,117.9,668.0,12.2,23.0,37.0,4.5,0.0,0.0
311,6,3,9,7,92.4,105.8,758.1,9.9,24.8,28.0,1.8,0.0,2.727199019940971
257,4,3,8,6,94.2,117.2,581.1,11.0,21.4,44.0,2.7,0.0,0.5187937934151675
184,8,6,8,5,93.9,135.7,586.7,15.1,20.8,34.0,4.9,0.0,2.0744289998562917
281,6,5,12,2,85.4,25.4,349.7,2.6,5.1,24.0,8.5,0.0,3.2492110246642736
158,2,4,8,3,92.1,111.2,654.1,9.6,20.5,35.0,4.0,0.0,0.9707789171582248
502,4,4,8,2,96.1,181.1,671.2,14.3,20.7,69.0,4.9,0.4,0.0
323,3,5,9,4,90.7,136.9,822.8,6.8,12.9,39.0,2.7,0.0,1.1568811967920856
115,3,5,3,2,88.1,25.7,67.6,3.8,15.5,27.0,6.3,0.0,0.0
