,nodeID,parentNode,dataSetFilters,evaluated,nodeFeature,nodePrediction,childrenNodes,gainOrMSE,treeLevel,pruned,isLeaf
0,0,-1,{},True,month,1.1837093131134366,"{2: 1, 8: 2, 9: 3, 10: 4, 7: 5, 12: 6, 5: 7, 3: 8, 6: 9, 1: 10, 4: 11}",2.073793103172064,0,False,False
1,1,0,{'month': 2},True,day,1.1257293476895625,"{6: 12, 7: 13, 2: 14, 5: 15, 4: 16}",1.426476446038978,1,False,False
2,2,0,{'month': 8},True,wind,1.2153999454007802,"{'belowMean': 17, 'aboveMean': 18}",2.068821534481502,1,False,False
3,3,0,{'month': 9},True,day,1.2784963638796525,"{3: 19, 1: 20, 6: 21, 7: 22, 4: 23, 5: 24, 2: 25}",1.9977014923963363,1,True,True
4,4,0,{'month': 10},True,ISI,0.9438918933631786,"{'aboveMean': 26, 'belowMean': 27}",0.8600623987910289,1,True,True
5,5,0,{'month': 7},True,DMC,0.959578916240341,"{'belowMean': 28, 'aboveMean': 29}",0.5746004546017557,1,True,True
6,6,0,{'month': 12},True,day,2.218122377057751,"{4: 30, 3: 31, 7: 32}",0.0,1,False,False
7,7,0,{'month': 5},True,,3.675794214565281,{},0.0,1,False,True
8,8,0,{'month': 3},True,day,0.8953185508354686,"{7: 33, 2: 34, 1: 35, 5: 36, 6: 37, 3: 38, 4: 39}",1.0452390578830522,1,False,False
9,9,0,{'month': 6},True,day,0.9370843329524984,"{1: 40, 6: 41, 5: 42, 7: 43, 3: 44}",0.2064364332848704,1,True,True
10,10,0,{'month': 1},True,,0.0,{},0.0,1,False,True
11,11,0,{'month': 4},True,,0.0,{},0.0,1,False,True
12,12,1,"{'month': 2, 'day': 6}",True,RH,1.029619417181158,"{'aboveMean': 45, 'belowMean': 46}",0.0,2,False,False
13,13,1,"{'month': 2, 'day': 7}",True,X,1.983066165537589,"{'aboveMean': 47, 'belowMean': 48}",0.0,2,False,False
14,14,1,"{'month': 2, 'day': 2}",True,,1.8547342683894437,{},0.0,2,False,True
15,15,1,"{'month': 2, 'day': 5}",True,,0.0,{},0.0,2,False,True
16,16,1,"{'month': 2, 'day': 4}",True,,0.0,{},0.0,2,False,True
17,17,2,"{'month': 8, 'wind': 'belowMean'}",True,day,0.6171037135805233,"{3: 49, 6: 50, 7: 51, 1: 52, 4: 53, 2: 54, 5: 55}",0.6151428911134127,2,False,False
18,18,2,"{'month': 8, 'wind': 'aboveMean'}",True,Y,1.7523324611369078,"{'aboveMean': 56, 'belowMean': 57}",3.012548971808156,2,True,True
19,19,3,"{'month': 9, 'day': 3}",True,ISI,1.8891825500942383,"{'aboveMean': 58, 'belowMean': 59}",0.7032644861572078,2,False,False
20,20,3,"{'month': 9, 'day': 1}",True,temp,1.0947694105502692,"{'belowMean': 60, 'aboveMean': 61}",1.0674721449215772,2,False,False
21,21,3,"{'month': 9, 'day': 6}",True,RH,0.9467346485325002,"{'belowMean': 62, 'aboveMean': 63}",1.6522201005682329,2,True,True
22,22,3,"{'month': 9, 'day': 7}",True,FFMC,1.4147605772643723,"{'aboveMean': 64, 'belowMean': 65}",2.2465321936441582,2,False,False
