,X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,Class
4,8,6,3,7,89.3,51.3,102.2,9.6,11.4,99.0,1.8,0.0,0.0
6,8,6,8,1,92.3,88.9,495.6,8.5,24.1,27.0,3.1,0.0,0.0
7,8,6,8,1,91.5,145.4,608.2,10.7,8.0,86.0,2.2,0.0,0.0
9,7,5,9,6,92.5,88.0,698.6,7.1,22.8,40.0,4.0,0.0,0.0
12,6,5,8,5,63.5,70.8,665.3,0.8,17.0,72.0,6.7,0.0,0.0
13,6,5,9,1,90.9,126.5,686.5,7.0,21.3,42.0,2.2,0.0,0.0
14,6,5,9,3,92.9,133.3,699.6,9.2,26.4,21.0,4.5,0.0,0.0
16,5,5,3,6,91.7,35.8,80.8,7.8,15.1,27.0,5.4,0.0,0.0
17,8,5,10,1,84.9,32.8,664.2,3.0,16.7,47.0,4.9,0.0,0.0
21,5,4,9,1,91.8,78.5,724.3,9.2,19.1,38.0,2.7,0.0,0.0
22,7,4,6,7,94.3,96.3,200.0,56.1,21.0,44.0,4.5,0.0,0.0
23,7,4,8,6,90.2,110.9,537.4,6.2,19.5,43.0,5.8,0.0,0.0
28,6,3,9,6,93.4,145.4,721.4,8.1,30.2,24.0,2.7,0.0,0.0
31,6,3,9,1,88.6,91.8,709.9,7.1,11.2,78.0,7.6,0.0,0.0
32,6,3,9,5,88.6,69.7,706.8,5.8,20.6,37.0,1.8,0.0,0.0
33,6,3,9,7,91.7,75.6,718.3,7.8,17.7,39.0,3.6,0.0,0.0
34,6,3,9,1,91.8,78.5,724.3,9.2,21.2,32.0,2.7,0.0,0.0
37,7,4,10,5,90.0,41.5,682.6,8.7,11.3,60.0,5.4,0.0,0.0
43,4,4,9,6,92.5,88.0,698.6,7.1,19.6,48.0,2.7,0.0,0.0
44,4,4,9,3,90.1,82.9,735.7,6.2,12.9,74.0,4.9,0.0,0.0
48,4,4,3,1,87.2,23.9,64.7,4.1,11.8,35.0,1.8,0.0,0.0
49,4,4,3,1,87.6,52.2,103.8,5.0,11.0,46.0,5.8,0.0,0.0
58,2,2,2,1,84.0,9.3,34.0,2.1,13.9,40.0,5.4,0.0,0.0
64,2,2,8,1,91.1,103.2,638.8,5.8,23.1,31.0,3.1,0.0,0.0
68,2,2,9,5,92.4,117.9,668.0,12.2,19.6,33.0,6.3,0.0,0.0
69,4,5,3,5,91.7,33.3,77.5,9.0,17.2,26.0,4.5,0.0,0.0
71,4,5,9,5,94.3,85.1,692.3,15.9,17.7,37.0,3.6,0.0,0.0
72,5,4,3,5,91.7,33.3,77.5,9.0,15.6,25.0,6.3,0.0,0.0
73,5,4,8,2,88.8,147.3,614.5,9.0,17.3,43.0,4.5,0.0,0.0
75,9,9,2,4,84.2,6.8,26.6,7.7,6.7,79.0,3.1,0.0,0.0
78,1,2,8,5,90.1,108.0,529.8,12.5,14.7,66.0,2.7,0.0,0.0
81,1,2,8,7,90.2,99.6,631.2,6.3,17.9,44.0,2.2,0.0,0.0
83,1,2,8,3,92.1,111.2,654.1,9.6,16.6,47.0,0.9,0.0,0.0
87,1,2,9,4,92.9,137.0,706.4,9.2,22.4,34.0,2.2,0.0,0.0
89,6,5,3,6,91.7,35.8,80.8,7.8,17.4,25.0,4.9,0.0,0.0
93,8,6,8,7,91.4,142.4,601.4,10.6,18.2,43.0,4.9,0.0,0.0
95,4,4,9,7,89.7,90.0,704.4,4.8,17.8,64.0,1.3,0.0,0.0
97,3,4,3,6,69.0,2.4,15.5,0.7,17.4,24.0,5.4,0.0,0.0
109,4,5,9,1,88.6,91.8,709.9,7.1,17.4,56.0,5.4,0.0,0.0
111,3,4,3,5,91.7,33.3,77.5,9.0,18.8,18.0,4.5,0.0,0.0
112,3,4,9,7,89.7,90.0,704.4,4.8,22.8,39.0,3.6,0.0,0.0
113,3,4,9,1,91.8,78.5,724.3,9.2,18.9,35.0,2.7,0.0,0.0
118,3,4,3,1,90.1,39.7,86.6,6.2,10.6,30.0,4.0,0.0,0.0
121,3,4,8,1,91.5,145.4,608.2,10.7,17.1,43.0,5.4,0.0,0.0
123,3,4,9,2,84.4,73.4,671.9,3.2,17.9,45.0,3.1,0.0,0.0
124,3,4,9,5,94.3,85.1,692.3,15.9,19.8,50.0,5.4,0.0,0.0
125,3,4,10,7,92.6,46.5,691.8,8.8,20.6,24.0,5.4,0.0,0.0
126,3,5,3,1,87.6,52.2,103.8,5.0,9.0,49.0,2.2,0.0,0.0
127,3,5,9,5,93.5,149.3,728.6,8.1,17.2,43.0,3.1,0.0,0.0
130,4,6,2,6,68.2,21.5,87.2,0.8,15.4,40.0,2.7,0.0,0.0
136,3,6,9,7,92.4,124.1,680.7,8.5,17.2,58.0,1.3,0.0,0.0
142,8,6,8,5,90.1,108.0,529.8,12.5,21.2,51.0,8.9,0.0,0.4762341789963716
143,1,2,7,6,90.0,51.3,296.3,8.7,16.6,53.0,5.4,0.0,0.5364933705145685
147,8,3,9,2,84.4,73.4,671.9,3.2,24.2,28.0,3.6,0.0,0.6729444732424258
148,2,2,8,2,94.8,108.3,647.1,17.0,17.4,43.0,6.7,0.0,0.7275486072772778
149,8,6,9,4,93.7,80.9,685.2,17.9,23.7,25.0,4.5,0.0,0.7514160886839212
151,9,9,7,7,90.1,68.6,355.2,7.2,24.8,29.0,2.2,0.0,0.8586616190375187
156,2,4,9,6,93.4,145.4,721.4,8.1,28.6,27.0,2.2,0.0,0.959350221334602
157,2,2,8,3,92.1,111.2,654.1,9.6,18.4,45.0,3.6,0.0,0.9669838461896731
162,6,3,3,6,90.6,50.1,100.4,7.8,15.2,31.0,8.5,0.0,1.0784095813505903
163,8,6,9,6,92.5,121.1,674.4,8.6,17.8,56.0,1.8,0.0,1.0818051703517284
165,6,5,3,4,84.9,18.2,55.0,3.0,5.3,70.0,4.5,0.0,1.144222799920162
166,6,5,8,3,92.1,111.2,654.1,9.6,16.6,47.0,0.9,0.0,1.1908875647772805
167,6,5,8,3,96.0,127.1,570.5,16.5,23.4,33.0,4.5,0.0,1.2556160374777743
169,8,6,8,4,95.2,131.7,578.8,10.4,20.7,45.0,2.2,0.0,1.2669476034873244
174,1,4,8,6,90.2,96.9,624.2,8.9,14.2,53.0,1.8,0.0,1.5040773967762742
175,1,4,8,6,90.2,96.9,624.2,8.9,20.3,39.0,4.9,0.0,1.7101878155342434
184,8,6,8,5,93.9,135.7,586.7,15.1,20.8,34.0,4.9,0.0,2.0744289998562917
185,2,5,9,2,91.0,129.5,692.6,7.0,17.6,46.0,3.1,0.0,2.0844290831908747
188,6,4,3,6,90.8,41.9,89.4,7.9,13.3,42.0,0.9,0.0,2.128231705849268
189,7,4,3,7,90.7,44.0,92.4,5.5,11.5,60.0,4.0,0.0,2.2235418856535927
190,6,5,3,5,91.2,48.3,97.8,12.5,11.7,33.0,4.0,0.0,2.231089091288976
191,2,5,8,4,95.2,131.7,578.8,10.4,24.2,28.0,2.7,0.0,2.2700619012884857
192,2,2,8,2,94.8,108.3,647.1,17.0,24.6,22.0,4.5,0.0,2.2731562823032334
195,2,5,8,5,93.9,135.7,586.7,15.1,23.5,36.0,5.4,0.0,2.3997118037247684
196,6,5,4,4,81.5,9.1,55.2,2.7,5.8,54.0,5.8,0.0,2.4790562361098245
199,2,4,9,1,63.5,70.8,665.3,0.8,22.6,38.0,3.6,0.0,2.511223958105374
200,1,5,9,2,91.0,129.5,692.6,7.0,21.6,33.0,2.2,0.0,2.528125768907977
201,6,5,3,7,90.1,37.6,83.7,7.2,12.4,54.0,3.6,0.0,2.5726122302071057
206,2,2,8,6,93.5,139.4,594.2,20.3,22.9,31.0,7.2,0.0,2.800325477211381
208,6,5,9,5,92.4,117.9,668.0,12.2,19.6,33.0,6.3,0.0,3.007166651179654
209,8,3,9,4,93.7,80.9,685.2,17.9,23.2,26.0,4.9,0.0,3.1949928844048685
214,4,4,3,6,91.7,35.8,80.8,7.8,17.0,27.0,4.9,0.0,3.389799336709786
216,4,4,9,7,92.4,124.1,680.7,8.5,16.9,60.0,1.3,0.0,3.4170707308184456
217,1,3,9,1,88.6,91.8,709.9,7.1,12.4,73.0,6.3,0.0,3.4442568711226023
219,6,5,3,1,90.1,39.7,86.6,6.2,15.2,27.0,3.1,0.0,3.492256112609122
220,8,6,8,7,90.2,99.6,631.2,6.3,16.2,59.0,3.1,0.0,3.4986265269937014
221,3,4,9,5,93.3,141.2,713.9,13.9,18.6,49.0,3.6,0.0,3.607669398688393
224,7,4,9,3,90.1,82.9,735.7,6.2,15.4,57.0,4.5,0.0,3.6560979645895566
225,4,4,9,7,93.5,149.3,728.6,8.1,22.9,39.0,4.9,0.0,3.902982260775997
230,4,4,9,3,92.9,133.3,699.6,9.2,26.4,21.0,4.5,0.0,4.494126887194767
232,6,4,9,2,91.0,129.5,692.6,7.0,18.7,43.0,2.7,0.0,4.648133885420207
236,2,2,9,6,92.5,121.1,674.4,8.6,18.2,46.0,1.8,0.0,5.307970623576175
237,1,2,9,2,91.0,129.5,692.6,7.0,18.8,40.0,2.2,0.0,5.365415110080531
238,6,5,9,6,92.5,121.1,674.4,8.6,25.1,27.0,4.0,0.0,6.995619625423205
239,7,5,4,7,81.9,3.0,7.9,3.5,13.4,75.0,1.8,0.0,0.0
241,4,4,4,5,83.0,23.3,85.3,2.3,16.7,20.0,3.1,0.0,0.0
243,7,4,8,7,91.8,175.1,700.7,13.8,21.9,73.0,7.6,1.0,0.0
244,2,4,8,7,91.8,175.1,700.7,13.8,22.4,54.0,7.6,0.0,1.3532545070416904
245,3,4,8,7,91.8,175.1,700.7,13.8,26.8,38.0,6.3,0.0,0.5653138090500605
248,8,6,8,3,93.1,157.3,666.7,13.5,28.7,28.0,2.7,0.0,0.0
249,3,4,8,3,93.1,157.3,666.7,13.5,21.7,40.0,0.4,0.0,1.244154593958768
250,8,5,8,3,93.1,157.3,666.7,13.5,26.8,25.0,3.1,0.0,0.5187937934151675
251,8,5,8,3,93.1,157.3,666.7,13.5,24.0,36.0,3.1,0.0,0.2151113796169455
253,7,4,8,4,91.9,109.2,565.5,8.0,21.4,38.0,2.7,0.0,0.9242589015233319
255,2,5,8,4,87.5,77.0,694.8,5.0,22.3,46.0,4.0,0.0,0.0
258,3,4,8,6,91.8,170.9,692.3,13.7,20.6,59.0,0.9,0.0,0.0
259,7,4,8,6,91.8,170.9,692.3,13.7,23.7,40.0,1.8,0.0,0.8671004876833833
262,2,4,8,5,91.6,112.4,573.0,8.9,21.4,42.0,3.1,0.0,1.6582280766035324
266,6,5,8,2,94.3,131.7,607.1,22.7,19.4,55.0,4.0,0.0,0.15700374880966478
268,3,4,8,2,92.1,152.6,658.2,14.3,21.0,32.0,3.1,0.0,0.0
269,4,4,8,2,92.1,152.6,658.2,14.3,19.1,53.0,2.7,0.0,1.6863989535702288
273,4,6,12,7,84.4,27.2,353.5,6.8,4.8,57.0,8.5,0.0,2.300583090323373
277,3,4,12,1,85.4,25.4,349.7,2.6,4.6,21.0,8.5,0.0,2.462149662665384
279,4,4,12,1,85.4,25.4,349.7,2.6,4.6,21.0,8.5,0.0,2.3767644911682972
281,6,5,12,2,85.4,25.4,349.7,2.6,5.1,24.0,8.5,0.0,3.2492110246642736
282,6,3,2,7,84.9,27.5,353.5,3.4,4.2,51.0,4.0,0.0,0.0
284,5,4,2,5,85.2,4.9,15.8,6.3,7.5,46.0,8.0,0.0,3.228430037673012
285,2,5,7,7,93.9,169.7,411.8,12.3,23.4,40.0,6.3,0.0,0.0
287,7,4,7,6,91.6,104.2,474.9,9.0,22.1,49.0,2.7,0.0,0.0
290,2,5,7,6,91.6,104.2,474.9,9.0,18.7,53.0,1.8,0.0,0.0
292,4,5,7,5,91.6,100.2,466.3,6.3,22.9,40.0,1.3,0.0,1.2919836816486494
293,7,6,7,2,93.1,180.4,430.8,11.0,26.9,28.0,5.4,0.0,4.471067201464611
295,7,5,6,7,93.1,180.4,430.8,11.0,22.2,48.0,1.3,0.0,0.0
298,8,6,6,3,91.2,147.8,377.2,12.7,19.6,43.0,4.9,0.0,0.0
299,6,5,6,6,53.4,71.0,233.8,0.4,10.6,90.0,2.7,0.0,0.0
300,6,5,6,1,90.4,93.3,298.1,7.5,20.7,25.0,4.9,0.0,0.0
301,6,5,6,1,90.4,93.3,298.1,7.5,19.1,39.0,5.4,0.0,1.5085119938441398
303,3,6,6,5,91.1,94.1,232.1,7.1,19.2,38.0,4.5,0.0,0.0
307,3,4,9,7,89.6,84.1,714.3,5.7,23.8,35.0,3.6,0.0,1.8213182714695995
310,7,4,9,7,92.4,105.8,758.1,9.9,25.3,27.0,2.7,0.0,0.0
311,6,3,9,7,92.4,105.8,758.1,9.9,24.8,28.0,1.8,0.0,2.727199019940971
312,2,4,9,7,50.4,46.2,706.6,0.4,12.2,78.0,6.3,0.0,0.0
318,6,5,9,4,92.8,119.0,783.5,7.5,21.6,27.0,2.2,0.0,0.0
319,5,4,9,4,92.8,119.0,783.5,7.5,21.6,28.0,6.3,0.0,1.6882490928583902
323,3,5,9,4,90.7,136.9,822.8,6.8,12.9,39.0,2.7,0.0,1.1568811967920856
327,6,5,9,6,92.2,102.3,751.5,8.4,21.2,32.0,2.2,0.0,0.0
