,X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,Class,leafDecisionNode,leafParentNode,classPrediction,success,treeID
0,7,5,3,5,86.2,26.2,94.3,5.1,8.2,51.0,6.7,0.0,0.0,4,0,0.9035855347292752,0.8164668185719901,1
2,7,4,10,6,90.6,43.7,686.9,6.7,14.6,33.0,1.3,0.0,0.0,8,0,0.9636540499789704,0.928629128040872,1
6,8,6,8,1,92.3,88.9,495.6,8.5,24.1,27.0,3.1,0.0,0.0,2,0,1.0774437421014995,1.1608850173936827,1
7,8,6,8,1,91.5,145.4,608.2,10.7,8.0,86.0,2.2,0.0,0.0,2,0,1.0774437421014995,1.1608850173936827,1
8,8,6,9,2,91.0,129.5,692.6,7.0,13.1,63.0,5.4,0.0,0.0,3,0,1.2779718711421215,1.6332121034304952,1
9,7,5,9,6,92.5,88.0,698.6,7.1,22.8,40.0,4.0,0.0,0.0,3,0,1.2779718711421215,1.6332121034304952,1
11,7,5,9,6,92.8,73.2,713.0,22.6,19.3,38.0,4.0,0.0,0.0,3,0,1.2779718711421215,1.6332121034304952,1
12,6,5,8,5,63.5,70.8,665.3,0.8,17.0,72.0,6.7,0.0,0.0,2,0,1.0774437421014995,1.1608850173936827,1
14,6,5,9,3,92.9,133.3,699.6,9.2,26.4,21.0,4.5,0.0,0.0,3,0,1.2779718711421215,1.6332121034304952,1
15,6,5,9,5,93.3,141.2,713.9,13.9,22.9,44.0,5.4,0.0,0.0,3,0,1.2779718711421215,1.6332121034304952,1
16,5,5,3,6,91.7,35.8,80.8,7.8,15.1,27.0,5.4,0.0,0.0,4,0,0.9035855347292752,0.8164668185719901,1
17,8,5,10,1,84.9,32.8,664.2,3.0,16.7,47.0,4.9,0.0,0.0,8,0,0.9636540499789704,0.928629128040872,1
21,5,4,9,1,91.8,78.5,724.3,9.2,19.1,38.0,2.7,0.0,0.0,3,0,1.2779718711421215,1.6332121034304952,1
24,7,4,8,6,93.5,139.4,594.2,20.3,23.7,32.0,5.8,0.0,0.0,2,0,1.0774437421014995,1.1608850173936827,1
25,7,4,8,7,91.4,142.4,601.4,10.6,16.3,60.0,5.4,0.0,0.0,2,0,1.0774437421014995,1.1608850173936827,1
28,6,3,9,6,93.4,145.4,721.4,8.1,30.2,24.0,2.7,0.0,0.0,3,0,1.2779718711421215,1.6332121034304952,1
29,6,3,9,7,93.5,149.3,728.6,8.1,22.8,39.0,3.6,0.0,0.0,3,0,1.2779718711421215,1.6332121034304952,1
31,6,3,9,1,88.6,91.8,709.9,7.1,11.2,78.0,7.6,0.0,0.0,3,0,1.2779718711421215,1.6332121034304952,1
32,6,3,9,5,88.6,69.7,706.8,5.8,20.6,37.0,1.8,0.0,0.0,3,0,1.2779718711421215,1.6332121034304952,1
38,7,3,10,6,90.6,43.7,686.9,6.7,17.8,27.0,4.0,0.0,0.0,8,0,0.9636540499789704,0.928629128040872,1
40,4,4,7,2,79.5,60.6,366.7,1.5,23.3,37.0,3.1,0.0,0.0,13,1,0.0,0.0,1
42,4,4,8,2,94.8,108.3,647.1,17.0,16.6,54.0,5.4,0.0,0.0,2,0,1.0774437421014995,1.1608850173936827,1
43,4,4,9,6,92.5,88.0,698.6,7.1,19.6,48.0,2.7,0.0,0.0,3,0,1.2779718711421215,1.6332121034304952,1
48,4,4,3,1,87.2,23.9,64.7,4.1,11.8,35.0,1.8,0.0,0.0,4,0,0.9035855347292752,0.8164668185719901,1
51,4,3,8,7,90.2,99.6,631.2,6.3,21.5,34.0,2.2,0.0,0.0,2,0,1.0774437421014995,1.1608850173936827,1
53,4,3,8,3,92.1,111.2,654.1,9.6,20.4,42.0,4.9,0.0,0.0,2,0,1.0774437421014995,1.1608850173936827,1
64,2,2,8,1,91.1,103.2,638.8,5.8,23.1,31.0,3.1,0.0,0.0,2,0,1.0774437421014995,1.1608850173936827,1
66,2,2,9,5,92.4,117.9,668.0,12.2,23.0,37.0,4.5,0.0,0.0,3,0,1.2779718711421215,1.6332121034304952,1
67,2,2,9,5,92.4,117.9,668.0,12.2,19.6,33.0,5.4,0.0,0.0,3,0,1.2779718711421215,1.6332121034304952,1
69,4,5,3,5,91.7,33.3,77.5,9.0,17.2,26.0,4.5,0.0,0.0,4,0,0.9035855347292752,0.8164668185719901,1
78,1,2,8,5,90.1,108.0,529.8,12.5,14.7,66.0,2.7,0.0,0.0,2,0,1.0774437421014995,1.1608850173936827,1
83,1,2,8,3,92.1,111.2,654.1,9.6,16.6,47.0,0.9,0.0,0.0,2,0,1.0774437421014995,1.1608850173936827,1
87,1,2,9,4,92.9,137.0,706.4,9.2,22.4,34.0,2.2,0.0,0.0,3,0,1.2779718711421215,1.6332121034304952,1
96,3,4,2,6,83.9,8.0,30.2,2.6,12.7,48.0,1.8,0.0,0.0,39,6,0.0,0.0,1
98,3,4,8,7,91.4,142.4,601.4,10.6,11.6,87.0,4.5,0.0,0.0,2,0,1.0774437421014995,1.1608850173936827,1
104,2,4,1,6,82.1,3.7,9.3,2.9,5.3,78.0,3.1,0.0,0.0,39,6,0.0,0.0,1
105,4,5,3,5,85.9,19.5,57.3,2.8,12.7,52.0,6.3,0.0,0.0,4,0,0.9035855347292752,0.8164668185719901,1
108,4,5,9,6,92.5,88.0,698.6,7.1,20.3,45.0,3.1,0.0,0.0,3,0,1.2779718711421215,1.6332121034304952,1
110,4,4,3,5,85.9,19.5,57.3,2.8,13.7,43.0,5.8,0.0,0.0,4,0,0.9035855347292752,0.8164668185719901,1
112,3,4,9,7,89.7,90.0,704.4,4.8,22.8,39.0,3.6,0.0,0.0,3,0,1.2779718711421215,1.6332121034304952,1
114,3,4,3,2,88.1,25.7,67.6,3.8,15.8,27.0,7.6,0.0,0.0,4,0,0.9035855347292752,0.8164668185719901,1
115,3,5,3,2,88.1,25.7,67.6,3.8,15.5,27.0,6.3,0.0,0.0,4,0,0.9035855347292752,0.8164668185719901,1
121,3,4,8,1,91.5,145.4,608.2,10.7,17.1,43.0,5.4,0.0,0.0,2,0,1.0774437421014995,1.1608850173936827,1
123,3,4,9,2,84.4,73.4,671.9,3.2,17.9,45.0,3.1,0.0,0.0,3,0,1.2779718711421215,1.6332121034304952,1
126,3,5,3,1,87.6,52.2,103.8,5.0,9.0,49.0,2.2,0.0,0.0,4,0,0.9035855347292752,0.8164668185719901,1
127,3,5,9,5,93.5,149.3,728.6,8.1,17.2,43.0,3.1,0.0,0.0,3,0,1.2779718711421215,1.6332121034304952,1
136,3,6,9,7,92.4,124.1,680.7,8.5,17.2,58.0,1.3,0.0,0.0,3,0,1.2779718711421215,1.6332121034304952,1
141,1,2,8,3,95.5,99.9,513.3,13.2,23.3,31.0,4.5,0.0,0.4382549309311553,2,0,1.0774437421014995,0.40856233632535793,1
143,1,2,7,6,90.0,51.3,296.3,8.7,16.6,53.0,5.4,0.0,0.5364933705145685,54,14,0.0,0.28782513660608205,1
146,5,4,3,1,90.1,39.7,86.6,6.2,13.2,40.0,5.4,0.0,0.6678293725756554,4,0,0.9035855347292752,0.05558096799340383,1
148,2,2,8,2,94.8,108.3,647.1,17.0,17.4,43.0,6.7,0.0,0.7275486072772778,2,0,1.0774437421014995,0.1224266053736603,1
153,5,4,9,5,94.3,85.1,692.3,15.9,20.1,47.0,4.9,0.0,0.9001613499442714,3,0,1.2779718711421215,0.14274078992779113,1
155,7,4,8,7,94.8,108.3,647.1,17.0,16.4,47.0,1.3,0.0,0.9400072584914712,2,0,1.0774437421014995,0.018888787027089595,1
157,2,2,8,3,92.1,111.2,654.1,9.6,18.4,45.0,3.6,0.0,0.9669838461896731,2,0,1.0774437421014995,0.012201388604851515,1
158,2,4,8,3,92.1,111.2,654.1,9.6,20.5,35.0,4.0,0.0,0.9707789171582248,2,0,1.0774437421014995,0.01137738488017943,1
159,7,4,9,5,92.4,117.9,668.0,12.2,19.0,34.0,5.8,0.0,0.9895411936137476,3,0,1.2779718711421215,0.08319225573947683,1
162,6,3,3,6,90.6,50.1,100.4,7.8,15.2,31.0,8.5,0.0,1.0784095813505905,4,0,0.9035855347292752,0.03056344727705184,1
164,8,5,9,7,89.7,90.0,704.4,4.8,17.8,67.0,2.2,0.0,1.1019400787607845,3,0,1.2779718711421215,0.03098719192898615,1
173,4,4,9,1,90.9,126.5,686.5,7.0,17.7,39.0,2.2,0.0,1.4036429994545037,3,0,1.2779718711421215,0.015793232491307214,1
174,1,4,8,6,90.2,96.9,624.2,8.9,14.2,53.0,1.8,0.0,1.5040773967762742,2,0,1.0774437421014995,0.18201627530115486,1
175,1,4,8,6,90.2,96.9,624.2,8.9,20.3,39.0,4.9,0.0,1.7101878155342434,2,0,1.0774437421014995,0.40036506246426157,1
177,2,5,8,7,90.2,99.6,631.2,6.3,19.2,44.0,2.7,0.0,1.7387102481382395,2,0,1.0774437421014995,0.4372733920060379,1
178,2,5,9,3,90.1,82.9,735.7,6.2,18.3,45.0,2.2,0.0,1.7715567619105357,3,0,1.2779718711421215,0.24362604439486735,1
179,8,6,8,2,88.8,147.3,614.5,9.0,14.4,66.0,5.4,0.0,1.8293763327993615,2,0,1.0774437421014995,0.5654026209535985,1
185,2,5,9,2,91.0,129.5,692.6,7.0,17.6,46.0,3.1,0.0,2.0844290831908747,3,0,1.2779718711421215,0.6503732348654477,1
