,nodeID,parentNode,dataSetFilters,evaluated,nodeFeature,nodePrediction,childrenNodes,gainOrMSE,treeLevel,pruned,isLeaf
0,0,-1,{},True,month,1.0995447309060604,"{10: 1, 3: 2, 8: 3, 9: 4, 2: 5, 1: 6, 7: 7, 4: 8, 12: 9, 6: 10, 5: 11, 11: 12}",1.9054890417440355,0,False,False
1,1,0,{'month': 10},True,day,1.1262447578158485,"{2: 13, 6: 14, 5: 15, 7: 16, 1: 17}",0.9156815457538993,1,False,False
2,2,0,{'month': 3},True,X,0.6608430479284096,"{'aboveMean': 18, 'belowMean': 19}",1.0968173509271226,1,False,False
3,3,0,{'month': 8},True,day,1.1601316388230014,"{7: 20, 6: 21, 2: 22, 4: 23, 1: 24, 3: 25, 5: 26}",1.843801244637286,1,False,False
4,4,0,{'month': 9},True,DMC,1.3646762612884367,"{'belowMean': 27, 'aboveMean': 28}",2.5086673086609554,1,False,False
5,5,0,{'month': 2},True,day,0.8059399234413372,"{1: 29, 6: 30, 7: 31, 5: 32, 2: 33}",0.036059039059026764,1,False,False
6,6,0,{'month': 1},True,,0.0,{},0.0,1,False,True
7,7,0,{'month': 7},True,temp,0.727163878653623,"{'belowMean': 34, 'aboveMean': 35}",0.4692850427631007,1,False,False
8,8,0,{'month': 4},True,Y,0.7350879225502963,"{'belowMean': 36, 'aboveMean': 37}",0.0,1,False,False
9,9,0,{'month': 12},True,RH,2.759019058471295,"{'aboveMean': 38, 'belowMean': 39}",0.06002370734552925,1,False,False
10,10,0,{'month': 6},True,day,0.41491092402128815,"{7: 40, 3: 41, 1: 42, 5: 43, 4: 44}",0.0,1,False,False
11,11,0,{'month': 5},True,,0.0,{},0.0,1,False,True
12,12,0,{'month': 11},True,,0.0,{},0.0,1,False,True
13,13,1,"{'month': 10, 'day': 2}",True,,0.0,{},0.0,2,False,True
14,14,1,"{'month': 10, 'day': 6}",True,X,1.6140168813264832,"{'aboveMean': 45, 'belowMean': 46}",0.0,2,False,False
15,15,1,"{'month': 10, 'day': 5}",True,,0.0,{},0.0,2,False,True
