,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,F,I,M,Class,estimatedOutput,lossValue,testID,learningRate,numHiddenNodesPercentage
84,0.6824324324324325,0.6638655462184875,0.11607142857142859,0.35806622985656095,0.2812615955473098,0.2837393021724819,0.40033500837520936,0,0,1,14,11.122918333981604,8.277598912939192,1,0.001,0.75
1595,0.6081081081081081,0.5798319327731093,0.12946428571428573,0.24969010093855143,0.20853432282003706,0.2106649111257406,0.24958123953098826,0,0,1,9,10.282304695906504,1.6443053331438713,1,0.001,0.75
3719,0.41216216216216217,0.3781512605042018,0.07589285714285715,0.101469806977156,0.12170686456400741,0.05661619486504278,0.07314349525404802,0,1,0,7,7.43721709159175,0.19115878517994844,1,0.001,0.75
2916,0.7027027027027027,0.6974789915966386,0.12946428571428573,0.42482734195147864,0.36437847866419293,0.5082290980908493,0.294249022892239,0,0,1,10,11.306123708772379,1.7059591426173142,1,0.001,0.75
2210,0.7905405405405407,0.7563025210084034,0.16964285714285715,0.5767664246502567,0.36029684601113166,0.39038841342988806,0.6795086543830262,0,0,1,18,11.87540136292591,37.510708465249806,1,0.001,0.75
2150,0.5,0.5042016806722689,0.0892857142857143,0.15565787143616078,0.13320964749536177,0.1356155365371955,0.16638749302065883,0,0,1,10,9.33416242498056,0.4433396763077682,1,0.001,0.75
2261,0.6891891891891893,0.6302521008403361,0.13392857142857142,0.33752434921197094,0.2682745825602968,0.2310730743910467,0.2998324958123953,0,0,1,11,10.806051904755044,0.03761586364914641,1,0.001,0.75
2834,0.6689189189189189,0.6218487394957983,0.10714285714285716,0.276252877634142,0.273469387755102,0.22909809084924287,0.21775544388609713,1,0,0,8,11.15457125311595,9.951319790985536,1,0.001,0.75
3692,0.7770270270270271,0.7815126050420169,0.14285714285714288,0.4829112803258367,0.45602968460111315,0.379196840026333,0.40033500837520936,0,0,1,11,11.580721300654385,0.3372372290337211,1,0.001,0.75
820,0.3918918918918919,0.36974789915966394,0.11160714285714286,0.08429254471400743,0.07940630797773654,0.05793285055957866,0.08040201005025124,0,1,0,7,7.367244934342471,0.13486884180020606,1,0.001,0.75
