,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,F,I,M,Class,estimatedOutput,lossValue,testID,learningRate,numHiddenNodesPercentage
0,0.5227272727272727,0.5188679245283019,0.4042553191489362,0.20179461615154537,0.17752898840463815,0.15678627145085805,0.1467065868263473,0,0,1,15,8.782038636172537,38.66304352205108,1,0.01,0.5
1,0.3636363636363636,0.33018867924528306,0.3829787234042553,0.08673978065802593,0.0775689724110356,0.0748829953198128,0.06686626746506986,0,0,1,7,8.028871901490334,1.0585773896763346,1,0.01,0.5
3,0.5,0.5188679245283019,0.5319148936170213,0.20259222333000998,0.17033186725309876,0.17706708268330734,0.15169660678642713,0,0,1,10,9.765268524654285,0.05509886551797592,1,0.01,0.5
4,0.33333333333333337,0.3113207547169811,0.34042553191489366,0.0785643070787637,0.06957217113154739,0.06084243369734789,0.05189620758483034,0,1,0,7,6.666028914305555,0.11153668607992655,1,0.01,0.5
5,0.47727272727272724,0.3962264150943396,0.4042553191489362,0.1369890329012961,0.11075569772091162,0.12012480499219969,0.11676646706586825,0,1,0,8,7.735795195838893,0.06980417854180886,1,0.01,0.5
7,0.6590909090909092,0.6320754716981131,0.5319148936170213,0.3030907278165504,0.23310675729708116,0.23244929797191885,0.2564870259481038,1,0,0,16,10.903949953614422,25.96972607526645,1,0.01,0.5
13,0.6439393939393939,0.5943396226415095,0.6170212765957447,0.2697906281156531,0.21591363454618154,0.26599063962558506,0.20159680638722555,1,0,0,10,10.994772448813908,0.9895722249192193,1,0.01,0.5
15,0.5909090909090909,0.5849056603773586,0.5531914893617021,0.261814556331007,0.20431827269092365,0.20670826833073325,0.2365269461077844,0,0,1,12,10.673960477896589,1.7583808141802424,1,0.01,0.5
17,0.5,0.4716981132075471,0.4255319148936171,0.1766699900299103,0.1483406637345062,0.1349453978159126,0.12674650698602793,1,0,0,10,9.079754310271461,0.8468521294639539,1,0.01,0.5
18,0.38636363636363635,0.38679245283018865,0.34042553191489366,0.09870388833499502,0.07556977209116354,0.06630265210608424,0.0968063872255489,0,0,1,7,8.201076106085832,1.4425838126103052,1,0.01,0.5
19,0.5151515151515151,0.4339622641509434,0.4255319148936171,0.14875373878364906,0.13434626149540185,0.11622464898595943,0.11177644710578842,0,0,1,9,8.747155470771254,0.06393035596090609,1,0.01,0.5
20,0.3712121212121212,0.3584905660377359,0.4042553191489362,0.09471585244267199,0.0743702518992403,0.09594383775351013,0.0718562874251497,0,0,1,11,8.321470327502514,7.174521206449492,1,0.01,0.5
21,0.4090909090909091,0.34905660377358494,0.4255319148936171,0.08673978065802593,0.061975209916033586,0.07566302652106084,0.08183632734530938,0,1,0,10,7.793517889335314,4.868563304683287,1,0.01,0.5
22,0.6893939393939393,0.660377358490566,0.6595744680851064,0.37148554336989037,0.3398640543782487,0.3330733229329173,0.26646706586826346,1,0,0,12,11.092484445607717,0.8235844814639333,1,0.01,0.5
23,0.6666666666666667,0.6132075471698112,0.574468085106383,0.301296111665005,0.25229908036785287,0.3268330733229329,0.1966067864271457,1,0,0,9,10.363436809977042,1.8589599348003725,1,0.01,0.5
25,0.6818181818181819,0.660377358490566,0.5957446808510639,0.367098703888335,0.3038784486205518,0.2925117004680187,0.2964071856287425,1,0,0,11,11.215890117079311,0.046608542652518826,1,0.01,0.5
27,0.7272727272727272,0.6698113207547169,0.5957446808510639,0.3680957128614158,0.282686925229908,0.36427457098283933,0.2764471057884232,0,0,1,12,10.965608362042364,1.0699660606766819,1,0.01,0.5
28,0.75,0.7264150943396226,0.7659574468085106,0.3702891326021934,0.3130747700919632,0.3408736349453978,0.29141716566866266,0,0,1,15,12.330811200503867,7.12456884735561,1,0.01,0.5
30,0.712121212121212,0.7169811320754716,0.7021276595744682,0.39461615154536395,0.31267493002798885,0.3767550702028081,0.3263473053892216,0,0,1,10,12.048950611415627,4.198198608020472,1,0.01,0.5
35,0.537878787878788,0.5,0.4468085106382979,0.18803589232303092,0.1795281887245102,0.19266770670826833,0.1217564870259481,0,0,1,8,8.760909204063317,0.5789828168282709,1,0.01,0.5
37,0.5151515151515151,0.5,0.4468085106382979,0.20518444666001995,0.1875249900039984,0.1809672386895476,0.14171656686626746,1,0,0,8,9.100166360953967,1.2103660217746943,1,0.01,0.5
39,0.3712121212121212,0.3773584905660377,0.3829787234042553,0.12741774675972084,0.1051579368252699,0.13338533541341652,0.08682634730538921,0,0,1,9,8.070007269249157,0.8648864792494105,1,0.01,0.5
40,0.5151515151515151,0.46226415094339623,0.4468085106382979,0.1663010967098704,0.14714114354258298,0.14118564742589704,0.11177644710578842,1,0,0,9,9.090718926000779,0.00822992353473482,1,0.01,0.5
42,0.19696969696969696,0.160377358490566,0.19148936170212766,0.024725822532402797,0.023190723710515795,0.0358814352574103,0.016966067864271458,0,1,0,5,5.0224829583686414,0.0005054834170060645,1,0.01,0.5
45,0.42424242424242425,0.38679245283018865,0.4042553191489362,0.07776669990029911,0.06797281087564974,0.06942277691107644,0.0718562874251497,0,1,0,7,7.632634560669383,0.4002264873533436,1,0.01,0.5
46,0.5454545454545454,0.5283018867924528,0.5106382978723404,0.22791625124626125,0.23230707716913235,0.3533541341653666,0.13672654690618763,0,0,1,9,8.800899404970558,0.03964104694107795,1,0.01,0.5
47,0.5303030303030303,0.5377358490566038,0.5106382978723404,0.18045862412761718,0.1399440223910436,0.17082683307332294,0.1467065868263473,1,0,0,7,10.118787766699306,9.726837133713245,1,0.01,0.5
48,0.3257575757575758,0.29245283018867924,0.29787234042553196,0.061016949152542375,0.058376649340263896,0.03900156006240249,0.041916167664670656,0,1,0,6,6.310396677878465,0.09634609763798772,1,0.01,0.5
54,0.446969696969697,0.4150943396226415,0.4255319148936171,0.15034895314057828,0.13634546181527388,0.14196567862714507,0.10678642714570859,0,0,1,7,8.51062747673603,2.281995373469864,1,0.01,0.5
56,0.5075757575757576,0.49056603773584906,0.5106382978723404,0.1732801595214357,0.15153938424630148,0.1482059282371295,0.1317365269461078,0,0,1,8,9.534385142708285,2.354337766163923,1,0.01,0.5
