,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,F,I,M,Class,estimatedOutput,lossValue,testID,learningRate,numHiddenNodesPercentage
3044,0.6496350364963503,0.6306306306306305,0.64,0.322202486678508,0.3607287449392712,0.3245315161839864,0.26468942361499714,0,1,0,9,1.3292232593809347e+28,1.7668344732792754e+56,1,0.05,0.5
1013,0.7226277372262774,0.6846846846846847,0.7,0.4024866785079929,0.38137651821862345,0.41652470187393525,0.3866815892557358,1,0,0,10,1.4246826623248336e+28,2.029720688328976e+56,1,0.05,0.5
926,0.43795620437956206,0.4144144144144144,0.36,0.147246891651865,0.1720647773279352,0.14310051107325383,0.10240626748740905,0,1,0,7,9.956075536160477e+27,9.912344008173314e+55,1,0.05,0.5
2101,0.5401459854014599,0.5135135135135135,0.62,0.2307282415630551,0.21133603238866397,0.22742759795570702,0.2367095691102406,0,0,1,19,1.4644451431649326e+28,2.14459957733936e+56,1,0.05,0.5
2482,0.5693430656934307,0.5495495495495496,0.66,0.3005328596802842,0.21862348178137653,0.33730834752981265,0.23111359820928928,0,0,1,12,1.5296100282381905e+28,2.339706838486838e+56,1,0.05,0.5
3694,0.759124087591241,0.7207207207207207,0.64,0.4252220248667851,0.44170040485829964,0.45400340715502563,0.3542249580302182,0,0,1,10,1.7344295397494847e+28,3.0082458283556097e+56,1,0.05,0.5
2962,0.7883211678832118,0.7027027027027026,0.7,0.44262877442273535,0.42995951417004047,0.5434412265758093,0.4280917739227756,0,1,0,9,1.5106066022980093e+28,2.281932306906336e+56,1,0.05,0.5
365,0.7299270072992702,0.7567567567567568,0.64,0.3571936056838366,0.33765182186234816,0.41056218057921634,0.3933967543368774,0,0,1,19,1.7042587893905333e+28,2.9044980212148862e+56,1,0.05,0.5
363,0.6861313868613139,0.6936936936936936,0.6,0.36181172291296626,0.32712550607287444,0.45570698466780246,0.3262451035254616,1,0,0,16,1.369248234715096e+28,1.8748407282704065e+56,1,0.05,0.5
1230,0.34306569343065696,0.3153153153153153,0.34,0.06589698046181172,0.0631578947368421,0.05877342419080068,0.06323447118074985,0,1,0,7,8.759301039565576e+27,7.672535470173458e+55,1,0.05,0.5
