,nodeName,nodeLayer,weightMap,currentInputs,currentOutputs,actualValue,currentPartialError,testID
0,Clump_thickness,0,{},[],"[0.3333333333333333, 0.2222222222222222, 0.4444444444444444, 0.1111111111111111, 0.2222222222222222, 0.0, 0.2222222222222222, 0.0, 0.2222222222222222, 0.1111111111111111, 0.0, 0.3333333333333333, 0.3333333333333333, 0.4444444444444444, 0.4444444444444444, 0.4444444444444444, 0.3333333333333333, 0.0, 0.2222222222222222, 0.0, 0.4444444444444444, 0.0, 0.0, 0.7777777777777778, 0.2222222222222222, 0.3333333333333333, 0.3333333333333333, 0.0, 0.2222222222222222, 0.2222222222222222, 0.1111111111111111, 0.0, 0.2222222222222222, 0.5555555555555556, 0.0, 0.0, 0.0, 0.0, 0.4444444444444444, 0.4444444444444444, 0.3333333333333333, 0.0, 0.0, 0.1111111111111111, 0.4444444444444444, 0.0, 0.3333333333333333, 0.2222222222222222, 0.2222222222222222, 0.0, 0.0, 0.0, 0.3333333333333333, 0.2222222222222222, 0.5555555555555556, 0.1111111111111111, 0.0, 0.4444444444444444, 0.1111111111111111, 0.4444444444444444, 0.0, 0.0, 0.0, 0.3333333333333333, 0.5555555555555556, 0.1111111111111111, 0.3333333333333333, 0.3333333333333333, 0.1111111111111111, 0.0, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.5555555555555556, 0.2222222222222222, 0.2222222222222222, 0.4444444444444444, 0.2222222222222222, 0.3333333333333333, 0.1111111111111111, 0.2222222222222222, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.0, 1.0, 1.0, 0.4444444444444444, 0.7777777777777778, 0.0, 0.7777777777777778, 0.3333333333333333, 0.6666666666666666, 0.3333333333333333, 0.4444444444444444, 1.0, 0.4444444444444444, 0.7777777777777778, 0.7777777777777778, 0.4444444444444444, 0.6666666666666666, 0.6666666666666666, 0.4444444444444444, 0.8888888888888888, 1.0, 1.0, 0.3333333333333333, 0.4444444444444444, 0.6666666666666666, 0.7777777777777778, 0.7777777777777778, 0.8888888888888888, 0.7777777777777778, 1.0, 0.4444444444444444, 1.0, 0.4444444444444444, 1.0, 0.3333333333333333, 0.8888888888888888, 1.0, 1.0, 0.4444444444444444, 0.6666666666666666, 0.7777777777777778, 0.7777777777777778, 1.0, 0.2222222222222222, 1.0, 1.0, 1.0, 0.8888888888888888, 0.4444444444444444]",[],[],1
1,Uniformity_of_cell_size,0,{},[],"[0.0, 0.0, 0.1111111111111111, 0.2222222222222222, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1111111111111111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2222222222222222, 0.0, 0.0, 0.0, 0.0, 0.1111111111111111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1111111111111111, 0.0, 0.0, 0.1111111111111111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7777777777777778, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1111111111111111, 0.0, 0.0, 0.0, 0.4444444444444444, 0.2222222222222222, 1.0, 1.0, 0.4444444444444444, 0.7777777777777778, 0.1111111111111111, 0.1111111111111111, 0.5555555555555556, 0.5555555555555556, 0.3333333333333333, 0.7777777777777778, 1.0, 0.2222222222222222, 0.2222222222222222, 0.3333333333333333, 0.8888888888888888, 0.4444444444444444, 0.5555555555555556, 1.0, 0.6666666666666666, 0.4444444444444444, 0.6666666666666666, 0.5555555555555556, 0.5555555555555556, 0.6666666666666666, 0.4444444444444444, 1.0, 1.0, 0.3333333333333333, 0.4444444444444444, 0.6666666666666666, 0.3333333333333333, 0.0, 1.0, 1.0, 0.7777777777777778, 0.7777777777777778, 0.4444444444444444, 1.0, 1.0, 1.0, 1.0, 1.0, 0.3333333333333333, 1.0, 0.3333333333333333, 1.0]",[],[],1
2,Uniformity_of_cell_shape,0,{},[],"[0.0, 0.0, 0.1111111111111111, 0.0, 0.0, 0.2222222222222222, 0.0, 0.0, 0.0, 0.0, 0.2222222222222222, 0.0, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2222222222222222, 0.0, 0.0, 0.2222222222222222, 0.0, 0.0, 0.0, 0.0, 0.1111111111111111, 0.0, 0.0, 0.0, 0.1111111111111111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2222222222222222, 0.0, 0.0, 0.2222222222222222, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.0, 0.0, 0.0, 0.0, 0.1111111111111111, 0.0, 0.0, 0.0, 0.2222222222222222, 0.0, 0.0, 0.2222222222222222, 0.0, 0.0, 0.1111111111111111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7777777777777778, 0.0, 0.2222222222222222, 0.0, 0.1111111111111111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2222222222222222, 0.0, 0.0, 0.0, 0.7777777777777778, 0.2222222222222222, 0.5555555555555556, 1.0, 0.7777777777777778, 0.8888888888888888, 0.2222222222222222, 0.3333333333333333, 0.5555555555555556, 0.5555555555555556, 0.3333333333333333, 0.6666666666666666, 1.0, 0.4444444444444444, 0.4444444444444444, 0.4444444444444444, 0.3333333333333333, 0.4444444444444444, 0.8888888888888888, 0.5555555555555556, 0.6666666666666666, 0.4444444444444444, 0.8888888888888888, 1.0, 0.4444444444444444, 0.7777777777777778, 0.4444444444444444, 0.7777777777777778, 1.0, 0.5555555555555556, 0.4444444444444444, 1.0, 0.2222222222222222, 0.0, 1.0, 0.6666666666666666, 0.3333333333333333, 0.3333333333333333, 1.0, 0.3333333333333333, 1.0, 1.0, 0.6666666666666666, 1.0, 0.5555555555555556, 1.0, 0.4444444444444444, 1.0]",[],[],1
3,Marginal_adhesion,0,{},[],"[0.0, 0.0, 0.1111111111111111, 0.0, 0.0, 0.0, 0.1111111111111111, 0.0, 0.0, 0.0, 0.1111111111111111, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1111111111111111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2222222222222222, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2222222222222222, 0.2222222222222222, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1111111111111111, 0.2222222222222222, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1111111111111111, 0.0, 0.0, 0.0, 0.0, 0.1111111111111111, 0.2222222222222222, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.6666666666666666, 0.5555555555555556, 0.3333333333333333, 0.4444444444444444, 0.0, 0.4444444444444444, 0.7777777777777778, 0.5555555555555556, 0.6666666666666666, 1.0, 0.3333333333333333, 0.0, 1.0, 1.0, 0.5555555555555556, 0.1111111111111111, 0.2222222222222222, 0.3333333333333333, 1.0, 0.7777777777777778, 0.4444444444444444, 0.3333333333333333, 0.6666666666666666, 0.1111111111111111, 0.7777777777777778, 0.6666666666666666, 0.6666666666666666, 0.2222222222222222, 0.5555555555555556, 1.0, 0.2222222222222222, 1.0, 0.7777777777777778, 0.3333333333333333, 1.0, 1.0, 0.3333333333333333, 1.0, 0.7777777777777778, 0.7777777777777778, 1.0, 0.0, 1.0, 1.0, 0.5555555555555556]",[],[],1
4,Single_epithelial_cell_size,0,{},[],"[0.1111111111111111, 0.0, 0.1111111111111111, 0.4444444444444444, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.0, 0.1111111111111111, 0.0, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.0, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.0, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.0, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.0, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.0, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.0, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.0, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.0, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.0, 0.2222222222222222, 0.1111111111111111, 1.0, 1.0, 0.4444444444444444, 0.4444444444444444, 0.2222222222222222, 0.2222222222222222, 0.6666666666666666, 0.5555555555555556, 0.1111111111111111, 1.0, 0.6666666666666666, 0.4444444444444444, 0.7777777777777778, 0.1111111111111111, 1.0, 0.2222222222222222, 1.0, 0.2222222222222222, 0.4444444444444444, 0.3333333333333333, 0.5555555555555556, 0.2222222222222222, 0.2222222222222222, 0.4444444444444444, 0.1111111111111111, 0.3333333333333333, 0.8888888888888888, 0.8888888888888888, 0.5555555555555556, 0.4444444444444444, 0.3333333333333333, 0.0, 1.0, 0.6666666666666666, 0.3333333333333333, 0.4444444444444444, 1.0, 0.7777777777777778, 0.5555555555555556, 0.5555555555555556, 0.4444444444444444, 1.0, 0.1111111111111111, 0.4444444444444444, 0.5555555555555556, 1.0]",[],[],1
5,Bare_nuclei,0,{},[],"[0.0, 0.0, 0.1111111111111111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1111111111111111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.1111111111111111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4444444444444444, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1111111111111111, 0.0, 0.2222222222222222, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4444444444444444, 0.0, 0.0, 1.0, 1.0, 0.3333333333333333, 1.0, 0.7777777777777778, 1.0, 0.7777777777777778, 0.3333333333333333, 0.5555555555555556, 1.0, 1.0, 1.0, 0.4444444444444444, 1.0, 1.0, 1.0, 0.2222222222222222, 1.0, 0.5555555555555556, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.4444444444444444, 0.1111111111111111, 0.7777777777777778, 1.0, 0.6666666666666666, 0.6666666666666666, 1.0, 1.0, 0.4444444444444444, 1.0, 0.0, 1.0, 0.7777777777777778, 1.0, 1.0, 1.0, 0.0, 0.7777777777777778, 1.0, 1.0, 1.0, 1.0, 1.0]",[],[],1
6,Bland_chromatin,0,{},[],"[0.2222222222222222, 0.1111111111111111, 0.2222222222222222, 0.0, 0.0, 0.1111111111111111, 0.0, 0.2222222222222222, 0.2222222222222222, 0.0, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.0, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.0, 0.0, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.2222222222222222, 0.2222222222222222, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.0, 0.2222222222222222, 0.0, 0.0, 0.1111111111111111, 0.0, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.0, 0.1111111111111111, 0.0, 0.1111111111111111, 0.0, 0.0, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.0, 0.1111111111111111, 0.2222222222222222, 0.0, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.0, 0.2222222222222222, 0.0, 0.0, 0.2222222222222222, 0.0, 0.0, 0.0, 0.2222222222222222, 0.0, 0.1111111111111111, 0.1111111111111111, 0.0, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.1111111111111111, 0.0, 0.0, 0.0, 0.2222222222222222, 0.2222222222222222, 0.1111111111111111, 0.0, 0.0, 0.1111111111111111, 0.4444444444444444, 0.2222222222222222, 0.1111111111111111, 0.4444444444444444, 0.6666666666666666, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.2222222222222222, 0.6666666666666666, 0.3333333333333333, 0.1111111111111111, 0.4444444444444444, 0.3333333333333333, 0.0, 0.4444444444444444, 0.2222222222222222, 0.4444444444444444, 0.2222222222222222, 0.1111111111111111, 0.3333333333333333, 0.4444444444444444, 0.6666666666666666, 0.7777777777777778, 0.8888888888888888, 0.5555555555555556, 0.4444444444444444, 0.4444444444444444, 0.6666666666666666, 0.6666666666666666, 0.7777777777777778, 0.6666666666666666, 0.6666666666666666, 1.0, 0.1111111111111111, 1.0, 1.0, 0.2222222222222222, 0.8888888888888888, 0.3333333333333333, 0.7777777777777778, 1.0, 0.7777777777777778, 0.6666666666666666, 0.3333333333333333, 0.4444444444444444, 1.0, 0.3333333333333333, 1.0]",[],[],1
7,Normal_nucleoli,0,{},[],"[0.0, 0.0, 0.1111111111111111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1111111111111111, 0.0, 0.0, 0.0, 0.0, 0.1111111111111111, 0.1111111111111111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2222222222222222, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1111111111111111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2222222222222222, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2222222222222222, 1.0, 0.2222222222222222, 1.0, 0.7777777777777778, 0.5555555555555556, 0.2222222222222222, 0.6666666666666666, 1.0, 0.2222222222222222, 0.6666666666666666, 0.7777777777777778, 0.5555555555555556, 0.2222222222222222, 0.7777777777777778, 0.2222222222222222, 0.0, 0.8888888888888888, 0.2222222222222222, 0.6666666666666666, 0.4444444444444444, 1.0, 1.0, 0.0, 1.0, 0.0, 0.6666666666666666, 1.0, 1.0, 1.0, 0.4444444444444444, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.1111111111111111, 1.0, 0.8888888888888888, 0.3333333333333333, 1.0, 0.2222222222222222, 1.0, 0.7777777777777778, 0.5555555555555556]",[],[],1
8,Mitoses,0,{},[],"[0.0, 0.0, 0.1111111111111111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1111111111111111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1111111111111111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4444444444444444, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2222222222222222, 0.2222222222222222, 1.0, 0.7777777777777778, 0.0, 0.0, 0.0, 0.0, 0.2222222222222222, 0.3333333333333333, 0.0, 0.0, 0.6666666666666666, 0.1111111111111111, 0.0, 0.1111111111111111, 0.2222222222222222, 0.0, 1.0, 0.1111111111111111, 0.1111111111111111, 0.7777777777777778, 0.0, 0.1111111111111111, 0.0, 0.1111111111111111, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2222222222222222, 0.3333333333333333, 0.0, 0.2222222222222222, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.6666666666666666, 0.0, 0.4444444444444444]",[],[],1
9,HiddenNode-0-0,1,"{'Intercept': -1.09464366367679, 'Clump_thickness': 0.10439317590464964, 'Uniformity_of_cell_size': 0.2873466946839504, 'Uniformity_of_cell_shape': 0.2770269647284072, 'Marginal_adhesion': 0.1803639370042056, 'Single_epithelial_cell_size': 0.07526141179401656, 'Bare_nuclei': 0.3173819926396774, 'Bland_chromatin': 0.1519713410705185, 'Normal_nucleoli': 0.23709882514691064, 'Mitoses': 0.10335973003484689}","[-1.0177121501602342, -1.0545594755790324, -0.8502708923666067, -0.9857400845158326, -1.0630828010541993, -1.0078340323077513, -1.0430423636092876, -1.052509875461784, -0.9940467260785644, -1.0746820428213826, -0.9709078902994485, -1.042960233811849, -1.0345978547236252, -0.9239769645114821, -1.006112908393051, -0.9459915960583156, -1.0177121501602342, -1.077918905500342, -0.9572888035076402, -1.052509875461784, -0.9614370652390181, -1.0579111655768587, -1.069395580025175, -0.784289834579134, -1.0461970964908085, -1.0177121501602342, -1.0177121501602342, -1.069395580025175, -0.9202184561981426, -1.019852782585596, -1.0577963382579918, -0.9452226211931538, -0.9985306180687056, -1.0366474548408735, -1.0862812845885659, -1.069395580025175, -1.0862812845885659, -1.077757959113399, -0.833402896689917, -0.9946284939447345, -0.98095422758931, -1.0161964113959752, -1.0862812845885659, -1.0577963382579918, -0.9998034426300093, -1.0462004096987425, -1.0345978547236252, -1.0461970964908085, -1.0226320650585936, -1.0862812845885659, -1.038614806166463, -0.9590209172239212, -1.0207027854283042, -1.0293113919274175, -0.9945136666258676, -1.0409106336946008, -1.0862812845885659, -0.975332134534339, -1.0287443850281173, -1.0398843175198327, -1.052509875461784, -1.024719736871142, -1.0746032262318783, -1.0114026843971926, -0.9329521189084438, -1.0746820428213826, -0.9998911617301888, -1.0038170808649132, -1.0830444219096067, -1.052509875461784, -1.0577963382579918, -1.0461970964908085, -1.0409106336946008, -1.0409106336946008, -1.020870196249689, -0.28333411590575464, -1.0545594755790324, -0.8873648767019924, -1.0398843175198327, -1.0122615897505758, -0.9776312752704107, -1.0409106336946008, -1.0461970964908085, -1.0419550358663654, -1.0862812845885659, -0.9759066217873122, -0.87767980293959, -1.0177121501602342, -1.077757959113399, -0.04209309370887371, -0.18175412619432862, -0.034825054418040846, 0.2982044735379996, -0.0325511875373683, 0.15296633925040148, -0.38958201433290385, -0.6917996883169019, -0.15729672321797727, 0.08698035766490952, -0.3066050433084122, 0.09842455097528902, 0.22649536075136956, -0.27231224952909483, -0.36511868781109713, -0.07036855643383433, -0.20793165187749385, -0.32933361192398736, 0.0066586382556961254, -0.059982142139767713, 0.03404455596322742, 0.000902250189327436, 0.24433966467009904, 0.2095531809550386, -0.25203223730164914, 0.004457771093679508, -0.6198066913871676, 0.1609661115210721, 0.5204196042172606, -0.04453218619415189, -0.10752393230421864, 0.07806991046131118, -0.15810230051432606, -0.8618206955266136, 0.5246014375283627, 0.08427718182186972, 0.03349762730479422, 0.10043807456426279, 0.26342050290808827, -0.053175750605490846, 0.5829124094431299, 0.08517257238115472, 0.0015185661990306798, 0.5382461819500475, -0.2945885691253741, 0.5632952705443235, -0.008319266431497052, 0.3386031228523987]","[0.26547328545303567, 0.25835051799704284, 0.2993760347576474, 0.2717543113789487, 0.25672076831237245, 0.26740394800789413, 0.26056339452078403, 0.2587434271737842, 0.2701135148821837, 0.2545137092407965, 0.2746995774061146, 0.2605792187892249, 0.26219368563085316, 0.28414825385110615, 0.2677412495410146, 0.2796916584240153, 0.26547328545303567, 0.2539000464620096, 0.2774213498185371, 0.2587434271737842, 0.276590562749175, 0.2577088359867141, 0.255518045131022, 0.3133960657666974, 0.2599560310642013, 0.26547328545303567, 0.26547328545303567, 0.255518045131022, 0.2849133844339986, 0.2650560776931142, 0.25773080248886, 0.27984660559888636, 0.26923041745819554, 0.26179738756342147, 0.25231918334311193, 0.255518045131022, 0.25231918334311193, 0.2539305365183137, 0.30292602670621843, 0.2699988334059756, 0.27270248508538913, 0.2657689553470514, 0.25231918334311193, 0.25773080248886, 0.2689800686495926, 0.2599553936734337, 0.26219368563085316, 0.2599560310642013, 0.2645150233494952, 0.25231918334311193, 0.26141735641545805, 0.2770742663760577, 0.26489052905951194, 0.2632176269825742, 0.27002146640662605, 0.2609743247511074, 0.25231918334311193, 0.2738189714358418, 0.2633276037219494, 0.26117231554507664, 0.2587434271737842, 0.26410907314390225, 0.25452866391247847, 0.26670543290571425, 0.2823261775775164, 0.2545137092407965, 0.2689628208107657, 0.26819159995167585, 0.25293032054507475, 0.2587434271737842, 0.25773080248886, 0.2599560310642013, 0.2609743247511074, 0.2609743247511074, 0.26485793151540554, 0.42963656337529504, 0.25835051799704284, 0.29165392356231706, 0.26117231554507664, 0.2665374873179915, 0.273362043180423, 0.2609743247511074, 0.2599560310642013, 0.2607729446136426, 0.25231918334311193, 0.27370475400406585, 0.29365881135838434, 0.26547328545303567, 0.2539305365183137, 0.48947828008387423, 0.45468614344300445, 0.4912946161905243, 0.5740035268851672, 0.49186292159330264, 0.5381671919268878, 0.40381792629132696, 0.3336328432732439, 0.46075669984038947, 0.5217313902577999, 0.4239436248475478, 0.5245862928591433, 0.5563830079680466, 0.43233952944864035, 0.4097210431495883, 0.48241511659778735, 0.44820357336849326, 0.4184027744708646, 0.5016646534133861, 0.48500895883123335, 0.5085103170293526, 0.5002255625320301, 0.5607828126680463, 0.552197424782019, 0.43732335961851476, 0.501114440927932, 0.349825417728743, 0.5401548639560751, 0.6272458785771735, 0.4888687929298703, 0.4731448854909072, 0.5195075705462678, 0.46055655247301375, 0.2969590905929459, 0.6282231052669388, 0.5210568336655742, 0.5083736238434876, 0.5250884315819074, 0.5654769405037452, 0.4867091940249114, 0.6417372760226351, 0.5212802800701497, 0.5003796414768019, 0.6314043407263432, 0.42688088233311366, 0.6372146589260147, 0.49792019538741866, 0.5838511649207878]",[],[],1
