,Class
0,2
1,2
2,2
3,2
4,2
5,4
6,2
7,2
8,2
9,2
10,2
11,2
12,4
13,2
14,4
15,4
16,2
17,2
18,4
19,2
20,4
21,4
22,2
23,4
24,2
25,4
26,2
27,2
28,2
29,2
30,2
31,2
32,4
33,2
34,2
35,2
36,4
37,2
38,4
39,4
40,2
41,4
42,4
43,4
44,4
45,2
46,4
47,2
48,2
49,4
50,4
51,4
52,4
53,4
54,4
55,4
56,4
57,4
58,4
59,4
60,4
61,2
62,4
63,4
64,2
65,4
66,2
67,4
68,4
69,2
70,2
71,4
72,2
73,4
74,4
75,2
76,2
77,2
78,2
79,2
80,2
81,2
82,2
83,2
84,4
85,4
86,4
87,4
88,2
89,2
90,2
91,2
92,2
93,2
94,2
95,2
96,2
97,2
98,4
99,4
100,4
101,4
102,2
103,4
104,4
105,4
106,4
107,4
108,2
109,4
110,2
111,4
112,4
113,4
114,2
115,2
116,2
117,4
118,2
119,2
120,2
121,2
122,4
123,4
124,4
125,2
126,4
127,2
128,4
129,2
130,2
131,2
132,4
133,2
134,2
135,2
136,2
137,2
138,2
139,2
140,2
141,2
142,4
143,2
144,2
145,2
146,4
147,2
148,2
149,4
150,2
151,4
152,4
153,2
154,2
155,4
156,2
157,2
158,2
159,4
160,4
161,2
162,2
163,2
164,2
165,2
166,4
167,4
168,2
169,2
170,2
171,2
172,2
173,4
174,4
175,4
176,2
177,4
178,2
179,4
180,2
181,2
182,2
183,4
184,4
185,2
186,4
187,4
188,4
189,2
190,4
191,4
192,2
193,2
194,2
195,2
196,2
197,2
198,2
199,2
200,4
201,4
202,2
203,2
204,2
205,4
206,4
207,2
208,2
209,2
210,4
211,4
212,2
213,4
214,4
215,4
216,2
217,2
218,4
219,2
220,2
221,4
222,4
223,4
224,4
225,2
226,4
227,4
228,2
229,4
230,4
231,4
232,2
233,4
234,2
235,2
236,4
237,4
238,4
239,4
240,2
241,2
242,2
243,2
244,2
245,2
246,4
247,4
248,2
249,2
250,2
251,4
252,2
253,4
254,4
255,4
256,2
257,2
258,2
259,2
260,4
261,4
262,4
263,4
264,4
265,2
266,4
267,4
268,4
269,2
270,4
271,2
272,4
273,4
274,2
275,2
276,2
277,2
278,2
279,4
280,2
281,2
282,4
283,4
284,4
285,4
286,4
287,2
288,4
289,4
290,2
291,2
292,4
293,4
294,2
295,4
296,2
297,2
298,2
299,4
300,4
301,2
302,4
303,2
304,4
305,4
306,2
307,2
308,4
309,2
310,2
311,2
312,4
313,2
314,2
315,2
316,4
317,4
318,2
319,2
320,4
321,2
322,2
323,4
324,2
325,2
326,4
327,2
328,4
329,4
330,4
331,2
332,2
333,4
334,4
335,2
336,4
337,2
338,2
339,4
340,4
341,2
342,2
343,2
344,4
345,2
346,2
347,2
348,4
349,4
350,2
351,2
352,2
353,4
354,2
355,2
356,4
357,4
358,4
359,4
360,4
361,4
362,2
363,2
364,2
365,2
366,4
367,4
368,2
369,2
370,2
371,2
372,2
373,2
374,2
375,2
376,2
377,2
378,2
379,2
380,2
381,4
382,2
383,2
384,2
385,2
386,4
387,2
388,2
389,2
390,2
391,4
392,2
393,2
394,2
395,2
396,2
397,2
398,2
399,2
400,4
401,2
402,2
403,2
404,2
405,2
406,2
407,2
408,2
409,2
410,2
411,2
412,4
413,2
414,4
415,2
416,4
417,2
418,2
419,2
420,2
421,4
422,2
423,2
424,2
425,4
426,2
427,4
428,2
429,2
430,2
431,2
432,2
433,2
434,2
435,4
436,4
437,2
438,2
439,2
440,4
441,2
442,2
443,2
444,2
445,2
446,2
447,2
448,2
449,4
450,2
451,2
452,2
453,4
454,2
455,4
456,4
457,4
458,2
459,2
460,2
461,2
462,2
463,2
464,2
465,4
466,4
467,4
468,2
469,2
470,2
471,2
472,2
473,2
474,2
475,2
476,2
477,2
478,2
479,4
480,2
481,2
482,4
483,4
484,2
485,2
486,2
487,4
488,4
489,4
490,2
491,4
492,2
493,4
494,2
495,2
496,2
497,2
498,2
499,2
500,2
501,2
502,2
503,2
504,2
505,2
506,4
507,2
508,2
509,2
510,2
511,2
512,2
513,2
514,4
515,4
516,2
517,2
518,2
519,4
520,2
521,2
522,4
523,4
524,2
525,2
526,2
527,2
528,2
529,2
530,4
531,2
532,2
533,2
534,2
535,2
536,2
537,2
538,2
539,2
540,2
541,2
542,2
543,2
544,2
545,2
546,4
547,2
548,2
549,4
550,2
551,2
552,2
553,2
554,2
555,2
556,2
557,2
558,2
559,2
560,2
561,2
562,2
563,2
564,2
565,4
566,2
567,2
568,4
569,4
570,4
571,4
572,2
573,2
574,4
575,2
576,2
577,2
578,2
579,2
580,2
581,4
582,4
583,2
584,2
585,2
586,4
587,2
588,4
589,2
590,4
591,4
592,4
593,2
594,4
595,2
596,2
597,2
598,2
599,2
600,2
601,2
602,2
603,4
604,4
605,4
606,2
607,2
608,4
609,2
610,4
611,4
612,4
613,2
614,2
615,2
616,2
617,2
618,2
619,2
620,2
621,2
622,2
623,2
624,2
625,2
626,4
627,2
628,2
629,2
630,2
631,2
632,2
633,4
634,2
635,2
636,4
637,2
638,2
639,2
640,2
641,2
642,2
643,2
644,2
645,2
646,2
647,2
648,4
649,2
650,2
651,2
652,2
653,2
654,2
655,2
656,2
657,2
658,4
659,2
660,2
661,2
662,2
663,2
664,2
665,2
666,2
667,2
668,4
669,4
670,4
671,2
672,2
673,2
674,2
675,2
676,2
677,2
678,2
679,2
680,4
681,4
682,2
683,2
684,2
685,2
686,2
687,2
688,2
689,2
690,2
691,4
692,2
693,2
694,2
695,2
696,4
697,4
698,4
