,buying,maint,doors,persons,lug_boot,safety,Class,estimatedOutput,lossValue,testID
1,3,3,0,0,0,1,unacc,1.2897214647023143,1.2167935950451432,Test1
2,3,3,0,0,0,2,unacc,1.2897214647023558,1.3849294808232415,Test1
4,3,3,0,0,1,1,unacc,1.2897214647023552,1.0306668249836755,Test1
5,3,3,0,0,1,2,unacc,1.2897214647023567,1.1988027107617474,Test1
16,3,3,0,1,2,1,unacc,1.2897214647023567,1.1339572292104405,Test1
21,3,3,0,2,1,0,unacc,1.2897214647023565,1.4413652877821226,Test1
23,3,3,0,2,1,2,unacc,1.2897214647023567,1.4443037260049312,Test1
24,3,3,0,2,2,0,unacc,1.2897214647023567,1.5885718510539613,Test1
25,3,3,0,2,2,1,unacc,1.2897214647023567,1.423374403498699,Test1
26,3,3,0,2,2,2,unacc,1.2897214647023567,1.59151028927677,Test1
28,3,3,1,0,0,1,unacc,1.2897214647023543,0.8520218708742583,Test1
32,3,3,1,0,1,2,unacc,1.2897214647023567,0.8340309865908352,Test1
34,3,3,1,0,2,1,unacc,1.2897214647023567,0.813101664084603,Test1
35,3,3,1,0,2,2,unacc,1.2897214647023567,0.9812375498626742,Test1
38,3,3,1,1,0,2,unacc,1.2897214647023567,0.976241597607255,Test1
40,3,3,1,1,1,1,unacc,1.2897214647023567,0.6219789417676894,Test1
43,3,3,1,1,2,1,unacc,1.2897214647023567,0.7691855050395283,Test1
44,3,3,1,1,2,2,unacc,1.2897214647023567,0.9373213908175995,Test1
45,3,3,1,2,0,0,unacc,1.2897214647023565,1.2627203336727049,Test1
46,3,3,1,2,0,1,unacc,1.2897214647023567,1.0975228861174424,Test1
49,3,3,1,2,1,1,unacc,1.2897214647023567,0.9113961160559482,Test1
55,3,3,2,0,0,1,unacc,1.2897214647023565,0.8205834800366798,Test1
56,3,3,2,0,0,2,unacc,1.2897214647023567,0.9887193658147511,Test1
60,3,3,2,0,2,0,unacc,1.2897214647023567,0.9468607208022867,Test1
66,3,3,2,1,1,0,unacc,1.2897214647023567,0.7557379984853729,Test1
67,3,3,2,1,1,1,unacc,1.2897214647023567,0.5905405509301108,Test1
68,3,3,2,1,1,2,unacc,1.2897214647023567,0.7586764367081819,Test1
69,3,3,2,1,2,0,unacc,1.2897214647023567,0.9029445617572119,Test1
72,3,3,2,2,0,0,unacc,1.2897214647023567,1.2312819428351258,Test1
75,3,3,2,2,1,0,unacc,1.2897214647023567,1.0451551727736315,Test1
77,3,3,2,2,1,2,unacc,1.2897214647023567,1.0480936109964405,Test1
78,3,3,2,2,2,0,unacc,1.2897214647023567,1.1923617360454706,Test1
81,3,3,3,0,0,0,unacc,1.2897214647023565,1.287675870087697,Test1
83,3,3,3,0,0,2,unacc,1.2897214647023567,1.2906143083105057,Test1
86,3,3,3,0,1,2,unacc,1.2897214647023567,1.1044875382490111,Test1
88,3,3,3,0,2,1,unacc,1.2897214647023567,1.083558215742779,Test1
89,3,3,3,0,2,2,unacc,1.2897214647023567,1.25169410152085,Test1
91,3,3,3,1,0,1,unacc,1.2897214647023567,1.0785622634873597,Test1
93,3,3,3,1,1,0,unacc,1.2897214647023567,1.0576329409811276,Test1
94,3,3,3,1,1,1,unacc,1.2897214647023567,0.8924354934258654,Test1
95,3,3,3,1,1,2,unacc,1.2897214647023567,1.0605713792039364,Test1
96,3,3,3,1,2,0,unacc,1.2897214647023567,1.2048395042529665,Test1
97,3,3,3,1,2,1,unacc,1.2897214647023567,1.0396420566977043,Test1
100,3,3,3,2,0,1,unacc,1.2897214647023567,1.3679794377756185,Test1
106,3,3,3,2,2,1,unacc,1.2897214647023567,1.3290592309859628,Test1
108,3,2,0,0,0,0,unacc,1.2897214645278854,1.147998339714399,Test1
109,3,2,0,0,0,1,unacc,1.2897214646983066,0.9828008923762669,Test1
110,3,2,0,0,0,2,unacc,1.2897214647022628,1.1509367781578297,Test1
111,3,2,0,0,1,0,unacc,1.2897214646957993,0.961871569866798,Test1
113,3,2,0,0,1,2,unacc,1.2897214647023532,0.96481000809638,Test1
115,3,2,0,0,2,1,unacc,1.289721464702351,0.9438806855901462,Test1
117,3,2,0,1,0,0,unacc,1.2897214646918997,1.104082180879771,Test1
122,3,2,0,1,1,2,unacc,1.2897214647023565,0.9208938490513061,Test1
123,3,2,0,1,2,0,unacc,1.2897214647023418,1.0651619741003286,Test1
124,3,2,0,1,2,1,unacc,1.2897214647023565,0.8999645265450739,Test1
126,3,2,0,2,0,0,unacc,1.2897214647017297,1.3934993551778179,Test1
127,3,2,0,2,0,1,unacc,1.2897214647023423,1.2283019076229837,Test1
130,3,2,0,2,1,1,unacc,1.2897214647023563,1.0421751375614934,Test1
132,3,2,0,2,2,0,unacc,1.2897214647023558,1.3545791483885947,Test1
133,3,2,0,2,2,1,unacc,1.2897214647023567,1.1893817008333325,Test1
135,3,2,1,0,0,0,unacc,1.2897214646933297,0.7832266157578157,Test1
140,3,2,1,0,1,2,unacc,1.2897214647023565,0.6000382839254691,Test1
146,3,2,1,1,0,2,unacc,1.2897214647023565,0.7422488949418887,Test1
150,3,2,1,1,2,0,unacc,1.289721464702356,0.700390249929424,Test1
153,3,2,1,2,0,0,unacc,1.2897214647023243,1.028727631007334,Test1
154,3,2,1,2,0,1,unacc,1.289721464702356,0.8635301834520762,Test1
155,3,2,1,2,0,2,unacc,1.2897214647023567,1.0316660692301471,Test1
157,3,2,1,2,1,1,unacc,1.2897214647023567,0.6774034133905816,Test1
161,3,2,1,2,2,2,unacc,1.2897214647023567,0.9927458624404917,Test1
163,3,2,2,0,0,1,unacc,1.2897214647023458,0.5865907773713163,Test1
170,3,2,2,0,2,2,unacc,1.2897214647023567,0.7158064563597292,Test1
172,3,2,2,1,0,1,unacc,1.289721464702356,0.5426746183262392,Test1
174,3,2,2,1,1,0,unacc,1.2897214647023558,0.521745295820007,Test1
175,3,2,2,1,1,1,unacc,1.2897214647023567,0.3565478482647444,Test1
176,3,2,2,1,1,2,unacc,1.2897214647023567,0.5246837340428154,Test1
179,3,2,2,1,2,2,unacc,1.2897214647023567,0.6718902973146544,Test1
182,3,2,2,2,0,2,unacc,1.2897214647023567,1.0002276783925685,Test1
183,3,2,2,2,1,0,unacc,1.2897214647023567,0.8111624701082651,Test1
185,3,2,2,2,1,2,unacc,1.2897214647023567,0.8141009083310741,Test1
187,3,2,2,2,2,1,unacc,1.2897214647023567,0.7931715858248419,Test1
188,3,2,2,2,2,2,unacc,1.2897214647023567,0.961307471602913,Test1
189,3,2,3,0,0,0,unacc,1.2897214647023325,1.0536831674223406,Test1
190,3,2,3,0,0,1,unacc,1.2897214647023563,0.8884857198670687,Test1
193,3,2,3,0,1,1,unacc,1.2897214647023567,0.7023589498055737,Test1
194,3,2,3,0,1,2,unacc,1.2897214647023567,0.8704948355836448,Test1
195,3,2,3,0,2,0,unacc,1.2897214647023567,1.014762960632675,Test1
201,3,2,3,1,1,0,unacc,1.2897214647023567,0.8236402383157612,Test1
203,3,2,3,1,1,2,unacc,1.2897214647023567,0.8265786765385701,Test1
205,3,2,3,1,2,1,unacc,1.2897214647023567,0.805649354032338,Test1
206,3,2,3,1,2,2,unacc,1.2897214647023567,0.9737852398104091,Test1
207,3,2,3,2,0,0,unacc,1.2897214647023565,1.2991841826655144,Test1
214,3,2,3,2,2,1,unacc,1.2897214647023567,1.0950665283205965,Test1
215,3,2,3,2,2,2,unacc,1.2897214647023567,1.2632024140986677,Test1
216,3,1,0,0,0,0,unacc,1.2897214479389956,1.2473389456037756,Test1
217,3,1,0,0,0,1,unacc,1.2897214643136516,1.0821415226202176,Test1
221,3,1,0,0,1,2,unacc,1.2897214647020174,1.064150638764186,Test1
224,3,1,0,0,2,2,unacc,1.2897214647023438,1.2113572020361836,Test1
226,3,1,0,1,0,1,unacc,1.2897214646790627,1.038225363983767,Test1
229,3,1,0,1,1,1,unacc,1.2897214647014807,0.8520985939406932,Test1
235,3,1,0,2,0,1,unacc,1.28972146470096,1.3276425382902215,Test1
237,3,1,0,2,1,0,unacc,1.2897214647000954,1.306713215783174,Test1
240,3,1,0,2,2,0,unacc,1.2897214647022717,1.453919779056523,Test1
243,3,1,1,0,0,0,unacc,1.2897214638359271,0.8825672456274756,Test1
244,3,1,1,0,0,1,unacc,1.2897214646822481,0.7173697988660527,Test1
245,3,1,1,0,0,2,unacc,1.2897214647018895,0.8855056846548618,Test1
247,3,1,1,0,1,1,unacc,1.2897214647016002,0.5312430288151333,Test1
248,3,1,1,0,1,2,unacc,1.289721464702339,0.6993789145934373,Test1
249,3,1,1,0,2,0,unacc,1.2897214647011324,0.8436470396418961,Test1
251,3,1,1,0,2,2,unacc,1.289721464702356,0.8465854778652749,Test1
252,3,1,1,1,0,0,unacc,1.2897214646504376,0.8386510873537438,Test1
267,3,1,1,2,2,0,unacc,1.2897214647023523,1.0891480548856503,Test1
271,3,1,2,0,0,1,unacc,1.2897214647013155,0.6859314080393063,Test1
274,3,1,2,0,1,1,unacc,1.2897214647023174,0.4998046379777961,Test1
275,3,1,2,0,1,2,unacc,1.2897214647023558,0.6679405237558579,Test1
278,3,1,2,0,2,2,unacc,1.2897214647023567,0.8151470870276961,Test1
279,3,1,2,1,0,0,unacc,1.289721464699669,0.8072126965492553,Test1
282,3,1,2,1,1,0,unacc,1.2897214647022555,0.6210859264879889,Test1
285,3,1,2,1,2,0,unacc,1.289721464702353,0.7682924897598138,Test1
289,3,1,2,2,0,1,unacc,1.289721464702353,0.9314324232824666,Test1
294,3,1,2,2,2,0,unacc,1.2897214647023565,1.0577096640480714,Test1
297,3,1,3,0,0,0,unacc,1.2897214647000357,1.1530237980907516,Test1
298,3,1,3,0,0,1,unacc,1.2897214647023028,0.987826350535067,Test1
299,3,1,3,0,0,2,unacc,1.2897214647023552,1.1559622363131072,Test1
302,3,1,3,0,1,2,unacc,1.2897214647023567,0.9698354662516118,Test1
309,3,1,3,1,1,0,unacc,1.2897214647023514,0.9229808689837319,Test1
315,3,1,3,2,0,0,unacc,1.2897214647023485,1.3985248133334878,Test1
318,3,1,3,2,1,0,unacc,1.2897214647023565,1.212398043271987,Test1
321,3,1,3,2,2,0,unacc,1.2897214647023567,1.3596046065438256,Test1
325,3,0,0,0,0,1,unacc,1.2897214273469833,1.5148154375012728,Test1
326,3,0,0,0,0,2,unacc,1.2897214638362875,1.6829513720172689,Test1
330,3,0,0,0,2,0,unacc,1.2897214624317284,1.6410927249661542,Test1
332,3,0,0,0,2,2,unacc,1.2897214647011328,1.6440311660369098,Test1
336,3,0,0,1,1,0,unacc,1.289721461080499,1.4499700011558294,Test1
339,3,0,0,1,2,0,unacc,1.2897214645663138,1.5971765686380273,Test1
342,3,0,0,2,0,0,unacc,1.2897214589247439,1.9255139432431336,Test1
343,3,0,0,2,0,1,unacc,1.289721464568356,1.7603165021915073,Test1
345,3,0,0,2,1,0,unacc,1.2897214644853856,1.73938717958825,Test1
346,3,0,0,2,1,1,unacc,1.28972146469732,1.5741897322281406,Test1
352,3,0,1,0,0,1,unacc,1.289721462771896,1.1500437614036336,Test1
354,3,0,1,0,1,0,unacc,1.2897214615766759,1.1291144374853723,Test1
355,3,0,1,0,1,1,unacc,1.28972146462983,0.9639169927780632,Test1
356,3,0,1,0,1,2,unacc,1.289721464700672,1.1320528785944985,Test1
359,3,0,1,0,2,2,unacc,1.2897214647022932,1.2792594418665808,Test1
363,3,0,1,1,1,0,unacc,1.2897214645150896,1.0851982812077037,Test1
364,3,0,1,1,1,1,unacc,1.2897214646980084,0.9200008337705251,Test1
380,3,0,2,0,0,2,unacc,1.2897214647000375,1.2867412578190915,Test1
383,3,0,2,0,1,2,unacc,1.2897214647022694,1.1006144877571942,Test1
384,3,0,2,0,2,0,unacc,1.2897214646962787,1.2448826128054002,Test1
397,3,0,2,2,0,1,unacc,1.2897214647019977,1.3641063872838985,Test1
406,3,0,3,0,0,1,unacc,1.2897214646971868,1.4205003145381996,Test1
407,3,0,3,0,0,2,unacc,1.2897214647022366,1.588636200314497,Test1
408,3,0,3,0,1,0,unacc,1.2897214646939876,1.3995709920317854,Test1
412,3,0,3,0,2,1,unacc,1.2897214647023492,1.381580107746686,Test1
420,3,0,3,1,2,0,unacc,1.2897214647023378,1.502861396256881,Test1
426,3,0,3,2,1,0,unacc,1.2897214647023265,1.6450720072733105,Test1
432,2,3,0,0,0,0,unacc,1.2897214646252748,1.1020812404012346,Test1
437,2,3,0,0,1,2,unacc,1.2897214647023552,0.9188929086657498,Test1
440,2,3,0,0,2,2,unacc,1.2897214647023567,1.0660994719375891,Test1
444,2,3,0,1,1,0,unacc,1.2897214647021829,0.872038311397724,Test1
445,2,3,0,1,1,1,unacc,1.289721464702353,0.7068408638426028,Test1
447,2,3,0,1,2,0,unacc,1.28972146470235,1.0192448746697018,Test1
449,2,3,0,1,2,2,unacc,1.2897214647023567,1.0221833128925146,Test1
451,2,3,0,2,0,1,unacc,1.2897214647023503,1.1823848081923554,Test1
452,2,3,0,2,0,2,unacc,1.2897214647023565,1.3505206939704288,Test1
454,2,3,0,2,1,1,unacc,1.2897214647023565,0.9962580381308633,Test1
455,2,3,0,2,1,2,unacc,1.2897214647023567,1.1643939239089343,Test1
462,2,3,1,0,1,0,unacc,1.2897214647022068,0.5511827462719477,Test1
465,2,3,1,0,2,0,unacc,1.2897214647023512,0.6983893095438666,Test1
467,2,3,1,0,2,2,unacc,1.2897214647023567,0.7013277477666772,Test1
470,2,3,1,1,0,2,unacc,1.2897214647023565,0.696331795511258,Test1
471,2,3,1,1,1,0,unacc,1.2897214647023476,0.5072665872269525,Test1
472,2,3,1,1,1,1,unacc,1.2897214647023565,0.34206913967169256,Test1
473,2,3,1,1,1,2,unacc,1.2897214647023567,0.5102050254497636,Test1
474,2,3,1,1,2,0,unacc,1.2897214647023565,0.6544731504987936,Test1
476,2,3,1,1,2,2,unacc,1.2897214647023567,0.6574115887216024,Test1
477,2,3,1,2,0,0,unacc,1.2897214647023423,0.982810531576705,Test1
482,2,3,1,2,1,2,unacc,1.2897214647023567,0.7996221997380223,Test1
485,2,3,1,2,2,2,unacc,1.2897214647023567,0.9468287630098612,Test1
486,2,3,2,0,0,0,unacc,1.28972146470215,0.705871125495901,Test1
491,2,3,2,0,1,2,unacc,1.2897214647023567,0.5226827936572597,Test1
492,2,3,2,0,2,0,unacc,1.2897214647023565,0.6669509187062898,Test1
494,2,3,2,0,2,2,unacc,1.2897214647023567,0.6698893569290986,Test1
495,2,3,2,1,0,0,unacc,1.2897214647023445,0.6619549664508714,Test1
498,2,3,2,1,1,0,unacc,1.2897214647023563,0.4758281963893762,Test1
499,2,3,2,1,1,1,unacc,1.2897214647023567,0.31063074883411385,Test1
501,2,3,2,1,2,0,unacc,1.2897214647023567,0.623034759661215,Test1
504,2,3,2,2,0,0,unacc,1.289721464702356,0.9513721407391295,Test1
508,2,3,2,2,1,1,unacc,1.2897214647023567,0.6000479231223724,Test1
513,2,3,3,0,0,0,unacc,1.289721464702346,1.0077660679917038,Test1
520,2,3,3,0,2,1,unacc,1.2897214647023567,0.8036484136467822,Test1
521,2,3,3,0,2,2,unacc,1.2897214647023567,0.9717842994248533,Test1
522,2,3,3,1,0,0,unacc,1.289721464702356,0.9638499089466256,Test1
523,2,3,3,1,0,1,unacc,1.2897214647023567,0.798652461391363,Test1
525,2,3,3,1,1,0,unacc,1.2897214647023567,0.7777231388851308,Test1
528,2,3,3,1,2,0,unacc,1.2897214647023567,0.9249297021569696,Test1
529,2,3,3,1,2,1,unacc,1.2897214647023567,0.7597322546017073,Test1
538,2,3,3,2,2,1,unacc,1.2897214647023567,1.049149428889966,Test1
539,2,3,3,2,2,2,unacc,1.2897214647023567,1.2172853146680371,Test1
540,2,2,0,0,0,0,unacc,1.2897214572974438,0.8680885262467912,Test1
543,2,2,0,0,1,0,unacc,1.2897214644242923,0.6819617674067017,Test1
544,2,2,0,0,1,1,unacc,1.289721464695902,0.5167643202162305,Test1
547,2,2,0,0,2,1,unacc,1.289721464702114,0.6639708834939791,Test1
553,2,2,0,1,1,1,unacc,1.2897214647019695,0.4728481611769846,Test1
558,2,2,0,2,0,0,unacc,1.2897214646757809,1.113589553055923,Test1
561,2,2,0,2,1,0,unacc,1.2897214647013573,0.9274627830200006,Test1
568,2,2,1,0,0,1,unacc,1.289721464693472,0.33811936610746307,Test1
569,2,2,1,0,0,2,unacc,1.2897214647021502,0.5062552518909209,Test1
572,2,2,1,0,1,2,unacc,1.289721464702349,0.320128481829472,Test1
573,2,2,1,0,2,0,unacc,1.2897214647018156,0.46439660687821016,Test1
575,2,2,1,0,2,2,unacc,1.2897214647023565,0.46733504510131096,Test1
576,2,2,1,1,0,0,unacc,1.2897214646794182,0.45940065460667157,Test1
579,2,2,1,1,1,0,unacc,1.289721464701494,0.2732738845611711,Test1
580,2,2,1,1,1,1,unacc,1.2897214647023365,0.10807643700632426,Test1
582,2,2,1,1,2,0,unacc,1.2897214647023243,0.42048044783341904,Test1
586,2,2,1,2,0,1,unacc,1.2897214647023247,0.583620381356078,Test1
588,2,2,1,2,1,0,unacc,1.289721464702305,0.562691058849837,Test1
594,2,2,2,0,0,0,unacc,1.2897214646825539,0.4718784228218604,Test1
596,2,2,2,0,0,2,unacc,1.289721464702346,0.4748168610533912,Test1
602,2,2,2,0,2,2,unacc,1.2897214647023567,0.43589665426373214,Test1
603,2,2,2,1,0,0,unacc,1.2897214647011692,0.42796226378532237,Test1
612,2,2,2,2,0,0,unacc,1.2897214647022854,0.7173794380737722,Test1
625,2,2,3,0,1,1,unacc,1.2897214647023558,0.42244914770957753,Test1
626,2,2,3,0,1,2,unacc,1.2897214647023567,0.590585033487648,Test1
628,2,2,3,0,2,1,unacc,1.2897214647023567,0.5696557109814158,Test1
629,2,2,3,0,2,2,unacc,1.2897214647023567,0.7377915967594868,Test1
631,2,2,3,1,0,1,unacc,1.2897214647023552,0.5646597587259977,Test1
636,2,2,3,1,2,0,unacc,1.2897214647023565,0.6909369994916034,Test1
642,2,2,3,2,1,0,unacc,1.2897214647023565,0.8331476105080231,Test1
645,2,2,3,2,2,0,unacc,1.2897214647023567,0.9803541737798618,Test1
651,2,1,0,0,1,0,unacc,1.2897214379818787,0.7813023567519598,Test1
656,2,1,0,0,2,2,unacc,1.2897214647018158,0.9314473999398946,Test1
661,2,1,0,1,1,1,unacc,1.289721464665231,0.5721887918124742,Test1
668,2,1,0,2,0,2,unacc,1.2897214647009818,1.2158686219724317,Test1
669,2,1,0,2,1,0,unacc,1.2897214646064923,1.026803413594237,Test1
672,2,1,0,2,2,0,unacc,1.289721464698753,1.1740099769578478,Test1
677,2,1,1,0,0,2,unacc,1.2897214646825632,0.6055958825500923,Test1
680,2,1,1,0,1,2,unacc,1.2897214647016122,0.4194691124972789,Test1
693,2,1,1,2,0,0,unacc,1.2897214645704045,0.8481584594929238,Test1
696,2,1,1,2,1,0,unacc,1.2897214646973967,0.6620316895157156,Test1
702,2,1,2,0,0,0,unacc,1.2897214628013631,0.5712190522312236,Test1
706,2,1,2,0,1,1,unacc,1.2897214647006978,0.21989483588171632,Test1
710,2,1,2,0,2,2,unacc,1.2897214647023552,0.5352372849317,Test1
714,2,1,2,1,1,0,unacc,1.2897214646980746,0.34117612439134337,Test1
717,2,1,2,1,2,0,unacc,1.2897214647021955,0.4883826876638291,Test1
730,2,1,3,0,0,1,unacc,1.2897214647000725,0.7079165484396931,Test1
731,2,1,3,0,0,2,unacc,1.2897214647023036,0.8760524342171453,Test1
732,2,1,3,0,1,0,unacc,1.289721464698659,0.6869872259332762,Test1
733,2,1,3,0,1,1,unacc,1.2897214647022708,0.5217897783775883,Test1
734,2,1,3,0,1,2,unacc,1.2897214647023547,0.6899256641556167,Test1
736,2,1,3,0,2,1,unacc,1.2897214647023534,0.6689963416493852,Test1
737,2,1,3,0,2,2,unacc,1.2897214647023565,0.8371322274274539,Test1
738,2,1,3,1,0,0,unacc,1.2897214646964608,0.829197836950303,Test1
739,2,1,3,1,0,1,unacc,1.2897214647022197,0.664000389394042,Test1
747,2,1,3,2,0,0,unacc,1.2897214647020032,1.1186150112376505,Test1
748,2,1,3,2,0,1,unacc,1.2897214647023485,0.9534175636822292,Test1
758,2,0,0,0,0,2,unacc,1.2897214279277152,1.4030415252864528,Test1
761,2,0,0,0,1,2,unacc,1.2897214633218266,1.2169147992833442,Test1
771,2,0,0,1,2,0,unacc,1.2897214589290522,1.3172667593537934,Test1
775,2,0,0,2,0,1,unacc,1.2897214590150694,1.4804066942107366,Test1
776,2,0,0,2,0,2,unacc,1.2897214645704465,1.6485425858871083,Test1
778,2,0,0,2,1,1,unacc,1.289721464488774,1.2942799299594403,Test1
780,2,0,0,2,2,0,unacc,1.289721464356525,1.6066839406227633,Test1
783,2,0,1,0,0,0,unacc,1.2897179252817217,1.0353262569562485,Test1
787,2,0,1,0,1,1,unacc,1.289721461625548,0.6840071881584132,Test1
789,2,0,1,0,2,0,unacc,1.2897214597205238,0.9964111966035981,Test1
792,2,0,1,1,0,0,unacc,1.2897212529379098,0.991415001907579,Test1
793,2,0,1,1,0,1,unacc,1.289721459794637,0.8262177979235251,Test1
798,2,0,1,1,2,0,unacc,1.2897214644039028,0.9524950422922368,Test1
802,2,0,1,2,0,1,unacc,1.2897214644083712,1.1156349758813369,Test1
807,2,0,1,2,2,0,unacc,1.2897214646844677,1.2419122167834773,Test1
813,2,0,2,0,1,0,unacc,1.2897214578440988,0.8177662429019547,Test1
815,2,0,2,0,1,2,unacc,1.2897214646986608,0.820704685661607,Test1
817,2,0,2,0,2,1,unacc,1.2897214646963742,0.7997753631546968,Test1
