,buying,maint,doors,persons,lug_boot,safety,Class,estimatedOutput,lossValue,testID,learningRate,numHiddenNodesPercentage
1,3,3,0,0,0,1,unacc,unacc,0.16544035855863695,Test1,0.1,
2,3,3,0,0,0,2,unacc,unacc,0.16544035855863695,Test1,0.1,
4,3,3,0,0,1,1,unacc,unacc,0.16544035855863695,Test1,0.1,
5,3,3,0,0,1,2,unacc,unacc,0.16544035855863695,Test1,0.1,
16,3,3,0,1,2,1,unacc,unacc,0.16544035855863695,Test1,0.1,
21,3,3,0,2,1,0,unacc,unacc,0.16544035855863695,Test1,0.1,
23,3,3,0,2,1,2,unacc,unacc,0.16544035855863695,Test1,0.1,
24,3,3,0,2,2,0,unacc,unacc,0.16544035855863695,Test1,0.1,
25,3,3,0,2,2,1,unacc,unacc,0.16544035855863695,Test1,0.1,
26,3,3,0,2,2,2,unacc,unacc,0.16544035855863695,Test1,0.1,
28,3,3,1,0,0,1,unacc,unacc,0.16544035855863695,Test1,0.1,
32,3,3,1,0,1,2,unacc,unacc,0.16544035855863695,Test1,0.1,
34,3,3,1,0,2,1,unacc,unacc,0.16544035855863695,Test1,0.1,
35,3,3,1,0,2,2,unacc,unacc,0.16544035855863695,Test1,0.1,
38,3,3,1,1,0,2,unacc,unacc,0.16544035855863695,Test1,0.1,
40,3,3,1,1,1,1,unacc,unacc,0.16544035855863695,Test1,0.1,
43,3,3,1,1,2,1,unacc,unacc,0.16544035855863695,Test1,0.1,
44,3,3,1,1,2,2,unacc,unacc,0.16544035855863695,Test1,0.1,
45,3,3,1,2,0,0,unacc,unacc,0.16544035855863695,Test1,0.1,
46,3,3,1,2,0,1,unacc,unacc,0.16544035855863695,Test1,0.1,
49,3,3,1,2,1,1,unacc,unacc,0.16544035855863695,Test1,0.1,
55,3,3,2,0,0,1,unacc,unacc,0.16544035855863695,Test1,0.1,
56,3,3,2,0,0,2,unacc,unacc,0.16544035855863695,Test1,0.1,
