,buying,maint,doors,persons,lug_boot,safety,Class,estimatedOutput,lossValue,testID,learningRate,numHiddenNodesPercentage
3,3,3,0,0,1,0,unacc,unacc,2.594465699019087e-05,1,0.1,0.75
6,3,3,0,0,2,0,unacc,unacc,2.5956346149734568e-05,1,0.1,0.75
7,3,3,0,0,2,1,unacc,unacc,7.193313465983278e-05,1,0.1,0.75
13,3,3,0,1,1,1,unacc,unacc,0.11844586024314314,1,0.1,0.75
14,3,3,0,1,1,2,unacc,unacc,0.13615678217325994,1,0.1,0.75
15,3,3,0,1,2,0,unacc,unacc,0.0006470549669451411,1,0.1,0.75
16,3,3,0,1,2,1,unacc,unacc,0.13526883986235577,1,0.1,0.75
17,3,3,0,1,2,2,unacc,unacc,0.13715613025338297,1,0.1,0.75
19,3,3,0,2,0,1,unacc,unacc,0.003859850920692725,1,0.1,0.75
20,3,3,0,2,0,2,unacc,unacc,0.13927354038257148,1,0.1,0.75
21,3,3,0,2,1,0,unacc,unacc,0.0006642416968891096,1,0.1,0.75
24,3,3,0,2,2,0,unacc,unacc,0.0006642644828447201,1,0.1,0.75
27,3,3,1,0,0,0,unacc,unacc,2.5934980551510487e-05,1,0.1,0.75
28,3,3,1,0,0,1,unacc,unacc,5.7894226175416766e-05,1,0.1,0.75
29,3,3,1,0,0,2,unacc,unacc,7.17115569801847e-05,1,0.1,0.75
33,3,3,1,0,2,0,unacc,unacc,2.594999323653947e-05,1,0.1,0.75
40,3,3,1,1,1,1,unacc,unacc,0.1133506044972426,1,0.1,0.75
42,3,3,1,1,2,0,unacc,unacc,0.0006430104155670586,1,0.1,0.75
43,3,3,1,1,2,1,unacc,unacc,0.13428797868022097,1,0.1,0.75
45,3,3,1,2,0,0,unacc,unacc,0.0006642400231201966,1,0.1,0.75
49,3,3,1,2,1,1,unacc,unacc,0.07059376524549342,1,0.1,0.75
50,3,3,1,2,1,2,unacc,unacc,0.13925733068915658,1,0.1,0.75
54,3,3,2,0,0,0,unacc,unacc,2.5932788479066203e-05,1,0.1,0.75
58,3,3,2,0,1,1,unacc,unacc,7.012408796747629e-05,1,0.1,0.75
59,3,3,2,0,1,2,unacc,unacc,7.176556895203783e-05,1,0.1,0.75
60,3,3,2,0,2,0,unacc,unacc,2.594487490172675e-05,1,0.1,0.75
61,3,3,2,0,2,1,unacc,unacc,7.169692519412362e-05,1,0.1,0.75
63,3,3,2,1,0,0,unacc,unacc,0.0006082384741874032,1,0.1,0.75
66,3,3,2,1,1,0,unacc,unacc,0.0006257855146528565,1,0.1,0.75
69,3,3,2,1,2,0,unacc,unacc,0.0006380630948458277,1,0.1,0.75
70,3,3,2,1,2,1,unacc,unacc,0.1330677813653319,1,0.1,0.75
73,3,3,2,2,0,1,unacc,unacc,0.0022072309462641323,1,0.1,0.75
75,3,3,2,2,1,0,unacc,unacc,0.0006642409764967082,1,0.1,0.75
76,3,3,2,2,1,1,unacc,unacc,0.05950158672334088,1,0.1,0.75
79,3,3,2,2,2,1,unacc,unacc,0.1308192944233271,1,0.1,0.75
81,3,3,3,0,0,0,unacc,unacc,2.5931018450316107e-05,1,0.1,0.75
82,3,3,3,0,0,1,unacc,unacc,5.2412292074135025e-05,1,0.1,0.75
85,3,3,3,0,1,1,unacc,unacc,6.965580830056184e-05,1,0.1,0.75
87,3,3,3,0,2,0,unacc,unacc,2.5940750531805e-05,1,0.1,0.75
88,3,3,3,0,2,1,unacc,unacc,7.159689207644987e-05,1,0.1,0.75
94,3,3,3,1,1,1,unacc,unacc,0.09988136366812014,1,0.1,0.75
95,3,3,3,1,1,2,unacc,unacc,0.13344132846662096,1,0.1,0.75
96,3,3,3,1,2,0,unacc,unacc,0.0006320213005368217,1,0.1,0.75
98,3,3,3,1,2,2,unacc,unacc,0.1353117922832993,1,0.1,0.75
104,3,3,3,2,1,2,unacc,unacc,0.1392475487635721,1,0.1,0.75
107,3,3,3,2,2,2,unacc,unacc,0.1392586663013976,1,0.1,0.75
110,3,2,0,0,0,2,unacc,unacc,7.180570638741381e-05,1,0.1,0.75
112,3,2,0,0,1,1,unacc,unacc,7.169616409516524e-05,1,0.1,0.75
114,3,2,0,0,2,0,unacc,unacc,2.5967573972725042e-05,1,0.1,0.75
116,3,2,0,0,2,2,unacc,unacc,7.22353714381239e-05,1,0.1,0.75
120,3,2,0,1,1,0,unacc,unacc,0.0006403109438562289,1,0.1,0.75
121,3,2,0,1,1,1,unacc,unacc,0.13277712489767524,1,0.1,0.75
125,3,2,0,1,2,2,unacc,unacc,0.13737849955958092,1,0.1,0.75
127,3,2,0,2,0,1,unacc,unacc,0.046628345141975405,1,0.1,0.75
128,3,2,0,2,0,2,unacc,unacc,0.1398249414518585,1,0.1,0.75
130,3,2,0,2,1,1,unacc,unacc,0.12812828202319515,1,0.1,0.75
131,3,2,0,2,1,2,unacc,unacc,0.13969384177950922,1,0.1,0.75
132,3,2,0,2,2,0,unacc,unacc,0.0006644063178545707,1,0.1,0.75
133,3,2,0,2,2,1,unacc,unacc,0.13845568361316932,1,0.1,0.75
134,3,2,0,2,2,2,unacc,unacc,0.13966892110605075,1,0.1,0.75
135,3,2,1,0,0,0,unacc,unacc,2.5935738449671452e-05,1,0.1,0.75
137,3,2,1,0,0,2,unacc,unacc,7.173532069644815e-05,1,0.1,0.75
138,3,2,1,0,1,0,unacc,unacc,2.5942157806089166e-05,1,0.1,0.75
140,3,2,1,0,1,2,unacc,unacc,7.187383050214367e-05,1,0.1,0.75
144,3,2,1,1,0,0,unacc,unacc,0.0006210772785175499,1,0.1,0.75
147,3,2,1,1,1,0,unacc,unacc,0.0006347749365977044,1,0.1,0.75
148,3,2,1,1,1,1,unacc,unacc,0.13116820385557804,1,0.1,0.75
151,3,2,1,1,2,1,unacc,unacc,0.1358038660777707,1,0.1,0.75
152,3,2,1,1,2,2,unacc,unacc,0.13697582792789612,1,0.1,0.75
153,3,2,1,2,0,0,unacc,unacc,0.0006642405336586095,1,0.1,0.75
157,3,2,1,2,1,1,unacc,unacc,0.12519013041952273,1,0.1,0.75
158,3,2,1,2,1,2,unacc,unacc,0.13959863054543112,1,0.1,0.75
162,3,2,2,0,0,0,unacc,unacc,2.5933399567006303e-05,1,0.1,0.75
163,3,2,2,0,0,1,unacc,unacc,6.831162156725486e-05,1,0.1,0.75
166,3,2,2,0,1,1,unacc,unacc,7.146602366910935e-05,1,0.1,0.75
169,3,2,2,0,2,1,unacc,unacc,7.181209493745442e-05,1,0.1,0.75
173,3,2,2,1,0,2,unacc,unacc,0.1328036910910484,1,0.1,0.75
175,3,2,2,1,1,1,unacc,unacc,0.12916955492900534,1,0.1,0.75
176,3,2,2,1,1,2,unacc,unacc,0.13488355787612963,1,0.1,0.75
179,3,2,2,1,2,2,unacc,unacc,0.13695105080705847,1,0.1,0.75
180,3,2,2,2,0,0,unacc,unacc,0.0006642403419787749,1,0.1,0.75
181,3,2,2,2,0,1,unacc,unacc,0.027289769204015837,1,0.1,0.75
182,3,2,2,2,0,2,unacc,unacc,0.13960546906193283,1,0.1,0.75
188,3,2,2,2,2,2,unacc,unacc,0.14339658253360635,1,0.1,0.75
191,3,2,3,0,0,2,unacc,unacc,7.163277405565544e-05,1,0.1,0.75
197,3,2,3,0,2,2,unacc,unacc,7.203593146236678e-05,1,0.1,0.75
198,3,2,3,1,0,0,unacc,unacc,0.0005997156957413971,1,0.1,0.75
206,3,2,3,1,2,2,unacc,unacc,0.14022537066445517,1,0.1,0.75
208,3,2,3,2,0,1,unacc,unacc,0.01983903938860548,1,0.1,0.75
214,3,2,3,2,2,1,unacc,unacc,0.1378387576351908,1,0.1,0.75
220,3,1,0,0,1,1,unacc,unacc,7.184423589751247e-05,1,0.1,0.75
221,3,1,0,0,1,2,unacc,unacc,7.210121297274506e-05,1,0.1,0.75
222,3,1,0,0,2,0,unacc,unacc,2.603274649650103e-05,1,0.1,0.75
236,3,1,0,2,0,2,unacc,unacc,0.14749425019880125,1,0.1,0.75
238,3,1,0,2,1,1,unacc,unacc,0.1375344565169028,1,0.1,0.75
245,3,1,1,0,0,2,unacc,unacc,7.18445139793224e-05,1,0.1,0.75
247,3,1,1,0,1,1,unacc,unacc,7.175654772722464e-05,1,0.1,0.75
248,3,1,1,0,1,2,unacc,unacc,7.197373092872965e-05,1,0.1,0.75
249,3,1,1,0,2,0,unacc,unacc,2.6009657108539024e-05,1,0.1,0.75
253,3,1,1,1,0,1,unacc,unacc,0.12555038596066576,1,0.1,0.75
275,3,1,2,0,1,2,unacc,unacc,7.187957527821482e-05,1,0.1,0.75
276,3,1,2,0,2,0,unacc,unacc,2.5991688749816744e-05,1,0.1,0.75
277,3,1,2,0,2,1,unacc,unacc,7.225223098920434e-05,1,0.1,0.75
279,3,1,2,1,0,0,unacc,unacc,0.0006143987949767467,1,0.1,0.75
285,3,1,2,1,2,0,unacc,unacc,0.0006442343300556794,1,0.1,0.75
294,3,1,2,2,2,0,unacc,unacc,0.000667449924737759,1,0.1,0.75
297,3,1,3,0,0,0,unacc,unacc,2.5932147425802935e-05,1,0.1,0.75
298,3,1,3,0,0,1,unacc,unacc,7.093696840334673e-05,1,0.1,0.75
302,3,1,3,0,1,2,unacc,unacc,7.186320399204664e-05,1,0.1,0.75
303,3,1,3,0,2,0,unacc,unacc,2.5978950933347766e-05,1,0.1,0.75
306,3,1,3,1,0,0,unacc,unacc,0.0006033264260221911,1,0.1,0.75
309,3,1,3,1,1,0,unacc,unacc,0.000622467789708189,1,0.1,0.75
315,3,1,3,2,0,0,unacc,unacc,0.0006642422359181,1,0.1,0.75
316,3,1,3,2,0,1,unacc,unacc,0.09587284856532921,1,0.1,0.75
321,3,1,3,2,2,0,unacc,unacc,0.000682861816820283,1,0.1,0.75
326,3,0,0,0,0,2,unacc,unacc,7.356293770936091e-05,1,0.1,0.75
329,3,0,0,0,1,2,unacc,unacc,7.380792032785102e-05,1,0.1,0.75
334,3,0,0,1,0,1,unacc,unacc,0.13337354011307995,1,0.1,0.75
339,3,0,0,1,2,0,unacc,unacc,0.0006992820189252593,1,0.1,0.75
346,3,0,0,2,1,1,unacc,unacc,0.13952698406176398,1,0.1,0.75
348,3,0,0,2,2,0,unacc,unacc,0.0007700069752054048,1,0.1,0.75
352,3,0,1,0,0,1,unacc,unacc,7.162691158699249e-05,1,0.1,0.75
354,3,0,1,0,1,0,unacc,unacc,2.5970148627439027e-05,1,0.1,0.75
355,3,0,1,0,1,1,unacc,unacc,7.182613959335073e-05,1,0.1,0.75
359,3,0,1,0,2,2,unacc,unacc,0.00045261628418938907,1,0.1,0.75
360,3,0,1,1,0,0,unacc,unacc,0.0006259873024742193,1,0.1,0.75
363,3,0,1,1,1,0,unacc,unacc,0.0006397497579979062,1,0.1,0.75
366,3,0,1,1,2,0,unacc,unacc,0.0007906095544449128,1,0.1,0.75
369,3,0,1,2,0,0,unacc,unacc,0.0006642669098308877,1,0.1,0.75
370,3,0,1,2,0,1,unacc,unacc,0.1345193819951046,1,0.1,0.75
378,3,0,2,0,0,0,unacc,unacc,2.593601772261312e-05,1,0.1,0.75
382,3,0,2,0,1,1,unacc,unacc,7.190582812223197e-05,1,0.1,0.75
384,3,0,2,0,2,0,unacc,unacc,2.6756697849080357e-05,1,0.1,0.75
385,3,0,2,0,2,1,unacc,unacc,0.0003476738720120745,1,0.1,0.75
388,3,0,2,1,0,1,unacc,unacc,0.1302555141453369,1,0.1,0.75
406,3,0,3,0,0,1,unacc,unacc,7.150416298134999e-05,1,0.1,0.75
407,3,0,3,0,0,2,unacc,unacc,7.254426679334535e-05,1,0.1,0.75
408,3,0,3,0,1,0,unacc,unacc,2.595358021018636e-05,1,0.1,0.75
417,3,0,3,1,1,0,unacc,unacc,0.0006269422254752659,1,0.1,0.75
432,2,3,0,0,0,0,unacc,unacc,2.5946511935562113e-05,1,0.1,0.75
435,2,3,0,0,1,0,unacc,unacc,2.5957789238776488e-05,1,0.1,0.75
442,2,3,0,1,0,1,unacc,unacc,0.03340886168460131,1,0.1,0.75
444,2,3,0,1,1,0,unacc,unacc,0.0006484074551695747,1,0.1,0.75
450,2,3,0,2,0,0,unacc,unacc,0.0006642402116284288,1,0.1,0.75
451,2,3,0,2,0,1,unacc,unacc,0.004783672234702596,1,0.1,0.75
458,2,3,0,2,2,2,unacc,unacc,0.17232606850930018,1,0.1,0.75
463,2,3,1,0,1,1,unacc,unacc,7.088404743618487e-05,1,0.1,0.75
464,2,3,1,0,1,2,unacc,unacc,7.260270674637694e-05,1,0.1,0.75
465,2,3,1,0,2,0,unacc,unacc,2.596596837824753e-05,1,0.1,0.75
472,2,3,1,1,1,1,unacc,unacc,0.11797577526142294,1,0.1,0.75
475,2,3,1,1,2,1,unacc,unacc,0.13581051673348546,1,0.1,0.75
476,2,3,1,1,2,2,unacc,unacc,0.14441954941265658,1,0.1,0.75
477,2,3,1,2,0,0,unacc,unacc,0.0006642401492846054,1,0.1,0.75
486,2,3,2,0,0,0,unacc,unacc,2.5938535861282157e-05,1,0.1,0.75
490,2,3,2,0,1,1,unacc,unacc,7.050381443741462e-05,1,0.1,0.75
493,2,3,2,0,2,1,unacc,unacc,7.194076530351341e-05,1,0.1,0.75
495,2,3,2,1,0,0,unacc,unacc,0.0006289282129735429,1,0.1,0.75
497,2,3,2,1,0,2,unacc,unacc,0.14362267375175922,1,0.1,0.75
509,2,3,2,2,1,2,unacc,unacc,0.1660183571305163,1,0.1,0.75
510,2,3,2,2,2,0,unacc,unacc,0.0006642580409112733,1,0.1,0.75
515,2,3,3,0,0,2,unacc,unacc,7.213471102434655e-05,1,0.1,0.75
516,2,3,3,0,1,0,unacc,unacc,2.5941586804634514e-05,1,0.1,0.75
519,2,3,3,0,2,0,unacc,unacc,2.595114958686973e-05,1,0.1,0.75
520,2,3,3,0,2,1,unacc,unacc,7.180156959549147e-05,1,0.1,0.75
521,2,3,3,0,2,2,unacc,unacc,7.238226014176918e-05,1,0.1,0.75
522,2,3,3,1,0,0,unacc,unacc,0.0006209196968608058,1,0.1,0.75
523,2,3,3,1,0,1,unacc,unacc,0.01234187758808472,1,0.1,0.75
524,2,3,3,1,0,2,unacc,unacc,0.14078734601925794,1,0.1,0.75
525,2,3,3,1,1,0,unacc,unacc,0.0006346353202098458,1,0.1,0.75
526,2,3,3,1,1,1,unacc,unacc,0.10646676837327049,1,0.1,0.75
