,buying,maint,doors,persons,lug_boot,safety,Class,estimatedOutput,lossValue,testID,learningRate,numHiddenNodesPercentage
1356,0,3,2,0,2,0,unacc,unacc,0.1633955626458968,1,0.001,0.5
678,2,1,1,0,1,0,unacc,unacc,0.16335986738384334,1,0.001,0.5
1086,1,1,0,0,2,0,unacc,unacc,0.1633956885861439,1,0.001,0.5
1035,1,2,2,1,0,0,unacc,unacc,0.16337626134644567,1,0.001,0.5
474,2,3,1,1,2,0,unacc,unacc,0.163333569311556,1,0.001,0.5
1270,1,0,3,0,0,1,unacc,unacc,0.16342097900959957,1,0.001,0.5
205,3,2,3,1,2,1,unacc,unacc,0.16333220099125365,1,0.001,0.5
1679,0,0,2,0,1,2,unacc,unacc,0.16347271167218258,1,0.001,0.5
182,3,2,2,2,0,2,unacc,unacc,0.1633456464687273,1,0.001,0.5
14,3,3,0,1,1,2,unacc,unacc,0.16333009915473903,1,0.001,0.5
1029,1,2,2,0,1,0,unacc,unacc,0.1633761282759766,1,0.001,0.5
721,2,1,2,2,0,1,unacc,unacc,0.16337850955501002,1,0.001,0.5
737,2,1,3,0,2,2,unacc,unacc,0.16339377823443715,1,0.001,0.5
532,2,3,3,2,0,1,unacc,unacc,0.16334605983508002,1,0.001,0.5
238,3,1,0,2,1,1,unacc,unacc,0.16334934731505238,1,0.001,0.5
1409,0,2,0,0,1,2,unacc,unacc,0.16344117081812656,1,0.001,0.5
795,2,0,1,1,1,0,unacc,unacc,0.16337891426687481,1,0.001,0.5
858,2,0,3,2,1,0,unacc,unacc,0.16338125885576818,1,0.001,0.5
976,1,2,0,0,1,1,unacc,unacc,0.16339262477686606,1,0.001,0.5
1625,0,0,0,0,1,2,unacc,unacc,0.1634733517891519,1,0.001,0.5
762,2,0,0,0,2,0,unacc,unacc,0.16337909987171745,1,0.001,0.5
6,3,3,0,0,2,0,unacc,unacc,0.16329832592749705,1,0.001,0.5
845,2,0,3,0,2,2,unacc,unacc,0.16340985790522186,1,0.001,0.5
1087,1,1,0,0,2,1,unacc,unacc,0.16341155093500778,1,0.001,0.5
1260,1,0,2,2,0,0,unacc,unacc,0.16341139634946836,1,0.001,0.5
294,3,1,2,2,2,0,unacc,unacc,0.16333572088224743,1,0.001,0.5
447,2,3,0,1,2,0,unacc,unacc,0.16333388849538732,1,0.001,0.5
183,3,2,2,2,1,0,unacc,unacc,0.16331683330901092,1,0.001,0.5
1410,0,2,0,0,2,0,unacc,unacc,0.16341228324285137,1,0.001,0.5
118,3,2,0,1,0,1,unacc,unacc,0.16332747525896882,1,0.001,0.5
357,3,0,1,0,2,0,unacc,unacc,0.16334613760550218,1,0.001,0.5
176,3,2,2,1,1,2,unacc,unacc,0.16334551224571142,1,0.001,0.5
1405,0,2,0,0,0,1,unacc,unacc,0.1634224535235715,1,0.001,0.5
1547,0,1,1,0,2,2,unacc,unacc,0.16345978887483162,1,0.001,0.5
518,2,3,3,0,1,2,unacc,unacc,0.1633587927865164,1,0.001,0.5
525,2,3,3,1,1,0,unacc,unacc,0.16333009126734702,1,0.001,0.5
558,2,2,0,2,0,0,unacc,unacc,0.16334723667831286,1,0.001,0.5
1004,1,2,1,0,1,2,unacc,unacc,0.1634081659017409,1,0.001,0.5
489,2,3,2,0,1,0,unacc,unacc,0.16332743601115926,1,0.001,0.5
352,3,0,1,0,0,1,unacc,unacc,0.16335629226810558,1,0.001,0.5
660,2,1,0,1,1,0,unacc,unacc,0.16336316362097586,1,0.001,0.5
891,1,3,1,0,0,0,unacc,unacc,0.163357536808464,1,0.001,0.5
1647,0,0,1,0,0,0,unacc,unacc,0.16343843854755424,1,0.001,0.5
12,3,3,0,1,1,0,unacc,unacc,0.16329845562118414,1,0.001,0.5
1327,0,3,1,0,1,1,unacc,unacc,0.1634088981123687,1,0.001,0.5
288,3,1,2,2,0,0,unacc,unacc,0.16333004151411026,1,0.001,0.5
486,2,3,2,0,0,0,unacc,unacc,0.1633245951829343,1,0.001,0.5
128,3,2,0,2,0,2,unacc,unacc,0.16334628341056642,1,0.001,0.5
501,2,3,2,1,2,0,unacc,unacc,0.16333325047961073,1,0.001,0.5
1002,1,2,1,0,1,0,unacc,unacc,0.16337644814824112,1,0.001,0.5
1464,0,2,2,0,2,0,unacc,unacc,0.163411642697812,1,0.001,0.5
1251,1,0,2,1,0,0,unacc,unacc,0.1634084153228736,1,0.001,0.5
625,2,2,3,0,1,1,unacc,unacc,0.163359009635715,1,0.001,0.5
0,3,3,0,0,0,0,unacc,unacc,0.16329265038536991,1,0.001,0.5
253,3,1,1,1,0,1,unacc,unacc,0.16334320899933327,1,0.001,0.5
396,3,0,2,2,0,0,unacc,unacc,0.16334609584537274,1,0.001,0.5
595,2,2,2,0,0,1,unacc,unacc,0.16335648551309098,1,0.001,0.5
1587,0,1,2,2,1,0,unacc,unacc,0.16343084009065179,1,0.001,0.5
952,1,3,3,0,2,1,unacc,unacc,0.163378436110104,1,0.001,0.5
156,3,2,1,2,1,0,unacc,unacc,0.16331714984420792,1,0.001,0.5
1243,1,0,2,0,0,1,unacc,unacc,0.16342129891697693,1,0.001,0.5
586,2,2,1,2,0,1,unacc,unacc,0.1633627586611092,1,0.001,0.5
1650,0,0,1,0,1,0,unacc,unacc,0.16344128706487665,1,0.001,0.5
1163,1,1,3,0,0,2,unacc,unacc,0.16342076020242124,1,0.001,0.5
334,3,0,0,1,0,1,unacc,unacc,0.16335958837937614,1,0.001,0.5
481,2,3,1,2,1,1,unacc,unacc,0.16334953858943366,1,0.001,0.5
1058,1,2,3,0,1,2,unacc,unacc,0.163407524850927,1,0.001,0.5
994,1,2,0,2,1,1,unacc,unacc,0.16339858023540058,1,0.001,0.5
661,2,1,0,1,1,1,unacc,unacc,0.16337901299229093,1,0.001,0.5
1584,0,1,2,2,0,0,unacc,unacc,0.16342799225455432,1,0.001,0.5
386,3,0,2,0,2,2,unacc,unacc,0.16337751000622847,1,0.001,0.5
28,3,3,1,0,0,1,unacc,unacc,0.1633081444680763,1,0.001,0.5
1710,0,0,3,1,0,0,unacc,unacc,0.16344077884784397,1,0.001,0.5
2,3,3,0,0,0,2,unacc,unacc,0.16332429021010336,1,0.001,0.5
44,3,3,1,1,2,2,unacc,unacc,0.1633326208325222,1,0.001,0.5
87,3,3,3,0,2,0,unacc,unacc,0.16329736753333107,1,0.001,0.5
492,2,3,2,0,2,0,unacc,unacc,0.1633302772937585,1,0.001,0.5
315,3,1,3,2,0,0,unacc,unacc,0.16332972538482665,1,0.001,0.5
4,3,3,0,0,1,1,unacc,unacc,0.16331130461739396,1,0.001,0.5
579,2,2,1,1,1,0,unacc,unacc,0.16334678240645198,1,0.001,0.5
1,3,3,0,0,0,1,unacc,unacc,0.16330846478864683,1,0.001,0.5
624,2,2,3,0,1,0,unacc,unacc,0.16334316862918474,1,0.001,0.5
1639,0,0,0,2,0,1,unacc,unacc,0.1634605908175948,1,0.001,0.5
472,2,3,1,1,1,1,unacc,unacc,0.1633465628849019,1,0.001,0.5
1446,0,2,1,1,2,0,unacc,unacc,0.16341494187496755,1,0.001,0.5
1227,1,0,1,1,1,0,unacc,unacc,0.16341158164909142,1,0.001,0.5
1315,0,3,0,2,0,1,unacc,unacc,0.16341232741787784,1,0.001,0.5
390,3,0,2,1,1,0,unacc,unacc,0.16334595549889477,1,0.001,0.5
459,2,3,1,0,0,0,unacc,unacc,0.16332491465065274,1,0.001,0.5
500,2,3,2,1,1,2,unacc,unacc,0.1633620865064931,1,0.001,0.5
