,buying,maint,doors,persons,lug_boot,safety,Class,estimatedOutput,lossValue,testID,learningRate,numHiddenNodesPercentage
2,3,3,0,0,0,2,unacc,unacc,0.010548926603540615,1,0.01,0.5
5,3,3,0,0,1,2,unacc,unacc,0.01577723595772611,1,0.01,0.5
6,3,3,0,0,2,0,unacc,unacc,0.001116106835075808,1,0.01,0.5
7,3,3,0,0,2,1,unacc,unacc,0.005166371034329846,1,0.01,0.5
11,3,3,0,1,0,2,unacc,unacc,0.04472244128368569,1,0.01,0.5
17,3,3,0,1,2,2,unacc,unacc,0.09536158790952032,1,0.01,0.5
18,3,3,0,2,0,0,unacc,unacc,0.009510580546993885,1,0.01,0.5
19,3,3,0,2,0,1,unacc,unacc,0.04254592928847059,1,0.01,0.5
25,3,3,0,2,2,1,unacc,unacc,0.09093764519179197,1,0.01,0.5
26,3,3,0,2,2,2,unacc,acc,0.3187272547877154,1,0.01,0.5
30,3,3,1,0,1,0,unacc,unacc,0.0008024700736705192,1,0.01,0.5
31,3,3,1,0,1,1,unacc,unacc,0.0037186574540359115,1,0.01,0.5
32,3,3,1,0,1,2,unacc,unacc,0.017030949094883865,1,0.01,0.5
33,3,3,1,0,2,0,unacc,unacc,0.0012066853917012059,1,0.01,0.5
36,3,3,1,1,0,0,unacc,unacc,0.002349802094751912,1,0.01,0.5
42,3,3,1,1,2,0,unacc,unacc,0.005299448170763855,1,0.01,0.5
43,3,3,1,1,2,1,unacc,unacc,0.024108409518686126,1,0.01,0.5
44,3,3,1,1,2,2,unacc,unacc,0.10224839757679795,1,0.01,0.5
48,3,3,1,2,1,0,unacc,unacc,0.015366060923850691,1,0.01,0.5
49,3,3,1,2,1,1,unacc,unacc,0.0672272907672257,1,0.01,0.5
54,3,3,2,0,0,0,unacc,unacc,0.0005769809406530689,1,0.01,0.5
57,3,3,2,0,1,0,unacc,unacc,0.0008676738839293832,1,0.01,0.5
59,3,3,2,0,1,2,unacc,unacc,0.01838344150535053,1,0.01,0.5
61,3,3,2,0,2,1,unacc,unacc,0.006033118061307087,1,0.01,0.5
62,3,3,2,0,2,2,unacc,unacc,0.02737390367526121,1,0.01,0.5
63,3,3,2,1,0,0,unacc,unacc,0.0025404851672597324,1,0.01,0.5
64,3,3,2,1,0,1,unacc,unacc,0.011685461184913992,1,0.01,0.5
68,3,3,2,1,1,2,unacc,unacc,0.07582281071713726,1,0.01,0.5
74,3,3,2,2,0,2,unacc,unacc,0.192979880184601,1,0.01,0.5
75,3,3,2,2,1,0,unacc,unacc,0.01659329248308687,1,0.01,0.5
76,3,3,2,2,1,1,unacc,unacc,0.0722641416977188,1,0.01,0.5
79,3,3,2,2,2,1,unacc,unacc,0.10460402949582909,1,0.01,0.5
81,3,3,3,0,0,0,unacc,unacc,0.0006239035605827638,1,0.01,0.5
84,3,3,3,0,1,0,unacc,unacc,0.0009381966381918587,1,0.01,0.5
88,3,3,3,0,2,1,unacc,unacc,0.006519656510083964,1,0.01,0.5
89,3,3,3,0,2,2,unacc,unacc,0.0295205824294288,1,0.01,0.5
90,3,3,3,1,0,0,unacc,unacc,0.002746653624747904,1,0.01,0.5
92,3,3,3,1,0,2,unacc,unacc,0.05579847008791801,1,0.01,0.5
97,3,3,3,1,2,1,unacc,unacc,0.028058065429385288,1,0.01,0.5
98,3,3,3,1,2,2,unacc,unacc,0.11737282185255808,1,0.01,0.5
99,3,3,3,2,0,0,unacc,unacc,0.011993091555768873,1,0.01,0.5
102,3,3,3,2,1,0,unacc,unacc,0.017916877437230264,1,0.01,0.5
103,3,3,3,2,1,1,unacc,unacc,0.07764774605639611,1,0.01,0.5
105,3,3,3,2,2,0,unacc,unacc,0.026678623046912278,1,0.01,0.5
107,3,3,3,2,2,2,unacc,acc,0.3745881177834826,1,0.01,0.5
109,3,2,0,0,0,1,unacc,unacc,0.003920419575131668,1,0.01,0.5
112,3,2,0,0,1,1,unacc,unacc,0.005886262201243393,1,0.01,0.5
114,3,2,0,0,2,0,unacc,unacc,0.0019115088580108736,1,0.01,0.5
118,3,2,0,1,0,1,unacc,unacc,0.01702925293738909,1,0.01,0.5
122,3,2,0,1,1,2,unacc,unacc,0.1072709840098715,1,0.01,0.5
124,3,2,0,1,2,1,unacc,unacc,0.03764352866073492,1,0.01,0.5
125,3,2,0,1,2,2,unacc,unacc,0.15281940123121202,1,0.01,0.5
126,3,2,0,2,0,0,unacc,unacc,0.016162835783452782,1,0.01,0.5
127,3,2,0,2,0,1,unacc,unacc,0.07055239477699299,1,0.01,0.5
128,3,2,0,2,0,2,unacc,unacc,0.2603024637482945,1,0.01,0.5
