,buying,maint,doors,persons,lug_boot,safety,Class,estimatedOutput,lossValue,testID,learningRate,numHiddenNodesPercentage
282,3,1,2,1,1,0,unacc,unacc,0.0001552134575940628,1,0.1,0.5
1392,0,3,3,1,2,0,unacc,unacc,0.0003740800927224069,1,0.1,0.5
1520,0,1,0,0,2,2,unacc,unacc,0.42561834074510985,1,0.1,0.5
1290,1,0,3,2,1,0,unacc,good,0.5327315883721666,1,0.1,0.5
882,1,3,0,2,0,0,unacc,unacc,0.0035156944850339676,1,0.1,0.5
1433,0,2,1,0,0,2,unacc,unacc,0.03849475499988958,1,0.1,0.5
252,3,1,1,1,0,0,unacc,unacc,0.00014506243293193477,1,0.1,0.5
852,2,0,3,1,2,0,unacc,unacc,0.0040733896438809696,1,0.1,0.5
923,1,3,2,0,1,2,unacc,unacc,0.0027852057913373006,1,0.1,0.5
1600,0,1,3,0,2,1,unacc,unacc,0.025374118252328656,1,0.1,0.5
57,3,3,2,0,1,0,unacc,unacc,2.5217603467996246e-07,1,0.1,0.5
354,3,0,1,0,1,0,unacc,unacc,2.106482069850567e-05,1,0.1,0.5
353,3,0,1,0,0,2,unacc,unacc,0.01791724179824642,1,0.1,0.5
279,3,1,2,1,0,0,unacc,unacc,0.00012805339434176748,1,0.1,0.5
1381,0,3,3,0,1,1,unacc,unacc,0.0002594664098093409,1,0.1,0.5
109,3,2,0,0,0,1,unacc,unacc,3.65462842621821e-05,1,0.1,0.5
478,2,3,1,2,0,1,unacc,unacc,0.03088150866695615,1,0.1,0.5
555,2,2,0,1,2,0,unacc,unacc,0.00018685470055256355,1,0.1,0.5
1185,1,1,3,2,2,0,unacc,unacc,0.10422053447037737,1,0.1,0.5
735,2,1,3,0,2,0,unacc,unacc,1.6659217737132484e-05,1,0.1,0.5
1087,1,1,0,0,2,1,unacc,unacc,0.003060736687695619,1,0.1,0.5
621,2,2,3,0,0,0,unacc,unacc,2.438182524497382e-06,1,0.1,0.5
1432,0,2,1,0,0,1,unacc,unacc,0.001310294565906826,1,0.1,0.5
1543,0,1,1,0,1,1,unacc,unacc,0.015359809617918467,1,0.1,0.5
1462,0,2,2,0,1,1,unacc,unacc,0.0015998378357188815,1,0.1,0.5
594,2,2,2,0,0,0,unacc,unacc,2.7599584259925194e-06,1,0.1,0.5
210,3,2,3,2,1,0,unacc,unacc,0.0011782762934961694,1,0.1,0.5
748,2,1,3,2,0,1,unacc,unacc,0.30517553954189036,1,0.1,0.5
306,3,1,3,1,0,0,unacc,unacc,0.00011314181030407732,1,0.1,0.5
110,3,2,0,0,0,2,unacc,unacc,0.0012028536689650546,1,0.1,0.5
476,2,3,1,1,2,2,unacc,unacc,0.040930866470809346,1,0.1,0.5
1514,0,1,0,0,0,2,unacc,unacc,0.2212081122338278,1,0.1,0.5
