,nodeName,nodeLayer,weightMap,currentInputs,currentOutputs,actualValue,currentPartialError
0,MYCT,0,{},[],"[0.010192525481313703, 1.0, 0.03737259343148358, 0.8867497168742922]",[],[]
1,MMIN,0,{},[],"[1.0, 0.05493951612903226, 0.05493951612903226, 0.008064516129032258]",[],[]
2,MMAX,0,{},[],"[0.4959677419354839, 0.007686491935483871, 0.05493951612903226, 0.11794354838709678]",[],[]
3,CACH,0,{},[],"[0.25, 0.0, 0.03125, 0.0]",[],[]
4,CHMIN,0,{},[],"[0.29411764705882354, 0.0, 0.0392156862745098, 0.0]",[],[]
5,CHMAX,0,{},[],"[0.13142857142857142, 0.005714285714285714, 0.022857142857142857, 0.017142857142857144]",[],[]
6,HiddenNode-0-0,1,"{'Intercept': 2.042015555153848, 'MYCT': 0.10130409217764486, 'MMIN': 0.989004039542841, 'MMAX': 0.7713074161913062, 'CACH': 0.6035740601545025, 'CHMIN': 0.4602367625870878, 'CHMAX': 0.4757900154548312}","[3.7633854075559823, 2.2063024990362816, 2.190297601644868, 2.238949903066979]","[0.022678786359202445, 0.09918594859535847, 0.10062515749278202, 0.09630689488313325]",[],[]
7,HiddenNode-1-0,1,"{'Intercept': 2.0445822673608123, 'MYCT': 0.0950341456258345, 'MMIN': 0.9879099098966578, 'MMAX': 0.7712477691923678, 'CACH': 0.598681051626298, 'CHMIN': 0.45485530215851155, 'CHMAX': 0.46864967195819396}","[3.761020020783074, 2.2024978932990775, 2.1920394497261864, 2.2358184774509104]","[0.022731273113029467, 0.09952640163435068, 0.1004676303263619, 0.096579773464176]",[],[]
8,HiddenNode-2-0,1,"{'Intercept': 2.050816088388398, 'MYCT': 0.09188811445651042, 'MMIN': 0.9757345446539462, 'MMAX': 0.7647022815704906, 'CACH': 0.5951879108729652, 'CHMIN': 0.45463139622235693, 'CHMAX': 0.48137576890513745}","[3.752533492715562, 2.204939183198374, 2.197300121754496, 2.2386105314263434]","[0.022920563175572527, 0.09930782484870325, 0.09999320120780264, 0.09633643508076035]",[],[]
9,HiddenNode-3-0,1,"{'Intercept': 2.045924281226088, 'MYCT': 0.09138219877553397, 'MMIN': 0.9774832013600473, 'MMAX': 0.7694319267868879, 'CACH': 0.6038599817942014, 'CHMIN': 0.45277641493810156, 'CHMAX': 0.4772296278890299}","[3.752808450767973, 2.1996501928538317, 2.1928488108987794, 2.2337709601836764]","[0.02291440623966996, 0.09978190631491714, 0.10039450886134102, 0.09675857131448731]",[],[]
10,HiddenNode-0-1,2,"{'Intercept': 5.3243855050592614, 'HiddenNode-0-0': 1.4429364063305563, 'HiddenNode-1-0': 1.4498149335331763, 'HiddenNode-2-0': 1.438812124578271, 'HiddenNode-3-0': 1.4400320009274237}","[5.4560415532323905, 5.89837382531907, 5.903683414733097, 5.881318497602123]","[0.004252267591360547, 0.0027363948559287576, 0.0027219436691356775, 0.0027833342136865343]",[],[]
11,HiddenNode-1-1,2,"{'Intercept': 5.321178287096552, 'HiddenNode-0-0': 1.436735340087939, 'HiddenNode-1-0': 1.4453196335934175, 'HiddenNode-2-0': 1.450271673020871, 'HiddenNode-3-0': 1.4412601898475947}","[5.452882321246408, 5.895364721552864, 5.900669761727148, 5.878302729004602]","[0.004265665338780244, 0.002744618719565489, 0.002730136606697448, 0.0027917173066118487]",[],[]
12,HiddenNode-2-1,2,"{'Intercept': 5.323688017506533, 'HiddenNode-0-0': 1.451880234239487, 'HiddenNode-1-0': 1.452136844617405, 'HiddenNode-2-0': 1.4399137751812232, 'HiddenNode-3-0': 1.4449552969847084}","[5.455737745695179, 5.899395189667762, 5.9047236076368055, 5.882289112174646]","[0.004253554162687145, 0.0027336090627201777, 0.0027191214894819213, 0.002780641487976745]",[],[]
13,HiddenNode-3-1,2,"{'Intercept': 5.318507433624626, 'HiddenNode-0-0': 1.4445670159095867, 'HiddenNode-1-0': 1.4508329792183907, 'HiddenNode-2-0': 1.4469684637073092, 'HiddenNode-3-0': 1.4439973265850479}","[5.450501414487825, 5.893964465916978, 5.899285379663239, 5.876865219614896]","[0.004275790112932037, 0.0027484540091921856, 0.0027339084361223762, 0.002795722084649122]",[],[]
14,OutputNode,3,"{'Intercept': 75.87694538074979, 'HiddenNode-0-1': 3.981018708494873, 'HiddenNode-1-1': 3.97076607488518, 'HiddenNode-2-1': 3.9820935302021656, 'HiddenNode-3-1': 3.9645356710833366}","[75.94470126973495, 75.92051908968774, 75.92028869684535, 75.92126765710834]","[75.94470126973495, 75.92051908968774, 75.92028869684535, 75.92126765710834]","[465, 11, 26, 12]",[]
