,nodeName,nodeLayer,weightMap,currentInputs,currentOutputs,actualValue,currentPartialError,testID
0,MYCT,0,{},[],"[0.00554016620498615, 0.007386888273314866, 0.3536472760849492, 0.0, 0.11634349030470914, 0.012003693444136657, 0.04339796860572484, 0.030470914127423823, 0.2613111726685134, 0.036011080332409975, 0.05355493998153278, 0.4275161588180979, 0.00554016620498615, 0.06740535549399815, 0.3074792243767313, 0.019390581717451522, 0.27977839335180055, 0.030470914127423823, 0.8153277931671283, 0.036011080332409975, 0.030470914127423823, 0.007386888273314866, 0.038781163434903045, 0.08125577100646353, 0.0110803324099723, 0.07479224376731301, 0.03970452446906741, 0.008310249307479225, 0.21514312096029548, 0.6306555863342567, 0.28901200369344415, 0.1505078485687904, 0.05355493998153278, 0.19205909510618652, 0.17174515235457063, 0.048938134810710986, 0.0904893813481071, 0.13204062788550322, 0.11357340720221606, 0.7229916897506925, 0.11357340720221606, 0.030470914127423823]",[],[],1
1,MMIN,0,{},[],"[1.0, 0.11077235772357724, 0.23780487804878048, 0.23780487804878048, 0.04725609756097561, 1.0, 0.3165650406504065, 0.11077235772357724, 0.008130081300813009, 0.3165650406504065, 0.11077235772357724, -0.01016260162601626, 2.016260162601626, 0.0, -0.012195121951219513, 0.23780487804878048, 0.0, 0.11077235772357724, 0.04725609756097561, 0.23780487804878048, 0.491869918699187, 0.11077235772357724, 0.491869918699187, 0.0, 0.491869918699187, 0.04725609756097561, 0.11077235772357724, 0.491869918699187, 0.04725609756097561, 0.0, 0.04725609756097561, 0.00038109756097560977, 0.17428861788617886, 0.11077235772357724, 0.04725609756097561, 0.23780487804878048, 0.11077235772357724, 0.11077235772357724, 0.11077235772357724, 0.0, 0.04725609756097561, 0.23780487804878048]",[],[],1
2,MMAX,0,{},[],"[0.4959677419354839, 0.18094758064516128, 0.11794354838709678, 0.2439516129032258, 0.0234375, 0.4959677419354839, 0.32223412298387094, 0.2439516129032258, 0.18094758064516128, 0.32223412298387094, 0.2439516129032258, 0.0, 1.0, 0.007686491935483871, -0.007056451612903226, 0.11794354838709678, 0.08644153225806452, 0.4959677419354839, 0.05493951612903226, 0.2439516129032258, 0.2439516129032258, 0.18094758064516128, 0.2439516129032258, 0.0234375, 0.4959677419354839, 0.11794354838709678, 0.11794354838709678, 0.4959677419354839, 0.2439516129032258, 0.0234375, 0.05493951612903226, 0.05493951612903226, 0.11794354838709678, 0.05493951612903226, 0.0234375, 0.18094758064516128, 0.11794354838709678, 0.11794354838709678, 0.11794354838709678, 0.11794354838709678, 0.2439516129032258, 0.2439516129032258]",[],[],1
3,CACH,0,{},[],"[0.4, 0.1, 0.0, 0.05, 0.0, 1.6, 0.1875, 0.05, 0.0375, 0.1875, 0.8, 0.0, 0.8, 0.0, 0.0, 0.2, 0.0, 0.7, 0.025, 0.0, 0.3, 0.05, 0.4, 0.0, 0.2, 0.2, 0.40625, 0.0, 0.00625, 0.0, 0.0, 0.0, 0.05, 0.05, 0.0, 0.05, 0.1, 0.2, 0.2, 0.0, 0.1, 0.40625]",[],[],1
4,CHMIN,0,{},[],"[0.3076923076923077, 0.057692307692307696, 0.019230769230769232, 0.11538461538461539, 0.09615384615384616, 0.3076923076923077, 0.23076923076923078, 0.057692307692307696, 0.019230769230769232, 0.23076923076923078, 0.019230769230769232, 0.019230769230769232, 0.6153846153846154, 0.057692307692307696, 0.019230769230769232, 0.3076923076923077, 0.019230769230769232, 1.0, 0.019230769230769232, 0.019230769230769232, 0.019230769230769232, 0.019230769230769232, 0.23076923076923078, 0.057692307692307696, 0.15384615384615385, 0.038461538461538464, 0.019230769230769232, 0.15384615384615385, 0.019230769230769232, 0.019230769230769232, 0.057692307692307696, 0.019230769230769232, 0.057692307692307696, 0.057692307692307696, 0.019230769230769232, 0.11538461538461539, 0.019230769230769232, 0.019230769230769232, 0.019230769230769232, 0.019230769230769232, 0.019230769230769232, 0.019230769230769232]",[],[],1
5,CHMAX,0,{},[],"[0.18181818181818182, 0.028409090909090908, 0.005681818181818182, 0.06818181818181818, 0.09090909090909091, 0.13636363636363635, 0.13636363636363635, 0.03409090909090909, 0.13636363636363635, 0.13636363636363635, 0.2159090909090909, 0.005681818181818182, 0.36363636363636365, 0.056818181818181816, 0.022727272727272728, 0.18181818181818182, 0.03409090909090909, 0.5909090909090909, 0.011363636363636364, 0.045454545454545456, 0.056818181818181816, 0.022727272727272728, 0.13636363636363635, 0.056818181818181816, 0.18181818181818182, 0.045454545454545456, 0.045454545454545456, 0.13636363636363635, 0.045454545454545456, 0.005681818181818182, 0.03409090909090909, 0.017045454545454544, 0.2727272727272727, 0.03409090909090909, 0.028409090909090908, 0.045454545454545456, 0.017045454545454544, 0.07386363636363637, 0.3068181818181818, 0.022727272727272728, 0.017045454545454544, 0.045454545454545456]",[],[],1
6,HiddenNode-0-0,1,"{'Intercept': -0.0040483427783753875, 'MYCT': -0.0018914578294592433, 'MMIN': -0.005204967487291785, 'MMAX': 0.0045966072504285025, 'CACH': 0.009536444115510415, 'CHMIN': 0.009537784367495014, 'CHMAX': 0.0018175411372300546}","[9.572221560844203e-05, -0.0022516004319540926, -0.005219132308075245, -0.0024635006383170576, -0.0033243093897719596, 0.011444614158780796, -5.9998291931738675e-05, -0.0024721533694034405, -0.002964291586354185, -4.602630427183625e-05, 0.004600141420454827, -0.004610329684718656, 0.004202701995967566, -0.0034869792079814214, -0.004374160604842325, 0.00039180799547063397, -0.003934813477256178, 0.01488452200008773, -0.005141448079953174, -0.003966838687774141, -0.0023971728620594884, -0.003105587436297599, 0.0007029384308756739, -0.0034407754869728254, -0.0006445964869059833, -0.0015368932455275862, -1.7653704523870953e-05, -0.002629261320873333, -0.003254256405622702, -0.004939722373983758, -0.003976209448665778, -0.0038680705042032294, -0.002991894075120562, -0.00364660497391475, -0.004276371338874644, -0.0028869776011664246, -0.0030858818214593436, -0.0021075604576980887, -0.0016492260190799687, -0.004648984217667909, -0.002219734630868528, -8.217927510310776e-05]","[0.5000239305538838, 0.49943710012982284, 0.4986952198847591, 0.49938412515189096, 0.49916892341791147, 0.5028611223108057, 0.4999850004270215, 0.4993819619724128, 0.49925892764606317, 0.4999884934239341, 0.5011500333270976, 0.498847419620341, 0.5010506739525138, 0.4991282560813008, 0.4989064615923704, 0.5000979519976145, 0.4990162978998873, 0.5037210618004837, 0.4987146408114949, 0.4990082916285006, 0.4994007070714684, 0.4992236037649329, 0.5001757346004827, 0.4991398069769042, 0.4998388508838534, 0.4996157767642473, 0.49999558657386917, 0.49934268504845064, 0.49918643661657636, 0.49876507191761166, 0.4990059489475155, 0.49903298357965475, 0.499252027039172, 0.4990883497667609, 0.4989309087945182, 0.49927825610099796, 0.4992285301568392, 0.49947311008060424, 0.4995876935886844, 0.4988377560388857, 0.49944506657013954, 0.4999794551812358]",[],[],1
7,HiddenNode-1-0,1,"{'Intercept': -0.0017057892958380744, 'MYCT': -0.006699436322375844, 'MMIN': 0.0074977877840383955, 'MMAX': 0.010849955510973362, 'CACH': 0.006322826096652657, 'CHMIN': 0.006440440953330416, 'CHMAX': 0.003738738780040131}","[0.016326685697799926, 0.0021486042276280285, -0.0008672364724302476, 0.004038268475481005, -0.000917454565125502, 0.02370083235280648, 0.007054845683299262, 0.0023826467425111467, -0.0005614074055750142, 0.0071043336709068405, 0.007402177773571197, -0.0045010061412568405, 0.034605691571882084, -0.001489976846293081, -0.0037248994328316536, 0.005153007545214092, -0.0023909484095918174, 0.01737752227535491, -0.00589320747712685, 0.002776628726561964, 0.0066580039723582824, 0.0015635108213821094, 0.008894413242546853, -0.0014118690863043066, 0.010224315901740898, 0.0011093604320418671, 0.0030008880614295387, 0.0088083660059432, 0.00018736837157740495, -0.005531432937851197, -0.0021925784091574607, -0.001927575213260464, 0.0022292453538035944, -0.0007506758274404096, -0.002017704180806414, 0.002941848274658868, 0.0006180784846400611, 0.0011844195037877092, 0.0021790956658841844, -0.005060917860495522, 0.0013543789778552825, 0.00538239281903279]","[0.5040815807591124, 0.5005371508502606, 0.4997831908954809, 0.5010095657469035, 0.49977063637480706, 0.5059249307401223, 0.5017637041057436, 0.50059566140383, 0.49985964815229256, 0.5017760759476232, 0.5018505359938168, 0.49887475036439316, 0.5086505596175912, 0.49962750585733906, 0.4990687762185097, 0.5012882490356795, 0.4994022631823556, 0.5043442712464256, 0.4985267023946717, 0.5006941567356641, 0.5016644948443091, 0.5003908776257183, 0.5022235886515392, 0.49964703278705697, 0.5025560567086766, 0.5002773400795674, 0.5007502214523583, 0.502202077263733, 0.5000468420927573, 0.4986171452914405, 0.49945185561730643, 0.49951810634589305, 0.5005573111076528, 0.4998123310519528, 0.4994955741259303, 0.5007354615382456, 0.5001545196162409, 0.500296104841331, 0.5005447737009016, 0.4987347732353844, 0.5003385946927056, 0.5013455949562522]",[],[],1
8,HiddenNode-2-0,1,"{'Intercept': 0.00028364676594025683, 'MYCT': -0.009376133982645089, 'MMIN': 0.004319678695854101, 'MMAX': -0.001115880530169481, 'CACH': -0.0045484096636764, 'CHMIN': -0.004496043106712798, 'CHMAX': -0.004801264397998269}","[-7.777953337916884e-05, -0.0003596562021396228, -0.0022503099998455165, -3.488704775607724e-05, -0.0014980180980278934, -0.005378234736367497, -0.001660467017960885, -0.00044625952249397865, -0.003244983945673313, -0.0015912065637954547, -0.0047740381179170914, -0.0038824434714114075, -0.00032602085062677773, -0.0008891183008483861, -0.0028397065030607077, -0.0021685691450670065, -0.0026861931939705583, -0.010594033012483623, -0.007472883072804272, 0.0003963202039642459, 0.00012666216623973984, 6.796892727002927e-05, -0.0017391016118003199, -0.0010365578956383031, -0.0007233026886914184, -0.0016459410423325888, -0.0018942311748785519, 0.0004305912051740006, -0.0021347828775395592, -0.005769360237148226, -0.0027064098522080935, -0.0013554968065440842, -0.001393474936853384, -0.0017504170386059281, -0.001371543009646588, -0.0003143129382740555, -0.0008410467810036715, -0.001958276915574484, -0.002903602145603688, -0.006822413107651306, -0.0014724654819732452, -0.0013995258812802194]","[0.49998055511666495, 0.49991008595043435, 0.4994374227374413, 0.49999127823806194, 0.4996254955455271, 0.4986554445568913, 0.499584883340888, 0.49988843512122805, 0.49918875472544394, 0.4996021984429852, 0.4988064927373323, 0.4990293903513432, 0.49991849478806527, 0.49977772043943114, 0.49929007385130114, 0.4994578579261938, 0.4993284521053109, 0.4973515165175549, 0.4981317879258242, 0.5000990800496942, 0.5000316655415176, 0.500016992231811, 0.4995652247066305, 0.4997408605492932, 0.4998191743357106, 0.4995885148323138, 0.4995264423478785, 0.5001076477996302, 0.4994663044832992, 0.49855766394145257, 0.49932339794993763, 0.4996611258502505, 0.49965163132215773, 0.49956239585208206, 0.49965711430133947, 0.4999214217660784, 0.49978973831714335, 0.49951043092755826, 0.4992740999735985, 0.4982944033387107, 0.4996318836960178, 0.4996501185867885]",[],[],1
9,MYCT,2,"{'Intercept': 0.09289735590285304, 'HiddenNode-0-0': 0.05012134414165565, 'HiddenNode-1-0': 0.04216377411478638, 'HiddenNode-2-0': 0.04146907527014531}",[],[],[],[],1
10,MMIN,2,"{'Intercept': 0.08446207155788697, 'HiddenNode-0-0': 0.03783474563210106, 'HiddenNode-1-0': 0.039631284383303614, 'HiddenNode-2-0': 0.038367697208479906}",[],[],[],[],1
11,MMAX,2,"{'Intercept': 0.08436680116442347, 'HiddenNode-0-0': 0.05309007022888132, 'HiddenNode-1-0': 0.036731101370978285, 'HiddenNode-2-0': 0.04724799261161757}",[],[],[],[],1
12,CACH,2,"{'Intercept': 0.07460998586242545, 'HiddenNode-0-0': 0.037316530341287776, 'HiddenNode-1-0': 0.0404654964582912, 'HiddenNode-2-0': 0.03186489073337272}",[],[],[],[],1
13,CHMIN,2,"{'Intercept': 0.04921684136131917, 'HiddenNode-0-0': 0.01880238409098086, 'HiddenNode-1-0': 0.024617779323945568, 'HiddenNode-2-0': 0.01591907922699956}",[],[],[],[],1
14,CHMAX,2,"{'Intercept': 0.0526764968444448, 'HiddenNode-0-0': 0.025539002804801935, 'HiddenNode-1-0': 0.030639138348967806, 'HiddenNode-2-0': 0.02650253614451971}",[],[],[],[],1
