,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,Class,estimatedOutput,lossValue,testID
0,0.0997229916897507,0.0,0.08644153225806452,1.6,0.3076923076923077,0.7272727272727273,198,0.12638858524920027,0.44059947918819975,Test1
1,0.0110803324099723,0.491869918699187,0.4959677419354839,0.2,0.15384615384615385,0.18181818181818182,269,0.12631114062611948,0.04668924818023095,Test1
4,0.0110803324099723,0.491869918699187,0.2439516129032258,0.2,0.15384615384615385,0.09090909090909091,132,0.12627743649095932,0.027185191895205674,Test1
10,0.3536472760849492,0.04725609756097561,0.03918850806451613,0.0,0.019230769230769232,0.011363636363636364,38,0.12613621572140474,0.01444404620979775,Test1
11,0.3536472760849492,0.016260162601626018,0.047064012096774195,0.025,0.019230769230769232,0.03409090909090909,40,0.12613843528324228,0.013785037407763552,Test1
16,0.13850415512465375,0.017022357723577235,0.0234375,0.05,0.07692307692307693,0.08522727272727272,19,0.1261783954137029,0.006545491528686261,Test1
17,0.11634349030470914,0.016260162601626018,0.07069052419354839,0.0,0.1346153846153846,0.18181818181818182,28,0.126189830844987,0.00868162261652356,Test1
23,0.08587257617728532,0.18064024390243902,0.08959173387096774,0.0,0.11538461538461539,0.36363636363636365,76,0.12620579411186314,0.016951339639101334,Test1
24,0.27977839335180055,-0.008130081300813009,0.08644153225806452,0.0,0.019230769230769232,0.06818181818181818,23,0.1261514173810887,0.010400788630973858,Test1
28,0.27977839335180055,0.016260162601626018,0.07069052419354839,0.025,0.019230769230769232,0.028409090909090908,77,0.12615297922334628,0.009298455135990839,Test1
30,0.007386888273314866,0.06694613821138211,0.033203125,0.81875,0.23076923076923078,0.13636363636363635,274,0.12630211193566493,0.09053109685904738,Test1
31,0.007386888273314866,0.06694613821138211,0.033203125,0.81875,0.23076923076923078,0.13636363636363635,368,0.12630211193566493,0.09053109685904738,Test1
37,0.030470914127423823,0.04725609756097561,0.05493951612903226,0.05,0.019230769230769232,0.028409090909090908,29,0.12619419840382584,0.008249092459223548,Test1
38,0.030470914127423823,0.11077235772357724,0.11794354838709678,0.05,0.019230769230769232,0.028409090909090908,71,0.12620588395779037,0.005515306479409628,Test1
41,0.030470914127423823,0.11077235772357724,0.2439516129032258,0.05,0.057692307692307696,0.028409090909090908,40,0.12622644809044417,0.006178549055161939,Test1
44,0.10710987996306556,0.04725609756097561,0.18094758064516128,0.05625,0.057692307692307696,0.06818181818181818,72,0.12620386807631975,0.003178065533523663,Test1
47,0.7322253000923361,0.04725609756097561,0.07069052419354839,0.0,0.019230769230769232,0.005681818181818182,20,0.12608119074612054,0.06195072988950531,Test1
49,0.16897506925207756,0.016260162601626018,0.11794354838709678,0.05,0.019230769230769232,0.045454545454545456,62,0.1261792565097869,0.004900991088863586,Test1
54,0.08587257617728532,0.04725609756097561,0.05493951612903226,0.1,0.019230769230769232,0.011363636363636364,26,0.12619072312068833,0.005887622184447793,Test1
55,0.08587257617728532,0.04725609756097561,0.18094758064516128,0.1,0.019230769230769232,0.011363636363636364,60,0.12620712287285554,0.0044233224957537405,Test1
58,0.7229916897506925,0.0,0.11794354838709678,0.0,0.019230769230769232,0.022727272727272728,14,0.12608635770734797,0.060697342749820034,Test1
60,0.7229916897506925,0.0,0.11794354838709678,0.0,0.019230769230769232,0.022727272727272728,16,0.12608635770734797,0.060697342749820034,Test1
62,0.0997229916897507,0.016260162601626018,0.007686491935483871,0.0,0.15384615384615385,0.11363636363636363,36,0.12618562756591573,0.010551882158373908,Test1
64,0.05355493998153278,0.11077235772357724,0.2439516129032258,0.4,0.019230769230769232,0.2159090909090909,144,0.1262579191328869,0.018696364770941675,Test1
69,0.08125577100646353,0.11077235772357724,0.05493951612903226,0.05,0.057692307692307696,0.10795454545454546,32,0.12619471662639584,0.003947857743523618,Test1
70,0.05355493998153278,0.11077235772357724,0.11794354838709678,0.05,0.057692307692307696,0.13636363636363635,62,0.1262075214492429,0.0036735899003926906,Test1
76,0.2613111726685134,0.032520325203252036,0.06281502016129033,0.0,0.019230769230769232,0.13636363636363635,45,0.12615413350753407,0.008760314486878132,Test1
78,0.2613111726685134,-0.0040650406504065045,0.004032258064516129,0.0375,0.11538461538461539,0.13636363636363635,36,0.1261588902237797,0.010909219695180846,Test1
79,0.1505078485687904,0.032520325203252036,0.18094758064516128,0.0375,0.019230769230769232,0.17613636363636365,84,0.12619119659528946,0.005280607868330668,Test1
83,0.28901200369344415,0.04725609756097561,0.0234375,0.0,0.019230769230769232,0.011363636363636364,16,0.12614425062474824,0.011599352348219646,Test1
85,0.11357340720221606,0.11077235772357724,0.05493951612903226,0.0,0.057692307692307696,0.03409090909090909,29,0.12618360014619992,0.0055805506934680305,Test1
86,0.11357340720221606,0.11077235772357724,0.05493951612903226,0.0,0.07692307692307693,0.045454545454545456,40,0.12618579548093845,0.005301435298701863,Test1
87,0.11357340720221606,0.11077235772357724,0.05493951612903226,0.05,0.019230769230769232,0.11363636363636363,35,0.12618556636572062,0.0038255114716102302,Test1
88,0.11357340720221606,0.11077235772357724,0.4959677419354839,0.2,0.019230769230769232,0.11363636363636363,134,0.12625898126591897,0.021623303008208427,Test1
90,0.11357340720221606,0.11077235772357724,0.4959677419354839,0.2,0.019230769230769232,0.3068181818181818,141,0.12626090464469564,0.029104812659448077,Test1
91,0.11357340720221606,0.11077235772357724,0.4959677419354839,0.2,0.019230769230769232,0.3068181818181818,189,0.12626090464469564,0.029104812659448077,Test1
93,0.03693444136657433,0.23780487804878048,0.2439516129032258,0.00625,0.11538461538461539,0.06818181818181818,132,0.12623438222565572,0.008276887342171071,Test1
95,0.008310249307479225,1.0,0.4959677419354839,0.4,0.3076923076923077,0.13636363636363635,465,0.1263770154252029,0.16717157828084447,Test1
98,0.008310249307479225,0.491869918699187,0.2439516129032258,0.0,0.15384615384615385,0.09090909090909091,185,0.12625651433755322,0.02929084708490513,Test1
101,0.0904893813481071,0.016260162601626018,0.08644153225806452,0.1,0.019230769230769232,0.03409090909090909,45,0.12619262798300743,0.00551774911327626,Test1
102,1.0,0.016260162601626018,0.015561995967741936,0.0,0.019230769230769232,0.005681818181818182,7,0.12603053522196137,0.12817706649925886,Test1
110,0.8153277931671283,0.04725609756097561,0.05493951612903226,0.05,0.019230769230769232,0.011363636363636364,22,0.12607156980728082,0.07753778145421054,Test1
114,0.1505078485687904,0.11077235772357724,0.11794354838709678,0.05,0.019230769230769232,0.03409090909090909,50,0.1261872114538021,0.0026240749860155944,Test1
115,0.15512465373961218,0.11077235772357724,0.2439516129032258,0.1,0.019230769230769232,0.03409090909090909,76,0.12620822947196988,0.002888026525338006,Test1
116,0.1505078485687904,0.11077235772357724,0.2439516129032258,0.1,0.019230769230769232,0.03409090909090909,66,0.12620894982075467,0.0028986945922188537,Test1
117,0.19205909510618652,0.04725609756097561,0.05493951612903226,0.0125,0.057692307692307696,0.03409090909090909,24,0.12616920318892152,0.006225822558383716,Test1
122,1.3693444136657433,0.032520325203252036,0.007686491935483871,0.0,0.0,0.0,12,0.12597063724474025,0.25475430487417655,Test1
123,1.3693444136657433,0.032520325203252036,0.0234375,0.0,0.0,0.0,18,0.12597268717136198,0.25403432381912977,Test1
125,0.030470914127423823,0.11077235772357724,0.05493951612903226,0.0,0.057692307692307696,0.03409090909090909,27,0.1261965664285293,0.008011805091254874,Test1
129,0.030470914127423823,0.11077235772357724,0.2439516129032258,0.15,0.019230769230769232,0.03409090909090909,80,0.12623301751052599,0.005597254592269508,Test1
131,0.07663896583564174,0.04725609756097561,0.11794354838709678,0.0,0.038461538461538464,0.03409090909090909,16,0.12619199493450003,0.0065206953848447055,Test1
