,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,Class,estimatedOutput,lossValue,testID,learningRate,numHiddenNodesPercentage
0,0.0997229916897507,0.0,0.08644153225806452,1.6,0.3076923076923077,0.7272727272727273,198,92.85789055758542,11054.863178000685,Test1,0.001,
1,0.0110803324099723,0.491869918699187,0.4959677419354839,0.2,0.15384615384615385,0.18181818181818182,269,92.85740898072729,31026.212370982772,Test1,0.001,
4,0.0110803324099723,0.491869918699187,0.2439516129032258,0.2,0.15384615384615385,0.09090909090909091,132,92.85716632372345,1532.1614282086498,Test1,0.001,
10,0.3536472760849492,0.04725609756097561,0.03918850806451613,0.0,0.019230769230769232,0.011363636363636364,38,92.85611723447718,3009.1935980427047,Test1,0.001,
11,0.3536472760849492,0.016260162601626018,0.047064012096774195,0.025,0.019230769230769232,0.03409090909090909,40,92.85613109520276,2793.7705943532596,Test1,0.001,
16,0.13850415512465375,0.017022357723577235,0.0234375,0.05,0.07692307692307693,0.08522727272727272,19,92.85642903650862,5454.772110024833,Test1,0.001,
17,0.11634349030470914,0.016260162601626018,0.07069052419354839,0.0,0.1346153846153846,0.18181818181818182,28,92.85651130273851,4206.367058362248,Test1,0.001,
23,0.08587257617728532,0.18064024390243902,0.08959173387096774,0.0,0.11538461538461539,0.36363636363636365,76,92.85663224004267,284.146050476046,Test1,0.001,
24,0.27977839335180055,-0.008130081300813009,0.08644153225806452,0.0,0.019230769230769232,0.06818181818181818,23,92.85622840162938,4879.892646500612,Test1,0.001,
28,0.27977839335180055,0.016260162601626018,0.07069052419354839,0.025,0.019230769230769232,0.028409090909090908,77,92.85624075182383,251.42037077979884,Test1,0.001,
30,0.007386888273314866,0.06694613821138211,0.033203125,0.81875,0.23076923076923078,0.13636363636363635,274,92.85730805675624,32812.67484444491,Test1,0.001,
31,0.007386888273314866,0.06694613821138211,0.033203125,0.81875,0.23076923076923078,0.13636363636363635,368,92.85730805675624,75703.50092977475,Test1,0.001,
37,0.030470914127423823,0.04725609756097561,0.05493951612903226,0.05,0.019230769230769232,0.028409090909090908,29,92.85655300176134,4077.6593612667552,Test1,0.001,
38,0.030470914127423823,0.11077235772357724,0.11794354838709678,0.05,0.019230769230769232,0.028409090909090908,71,92.85664052515727,477.7127350459473,Test1,0.001,
41,0.030470914127423823,0.11077235772357724,0.2439516129032258,0.05,0.057692307692307696,0.028409090909090908,40,92.85678908249392,2793.8401521112482,Test1,0.001,
44,0.10710987996306556,0.04725609756097561,0.18094758064516128,0.05625,0.057692307692307696,0.06818181818181818,72,92.85661794062935,434.99851192138203,Test1,0.001,
47,0.7322253000923361,0.04725609756097561,0.07069052419354839,0.0,0.019230769230769232,0.005681818181818182,20,92.85569767727466,5307.952684042445,Test1,0.001,
49,0.16897506925207756,0.016260162601626018,0.11794354838709678,0.05,0.019230769230769232,0.045454545454545456,62,92.85643638792831,952.1196665622664,Test1,0.001,
54,0.08587257617728532,0.04725609756097561,0.05493951612903226,0.1,0.019230769230769232,0.011363636363636364,26,92.85652403938994,4469.794806629525,Test1,0.001,
55,0.08587257617728532,0.04725609756097561,0.18094758064516128,0.1,0.019230769230769232,0.011363636363636364,60,92.85664351705731,1079.559023206984,Test1,0.001,
58,0.7229916897506925,0.0,0.11794354838709678,0.0,0.019230769230769232,0.022727272727272728,14,92.85573382753762,6218.2267574794605,Test1,0.001,
