,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,Class,estimatedOutput,lossValue,testID,learningRate,numHiddenNodesPercentage
52,0.11357340720221606,0.051113360323886636,0.2408906882591093,0.0625,0.0,0.011428571428571429,138,100.98423318317515,1370.1669930375517,1,0.01,0.75
160,0.036011080332409975,0.11437246963562753,0.08274291497975708,0.0,0.0,0.04,21,100.98423318317515,6397.477557900536,1,0.01,0.75
138,0.0904893813481071,0.11437246963562753,0.11437246963562753,0.0625,0.0,0.011428571428571429,50,100.98423318317515,2599.3920332763782,1,0.01,0.75
2,0.0110803324099723,0.4939271255060729,0.4939271255060729,0.125,0.28,0.17714285714285713,220,100.98423318317515,14164.752750996828,1,0.01,0.75
184,0.08125577100646353,0.11437246963562753,0.08274291497975708,0.0625,0.2,0.08571428571428572,33,100.98423318317515,4621.855961504333,1,0.01,0.75
207,0.4275161588180979,0.020242914979757085,0.11437246963562753,0.125,-0.04,-0.005714285714285714,67,100.98423318317515,1154.928105048423,1,0.01,0.75
180,0.13204062788550322,0.11437246963562753,0.11437246963562753,0.125,0.0,0.06857142857142857,109,100.98423318317515,64.2525176617104,1,0.01,0.75
115,0.15512465373961218,0.11437246963562753,0.2408906882591093,0.0625,0.0,0.02857142857142857,76,100.98423318317515,624.2119077512702,1,0.01,0.75
72,0.1458910433979686,0.004048582995951417,0.019483805668016194,0.0,0.08,0.13142857142857142,22,100.98423318317515,6238.509091534186,1,0.01,0.75
191,0.008310249307479225,0.4939271255060729,0.4939271255060729,0.25,0.44,0.08571428571428572,248,100.98423318317515,21613.63569273902,1,0.01,0.75
146,0.03970452446906741,0.2408906882591093,0.2408906882591093,0.25,0.16,0.04,93,100.98423318317515,63.74797952331518,1,0.01,0.75
81,0.2613111726685134,0.051113360323886636,0.051113360323886636,0.03125,0.08,0.36,38,100.98423318317515,3967.013629672582,1,0.01,0.75
62,0.0997229916897507,0.020242914979757085,0.0036690283400809716,0.0,0.28,0.10857142857142857,36,100.98423318317515,4222.950562405283,1,0.01,0.75
56,0.18744228993536471,0.051113360323886636,0.11437246963562753,0.0625,0.0,0.005714285714285714,71,100.98423318317515,899.0542395830217,1,0.01,0.75
8,0.00554016620498615,1.0,1.0,0.25,0.6,0.17714285714285713,636,100.98423318317515,286241.8707425952,1,0.01,0.75
65,0.05355493998153278,0.11437246963562753,0.2408906882591093,0.5,0.0,0.21142857142857144,259,100.98423318317515,24968.982562709167,1,0.01,0.75
61,0.7229916897506925,0.004048582995951417,0.11437246963562753,0.0,0.0,0.017142857142857144,22,100.98423318317515,6238.509091534186,1,0.01,0.75
26,0.27977839335180055,0.004048582995951417,0.08274291497975708,0.0,0.0,0.02857142857142857,33,100.98423318317515,4621.855961504333,1,0.01,0.75
175,0.21514312096029548,0.051113360323886636,0.2408906882591093,0.00390625,0.0,0.04,50,100.98423318317515,2599.3920332763782,1,0.01,0.75
119,0.007386888273314866,0.11437246963562753,0.17763157894736842,0.0625,0.08,0.022857142857142857,66,100.98423318317515,1223.8965714147732,1,0.01,0.75
59,0.7229916897506925,0.004048582995951417,0.11437246963562753,0.0,0.0,0.017142857142857144,20,100.98423318317515,6558.446024266887,1,0.01,0.75
130,0.030470914127423823,0.4939271255060729,0.2408906882591093,0.1875,0.0,0.05142857142857143,136,100.98423318317515,1226.1039257702523,1,0.01,0.75
74,0.2613111726685134,0.03643724696356275,0.035298582995951414,0.0234375,0.2,0.13142857142857142,44,100.98423318317515,3247.20283147448,1,0.01,0.75
91,0.11357340720221606,0.11437246963562753,0.4939271255060729,0.125,0.0,0.3028571428571429,189,100.98423318317515,7746.775208353686,1,0.01,0.75
12,0.03970452446906741,0.11437246963562753,0.11437246963562753,0.25390625,0.0,0.04,92,100.98423318317515,80.71644588966548,1,0.01,0.75
112,0.19205909510618652,0.11437246963562753,0.051113360323886636,0.03125,0.08,0.02857142857142857,40,100.98423318317515,3719.076696939881,1,0.01,0.75
60,0.7229916897506925,0.004048582995951417,0.11437246963562753,0.0,0.0,0.017142857142857144,16,100.98423318317515,7222.319889732288,1,0.01,0.75
47,0.7322253000923361,0.051113360323886636,0.06692813765182186,0.0,0.0,0.0,20,100.98423318317515,6558.446024266887,1,0.01,0.75
154,0.028624192059095107,0.2408906882591093,0.3674089068825911,0.125,0.28,0.13142857142857142,214,100.98423318317515,12772.563549194929,1,0.01,0.75
186,0.032317636195752536,0.2408906882591093,0.2408906882591093,0.125,0.12,0.06285714285714286,130,100.98423318317515,841.9147239683541,1,0.01,0.75
80,0.28901200369344415,0.051113360323886636,0.035298582995951414,0.0,0.04,0.017142857142857144,16,100.98423318317515,7222.319889732288,1,0.01,0.75
144,0.03970452446906741,0.2408906882591093,0.2408906882591093,0.125,0.0,0.02857142857142857,86,100.98423318317515,224.52724408776726,1,0.01,0.75
51,0.6306555863342567,0.004048582995951417,0.019483805668016194,0.0,0.0,0.0,24,100.98423318317512,5926.572158801481,1,0.01,0.75
202,0.1505078485687904,0.0044281376518218625,0.051113360323886636,0.0,0.0,0.011428571428571429,18,100.98423318317515,6886.382956999588,1,0.01,0.75
99,0.4275161588180979,-0.006072874493927126,-0.004048582995951417,0.0,0.0,0.0,6,100.98423318317512,9022.004553395785,1,0.01,0.75
42,0.030470914127423823,0.11437246963562753,0.2408906882591093,0.03125,0.08,0.02857142857142857,52,100.98423318317515,2399.4551005436774,1,0.01,0.75
139,0.0904893813481071,0.11437246963562753,0.051113360323886636,0.0078125,0.0,0.022857142857142857,40,100.98423318317515,3719.076696939881,1,0.01,0.75
107,0.8153277931671283,0.051113360323886636,0.0036690283400809716,0.0,0.0,0.005714285714285714,11,100.98423318317512,8097.162221564035,1,0.01,0.75
104,0.5383194829178208,0.03643724696356275,0.019483805668016194,0.0,0.0,0.0,16,100.98423318317512,7222.319889732284,1,0.01,0.75
17,0.11634349030470914,0.020242914979757085,0.06692813765182186,0.0,0.24,0.17714285714285713,28,100.98423318317515,5326.698293336085,1,0.01,0.75
4,0.0110803324099723,0.4939271255060729,0.2408906882591093,0.125,0.28,0.08571428571428572,132,100.98423318317515,961.9777912356535,1,0.01,0.75
135,0.030470914127423823,0.11437246963562753,0.2408906882591093,0.09375,0.2,0.08571428571428572,54,100.98423318317515,2207.518167810977,1,0.01,0.75
52,0.11357340720221606,0.051113360323886636,0.2408906882591093,0.0625,0.0,0.011428571428571429,138,87.8109010013161,2518.9456582996936,2,0.01,0.75
160,0.036011080332409975,0.11437246963562753,0.08274291497975708,0.0,0.0,0.04,21,87.8109010013161,4463.69649260766,2,0.01,0.75
138,0.0904893813481071,0.11437246963562753,0.11437246963562753,0.0625,0.0,0.011428571428571429,50,87.8109010013161,1429.6642345313267,2,0.01,0.75
2,0.0110803324099723,0.4939271255060729,0.4939271255060729,0.125,0.28,0.17714285714285713,220,87.8109010013161,17473.957894083855,2,0.01,0.75
184,0.08125577100646353,0.11437246963562753,0.08274291497975708,0.0625,0.2,0.08571428571428572,33,87.8109010013161,3004.234868576074,2,0.01,0.75
207,0.4275161588180979,0.020242914979757085,0.11437246963562753,0.125,-0.04,-0.005714285714285714,67,87.81299430220014,433.18073182341544,2,0.01,0.75
180,0.13204062788550322,0.11437246963562753,0.11437246963562753,0.125,0.0,0.06857142857142857,109,87.8109010013161,448.97791637602717,2,0.01,0.75
115,0.15512465373961218,0.11437246963562753,0.2408906882591093,0.0625,0.0,0.02857142857142857,76,87.8109010013161,139.4973824628896,2,0.01,0.75
72,0.1458910433979686,0.004048582995951417,0.019483805668016194,0.0,0.08,0.13142857142857142,22,87.81090100131811,4331.074690605294,2,0.01,0.75
191,0.008310249307479225,0.4939271255060729,0.4939271255060729,0.25,0.44,0.08571428571428572,248,87.8109010013161,25660.54743801015,2,0.01,0.75
146,0.03970452446906741,0.2408906882591093,0.2408906882591093,0.25,0.16,0.04,93,87.8109010013161,26.926748418142285,2,0.01,0.75
