,nodeName,nodeLayer,weightMap,currentInputs,currentOutputs,actualValue,currentPartialError
0,MYCT,0,{},[],[],[],[]
1,MMIN,0,{},[],[],[],[]
2,MMAX,0,{},[],[],[],[]
3,CACH,0,{},[],[],[],[]
4,CHMIN,0,{},[],[],[],[]
5,CHMAX,0,{},[],[],[],[]
6,HiddenNode-0-0,1,"{'Intercept': 1.85016030751508, 'MYCT': 0.10390270957903214, 'MMIN': 0.8136509958550561, 'MMAX': 1.0102626639921692, 'CACH': 0.9342879740867345, 'CHMIN': 0.5424615171640319, 'CHMAX': 0.3549654079170938}",[],[],[],[]
7,HiddenNode-1-0,1,"{'Intercept': 1.8479848469906055, 'MYCT': 0.10479123146252595, 'MMIN': 0.8127264612053926, 'MMAX': 1.0133281281553415, 'CACH': 0.9296305022229603, 'CHMIN': 0.5461843540499766, 'CHMAX': 0.35256453202185317}",[],[],[],[]
8,HiddenNode-2-0,1,"{'Intercept': 1.852255857729532, 'MYCT': 0.10286200151512834, 'MMIN': 0.8115327695332882, 'MMAX': 1.0071413490153855, 'CACH': 0.9272643985620324, 'CHMIN': 0.5480570606434045, 'CHMAX': 0.3494954500891357}",[],[],[],[]
9,HiddenNode-3-0,1,"{'Intercept': 1.8488134110420948, 'MYCT': 0.09780555177451641, 'MMIN': 0.8187235644542815, 'MMAX': 1.0108004768666714, 'CACH': 0.9278876646141627, 'CHMIN': 0.5505422554201739, 'CHMAX': 0.34866378422501676}",[],[],[],[]
10,HiddenNode-0-1,2,"{'Intercept': 5.5581690083799336, 'HiddenNode-0-0': 1.226804941662873, 'HiddenNode-1-0': 1.227314629746292, 'HiddenNode-2-0': 1.2231569308553576, 'HiddenNode-3-0': 1.2353469505172425}",[],[],[],[]
11,HiddenNode-1-1,2,"{'Intercept': 5.557461257578063, 'HiddenNode-0-0': 1.2300580939369212, 'HiddenNode-1-0': 1.2204862839768387, 'HiddenNode-2-0': 1.232180440194327, 'HiddenNode-3-0': 1.2335845649749544}",[],[],[],[]
12,HiddenNode-2-1,2,"{'Intercept': 5.559977561310976, 'HiddenNode-0-0': 1.2300496284683695, 'HiddenNode-1-0': 1.2427004658375076, 'HiddenNode-2-0': 1.2380798202516217, 'HiddenNode-3-0': 1.2309725259775541}",[],[],[],[]
13,HiddenNode-3-1,2,"{'Intercept': 5.560283261194424, 'HiddenNode-0-0': 1.242600874989759, 'HiddenNode-1-0': 1.2341468074295787, 'HiddenNode-2-0': 1.2370306156748254, 'HiddenNode-3-0': 1.2358486582444452}",[],[],[],[]
14,OutputNode,3,"{'Intercept': 83.29904069203741, 'HiddenNode-0-1': 3.7468426494309224, 'HiddenNode-1-1': 3.744962240103141, 'HiddenNode-2-1': 3.7531954815657556, 'HiddenNode-3-1': 3.7543903814904267}",[],[],[],[]
