,nodeName,nodeLayer,weightMap,currentInputs,currentOutputs,actualValue,currentPartialError
0,MYCT,0,{},[],[0.1698389458272328],[],[]
1,MMIN,0,{},[],[0.02930861723446894],[],[]
2,MMAX,0,{},[],[0.1866866866866867],[],[]
3,CACH,0,{},[],[0.06338028169014084],[],[]
4,CHMIN,0,{},[],[0.057692307692307696],[],[]
5,CHMAX,0,{},[],[0.06818181818181818],[],[]
6,HiddenNode-0-0,1,"{'Intercept': 1.8506919538020798, 'MYCT': 0.10399300382396916, 'MMIN': 0.8136665776725859, 'MMAX': 1.0103619152759786, 'CACH': 0.934321669978164, 'CHMIN': 0.542492189065205, 'CHMAX': 0.35500165652757104}",[2.195542431867973],[0.10015149499106457],[],[]
7,HiddenNode-1-0,1,"{'Intercept': 1.8485166995585147, 'MYCT': 0.10488156074199516, 'MMIN': 0.8127420490687306, 'MMAX': 1.0134274179490503, 'CACH': 0.929664211188532, 'CHMIN': 0.5462150378519713, 'CHMAX': 0.3526007946969379}",[2.1938191746396],[0.10030690399878664],[],[]
8,HiddenNode-2-0,1,"{'Intercept': 1.8527872735688569, 'MYCT': 0.10295225662107514, 'MMIN': 0.8115483445967153, 'MMAX': 1.007240557277682, 'CACH': 0.9272980798476234, 'CHMIN': 0.5480877192495194, 'CHMAX': 0.34953168298727144}",[2.1963209029486],[0.1000813600985639],[],[]
9,HiddenNode-3-0,1,"{'Intercept': 1.8493467990935526, 'MYCT': 0.09789614183889286, 'MMIN': 0.8187391973205191, 'MMAX': 1.0109000533147163, 'CACH': 0.9279214708991143, 'CHMIN': 0.550573027807758, 'CHMAX': 0.3487001515921616}",[2.1930418349729814],[0.10037707714956111],[],[]
10,HiddenNode-0-1,2,"{'Intercept': 5.559367697338807, 'HiddenNode-0-0': 1.2269249921541334, 'HiddenNode-1-0': 1.2274348665246142, 'HiddenNode-2-0': 1.2232768972766968, 'HiddenNode-3-0': 1.2354672714113457}",[6.0518060701410095],[0.0023480809249452916],[],[]
11,HiddenNode-1-1,2,"{'Intercept': 5.558659751614374, 'HiddenNode-0-0': 1.2301781249063957, 'HiddenNode-1-0': 1.220606501203082, 'HiddenNode-2-0': 1.232300387107551, 'HiddenNode-3-0': 1.2337048663033006}",[6.051465176401952],[0.002348879627008433],[],[]
12,HiddenNode-2-1,2,"{'Intercept': 5.561172645492086, 'HiddenNode-0-0': 1.2301693179357478, 'HiddenNode-1-0': 1.2428203410317327, 'HiddenNode-2-0': 1.2381994259018994, 'HiddenNode-3-0': 1.2310924850346014}",[6.056533550377185],[0.0023370324972120243],[],[]
13,HiddenNode-3-1,2,"{'Intercept': 5.561477431547722, 'HiddenNode-0-0': 1.2427204729359158, 'HiddenNode-1-0': 1.2342665909605652, 'HiddenNode-2-0': 1.2371501298679728, 'HiddenNode-3-0': 1.235968525574128}",[6.057621780905933],[0.00233449658434305],[],[]
14,OutputNode,3,"{'Intercept': 83.4355970052301, 'HiddenNode-0-1': 3.747163294705111, 'HiddenNode-1-1': 3.7452829944451387, 'HiddenNode-2-1': 3.753514618107386, 'HiddenNode-3-1': 3.7547091717371455}",[83.47073030818598],[83.47073030818598],[72],[]
