,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,Class,estimatedOutput,lossValue
0,0.0997229916897507,0.012048192771084338,0.09284284284284285,1.9541984732824427,0.3076923076923077,0.7272727272727273,198,446.82283618682726,61912.80380805668
2,0.0110803324099723,0.4979919678714859,0.4994994994994995,0.24427480916030533,0.15384615384615385,0.18181818181818182,220,230.35966327173645,107.3226231037652
3,0.0110803324099723,0.4979919678714859,0.4994994994994995,0.24427480916030533,0.15384615384615385,0.18181818181818182,172,230.35966327173645,3405.8502971904645
9,0.00554016620498615,2.004016064257028,1.0,0.9770992366412213,0.6153846153846154,0.36363636363636365,1144,726.9611081648683,173921.4373030747
12,0.03970452446906741,0.1214859437751004,0.12412412412412413,0.4961832061068702,0.019230769230769232,0.045454545454545456,92,119.19243343421196,739.4284360740486
16,0.13850415512465375,0.02886546184738956,0.03028028028028028,0.061068702290076333,0.07692307692307693,0.08522727272727272,19,16.452519498188554,6.489656907109496
17,0.11634349030470914,0.028112449799196786,0.0772022022022022,0.0,0.1346153846153846,0.18181818181818182,28,30.84472265189133,8.092446966183648
21,0.11634349030470914,0.1905120481927711,0.09597097097097097,0.0,0.09615384615384616,0.11363636363636363,33,48.17063643715845,230.14820990843964
22,0.11634349030470914,0.14031124497991967,0.09597097097097097,0.0,0.11538461538461539,0.36363636363636365,61,72.75552506654832,138.1923695902458
25,0.27977839335180055,0.028112449799196786,0.03028028028028028,0.030534351145038167,0.019230769230769232,0.017045454545454544,69,-5.465133486799164,5545.056105206818
27,0.27977839335180055,0.012048192771084338,0.04592092092092092,0.030534351145038167,0.019230769230769232,0.017045454545454544,27,-4.800716199156033,1011.2855507792651
31,0.007386888273314866,0.07818775100401607,0.03997747747747748,1.0,0.23076923076923078,0.13636363636363635,368,207.20079217285343,25856.385237837876
33,0.030470914127423823,0.16039156626506024,0.1629129129129129,0.22900763358778625,0.23076923076923078,0.13636363636363635,63,109.45076404728326,2157.673480576383
35,0.04339796860572484,0.3247991967871486,0.32698323323323325,0.22900763358778625,0.23076923076923078,0.13636363636363635,208,165.57318975961653,1800.034227173508
37,0.030470914127423823,0.058734939759036146,0.06156156156156156,0.061068702290076333,0.019230769230769232,0.028409090909090908,29,20.6317559367979,70.02750870131716
43,0.030470914127423823,0.1214859437751004,0.24924924924924924,0.061068702290076333,0.057692307692307696,0.03409090909090909,60,69.46270200912504,89.54272931349904
46,0.7322253000923361,0.028112449799196786,0.007007007007007007,0.061068702290076333,0.019230769230769232,0.005681818181818182,18,-21.995703386337468,1599.6562893678863
47,0.7322253000923361,0.058734939759036146,0.0772022022022022,0.0,0.019230769230769232,0.005681818181818182,20,-14.261190576196531,1173.8291796984581
54,0.08587257617728532,0.058734939759036146,0.06156156156156156,0.12213740458015267,0.019230769230769232,0.011363636363636364,26,27.128597833809046,1.2737330704784708
57,0.7229916897506925,0.012048192771084338,0.12412412412412413,0.0,0.019230769230769232,0.022727272727272728,12,-9.604815817282962,466.76806649872003
58,0.7229916897506925,0.012048192771084338,0.12412412412412413,0.0,0.019230769230769232,0.022727272727272728,14,-9.604815817282962,557.1873297678519
59,0.7229916897506925,0.012048192771084338,0.12412412412412413,0.0,0.019230769230769232,0.022727272727272728,20,-9.604815817282962,876.4451195752474
64,0.05355493998153278,0.1214859437751004,0.24924924924924924,0.48854961832061067,0.019230769230769232,0.2159090909090909,144,163.00555494983502,361.2111189511983
65,0.05355493998153278,0.1214859437751004,0.24924924924924924,0.9770992366412213,0.019230769230769232,0.2159090909090909,259,247.4258594534585,133.9607293910963
67,0.08125577100646353,0.012048192771084338,0.03028028028028028,0.0,0.057692307692307696,0.056818181818181816,26,0.8337196102439854,633.3416686558181
70,0.05355493998153278,0.1214859437751004,0.12412412412412413,0.061068702290076333,0.057692307692307696,0.13636363636363635,62,56.882224821058614,26.191622782188535
74,0.2613111726685134,0.04417670682730924,0.04592092092092092,0.04580152671755725,0.11538461538461539,0.13636363636363635,44,23.27856377057539,429.37791941011085
75,0.2613111726685134,0.04417670682730924,0.1866866866866867,0.04580152671755725,0.11538461538461539,0.13636363636363635,50,50.80053537771812,0.6408568909782929
77,0.2613111726685134,0.020080321285140562,0.1866866866866867,0.04580152671755725,0.019230769230769232,0.13636363636363635,53,42.01028203625776,120.77390092259881
80,0.28901200369344415,0.058734939759036146,0.04592092092092092,0.0,0.038461538461538464,0.022727272727272728,16,-1.6989519304672882,313.25289943699175
81,0.2613111726685134,0.058734939759036146,0.06156156156156156,0.061068702290076333,0.057692307692307696,0.36363636363636365,38,56.22835342609092,332.27286862648054
84,0.28901200369344415,0.058734939759036146,0.06156156156156156,0.0,0.057692307692307696,0.03409090909090909,22,3.8092420769598547,330.90367381464785
86,0.11357340720221606,0.1214859437751004,0.06156156156156156,0.0,0.07692307692307693,0.045454545454545456,40,21.753850529236345,332.9219705094488
91,0.11357340720221606,0.1214859437751004,0.4994994994994995,0.24427480916030533,0.019230769230769232,0.3068181818181818,189,178.90305235170956,101.94835181231781
95,0.008310249307479225,1.0,0.4994994994994995,0.48854961832061067,0.3076923076923077,0.13636363636363635,465,350.14512794300606,13191.641635228447
97,0.008310249307479225,0.4979919678714859,0.4994994994994995,0.0,0.15384615384615385,0.13636363636363635,277,182.6056478564317,8910.29371660398
98,0.008310249307479225,0.4979919678714859,0.24924924924924924,0.0,0.15384615384615385,0.09090909090909091,185,128.03681688792045,3244.804230260305
104,0.5383194829178208,0.04417670682730924,0.03028028028028028,0.0,0.019230769230769232,0.005681818181818182,16,-18.813082901356175,1211.9507410966976
109,0.8153277931671283,0.058734939759036146,0.06156156156156156,0.030534351145038167,0.019230769230769232,0.011363636363636364,18,-14.248356645638262,1039.9565063442813
110,0.8153277931671283,0.058734939759036146,0.06156156156156156,0.061068702290076333,0.019230769230769232,0.011363636363636364,22,-8.972087614161794,959.2702111793144
111,0.8153277931671283,0.1214859437751004,0.06156156156156156,0.0,0.057692307692307696,0.03409090909090909,37,-5.274311205881338,1787.1173879317046
117,0.19205909510618652,0.058734939759036146,0.06156156156156156,0.015267175572519083,0.057692307692307696,0.03409090909090909,24,9.843016435010597,200.42018365938006
122,1.3693444136657433,0.04417670682730924,0.01463963963963964,0.0,0.0,0.0,12,-52.72165109087421,4188.89211992886
123,1.3693444136657433,0.04417670682730924,0.03028028028028028,0.0,0.0,0.0,18,-49.66365424563613,4578.370105872993
125,0.030470914127423823,0.1214859437751004,0.06156156156156156,0.0,0.057692307692307696,0.03409090909090909,27,22.21420180331514,22.903864379392044
126,0.030470914127423823,0.1214859437751004,0.12412412412412413,0.061068702290076333,0.057692307692307696,0.03409090909090909,45,44.9987272472204,1.6198996379765176e-06
128,0.030470914127423823,0.1214859437751004,0.24924924924924924,0.183206106870229,0.019230769230769232,0.03409090909090909,70,88.48782453300375,341.7996559631352
132,0.07663896583564174,0.058734939759036146,0.12412412412412413,0.183206106870229,0.038461538461538464,0.03409090909090909,26,54.09693507177528,789.4377604275556
134,0.030470914127423823,0.1214859437751004,0.24924924924924924,0.0916030534351145,0.057692307692307696,0.09090909090909091,45,81.7900728464789,1353.5094600492246
135,0.030470914127423823,0.1214859437751004,0.24924924924924924,0.183206106870229,0.11538461538461539,0.09090909090909091,54,100.73881034394907,2184.5163923676405
136,0.030470914127423823,0.1214859437751004,0.24924924924924924,0.183206106870229,0.11538461538461539,0.09090909090909091,65,100.73881034394907,1277.262564800761
138,0.0904893813481071,0.1214859437751004,0.12412412412412413,0.12213740458015267,0.019230769230769232,0.017045454545454544,50,49.253918406856165,0.5566377436280425
139,0.0904893813481071,0.1214859437751004,0.06156156156156156,0.015267175572519083,0.019230769230769232,0.028409090909090908,40,19.965209776911678,401.3928192831554
140,0.06925207756232687,0.1214859437751004,0.12412412412412413,0.24427480916030533,0.019230769230769232,0.03409090909090909,62,73.21813189712704,125.84648326133906
141,0.06925207756232687,0.1214859437751004,0.12412412412412413,0.24427480916030533,0.019230769230769232,0.03409090909090909,60,73.21813189712704,174.7190108498472
144,0.03970452446906741,0.2469879518072289,0.24924924924924924,0.24427480916030533,0.019230769230769232,0.03409090909090909,86,117.41680861897079,987.0158638010373
145,0.03970452446906741,0.1214859437751004,0.24924924924924924,0.48854961832061067,0.09615384615384616,0.045454545454545456,74,146.49724814230183,5255.850988206485
150,0.02123730378578024,0.4979919678714859,0.24924924924924924,0.24427480916030533,0.15384615384615385,0.09090909090909091,214,169.79421716075723,1954.1512364302907
