,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,Class,estimatedOutput,lossValue,testID,learningRate,numHiddenNodesPercentage
2,0.0110803324099723,0.4979919678714859,1.0,0.24427480916030533,0.3076923076923077,0.5,220,258.1386661880605,1454.557858604308,1,0.1,0.5
4,0.0110803324099723,0.4979919678714859,0.49899799599198397,0.24427480916030533,0.3076923076923077,0.25,132,194.08745614758172,3854.852210877883,1,0.1,0.5
7,0.00554016620498615,1.0,1.0,0.48854961832061067,0.6153846153846154,0.5,489,377.76027140989606,12374.277216799986,1,0.1,0.5
8,0.00554016620498615,1.0,2.002004008016032,0.48854961832061067,0.6153846153846154,0.5,636,493.46761653809153,20315.48033533252,1,0.1,0.5
9,0.00554016620498615,2.004016064257028,2.002004008016032,0.9770992366412213,1.2307692307692308,1.0,1144,744.9932187726913,159206.41146537737,1,0.1,0.5
10,0.3536472760849492,0.058734939759036146,0.09193386773547094,0.0,0.038461538461538464,0.03125,38,28.39721821417222,92.21341802622577,1,0.1,0.5
11,0.3536472760849492,0.028112449799196786,0.10759018036072145,0.030534351145038167,0.038461538461538464,0.09375,40,33.11411752635621,47.41537744083472,1,0.1,0.5
13,0.030470914127423823,0.2469879518072289,0.49899799599198397,0.4961832061068702,0.038461538461538464,0.125,138,188.17993312159456,2518.0256880877027,1,0.1,0.5
17,0.11634349030470914,0.028112449799196786,0.15455911823647295,0.0,0.2692307692307692,0.5,28,57.89047004872664,893.4401997338244,1,0.1,0.5
18,0.11634349030470914,0.058734939759036146,0.06062124248496994,0.0,0.19230769230769232,0.25,31,40.63494991903349,92.83225994228341,1,0.1,0.5
19,0.08587257617728532,0.3097389558232932,0.15455911823647295,1.083969465648855,0.3076923076923077,1.0,120,290.6368183502766,29116.92377670529,1,0.1,0.5
23,0.08587257617728532,0.1905120481927711,0.19213426853707416,0.0,0.23076923076923078,1.0,76,93.07354539554427,291.505952373711,1,0.1,0.5
24,0.27977839335180055,0.004016064257028112,0.18587174348697394,0.0,0.038461538461538464,0.1875,23,37.08233300220945,198.31210278511747,1,0.1,0.5
34,0.036011080332409975,0.3247991967871486,0.654621743486974,0.22900763358778625,0.46153846153846156,0.375,106,198.8597798700762,8622.938717519011,1,0.1,0.5
36,0.030470914127423823,0.027359437751004016,0.06062124248496994,0.061068702290076333,0.038461538461538464,0.0625,20,35.26672512032339,233.07289589951333,1,0.1,0.5
39,0.030470914127423823,0.058734939759036146,0.12324649298597194,0.061068702290076333,0.11538461538461539,0.078125,26,50.78620535075233,614.3559756896635,1,0.1,0.5
42,0.030470914127423823,0.1214859437751004,0.49899799599198397,0.061068702290076333,0.11538461538461539,0.09375,52,102.34721276903383,2534.841833610363,1,0.1,0.5
44,0.10710987996306556,0.058734939759036146,0.37374749498997994,0.06870229007633588,0.11538461538461539,0.1875,72,82.93454497039323,119.56427370955195,1,0.1,0.5
48,0.27977839335180055,0.028112449799196786,0.24849699398797595,0.030534351145038167,0.038461538461538464,0.078125,40,49.74933792162439,95.04958991002334,1,0.1,0.5
