,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,Class,estimatedOutput,lossValue,testID,learningRate,numHiddenNodesPercentage
165,0.019390581717451522,0.12324649298597194,0.12412412412412413,0.2,0.5,0.18181818181818182,51,99.01232951702056,2305.1837856509637,1,0.001,0.5
205,0.07479224376731301,0.02930861723446894,0.12412412412412413,0.2,0.0625,0.045454545454545456,46,80.0716334854297,1160.8762083654544,1,0.001,0.5
8,0.00554016620498615,0.49899799599198397,1.0,0.4,0.5,0.18181818181818182,636,154.50417811603066,231838.22649171916,1,0.001,0.5
170,0.16897506925207756,0.02930861723446894,0.03028028028028028,0.0,0.03125,0.011363636363636364,25,66.88115735817318,1754.0313416600638,1,0.001,0.5
197,0.030470914127423823,0.12324649298597194,0.4994994994994995,0.7,1.625,0.5909090909090909,397,176.39787050005663,48665.299539909785,1,0.001,0.5
55,0.08587257617728532,0.02930861723446894,0.1866866866866867,0.1,0.03125,0.011363636363636364,60,77.40213607011921,302.83433980294416,1,0.001,0.5
167,0.019390581717451522,0.24849699398797595,0.24924924924924924,0.4,0.125,0.045454545454545456,100,100.78201576294677,0.611548653497219,1,0.001,0.5
39,0.030470914127423823,0.02930861723446894,0.06156156156156156,0.05,0.09375,0.028409090909090908,26,72.55481016828625,2167.350349805169,1,0.001,0.5
94,0.03693444136657433,0.12324649298597194,0.3743743743743744,0.4,0.375,0.09090909090909091,237,111.19208846817779,15827.630603998805,1,0.001,0.5
44,0.10710987996306556,0.02930861723446894,0.1866866866866867,0.05625,0.09375,0.06818181818181818,72,78.9562766960156,48.389785471529805,1,0.001,0.5
102,1.0,0.014028056112224449,0.02245995995995996,0.0,0.03125,0.005681818181818182,7,64.49658140644571,3305.856873428039,1,0.001,0.5
26,0.27977839335180055,0.006012024048096192,0.09284284284284285,0.0,0.03125,0.03409090909090909,33,69.25648117674989,1314.5324273200188,1,0.001,0.5
200,0.1505078485687904,0.0061998997995991985,0.06156156156156156,0.0,0.03125,0.017045454545454544,12,67.75199845128031,3108.2853313115625,1,0.001,0.5
207,0.4275161588180979,0.014028056112224449,0.12412412412412413,0.2,0.0,0.0,67,76.09659281475359,82.74800083742667,1,0.001,0.5
193,0.09141274238227147,0.06062124248496994,0.12412412412412413,0.2,0.15625,0.1590909090909091,70,86.33528781423541,266.84162797390803,1,0.001,0.5
151,0.02123730378578024,0.24849699398797595,0.4994994994994995,0.4,0.25,0.13636363636363635,277,117.40477744311823,25470.635062980622,1,0.001,0.5
83,0.28901200369344415,0.02930861723446894,0.03028028028028028,0.0,0.03125,0.011363636363636364,16,66.66568179825911,2567.011312082445,1,0.001,0.5
1,0.0110803324099723,0.24849699398797595,0.4994994994994995,0.2,0.25,0.18181818181818182,269,111.21640820448474,24895.66183989379,1,0.001,0.5
110,0.8153277931671283,0.02930861723446894,0.06156156156156156,0.05,0.03125,0.011363636363636364,22,68.8833756121204,2198.050908787166,1,0.001,0.5
25,0.27977839335180055,0.014028056112224449,0.03028028028028028,0.025,0.03125,0.017045454545454544,69,67.29529922832485,2.90600472094985,1,0.001,0.5
108,0.8153277931671283,0.014028056112224449,0.01463963963963964,0.0,0.03125,0.011363636363636364,11,64.62177748239144,2875.295020371101,1,0.001,0.5
63,0.05355493998153278,0.06062124248496994,0.12412412412412413,0.4,0.03125,0.2159090909090909,144,91.22714220855312,2784.974519476276,1,0.001,0.5
107,0.8153277931671283,0.02930861723446894,0.01463963963963964,0.0,0.03125,0.011363636363636364,11,65.0464275454888,2921.0163304297703,1,0.001,0.5
99,0.4275161588180979,0.001002004008016032,0.007007007007007007,0.0,0.03125,0.005681818181818182,6,64.49585422551638,3421.764961572863,1,0.001,0.5
196,0.030470914127423823,0.06062124248496994,0.4994994994994995,0.7,1.625,0.5909090909090909,307,174.65750138900188,17514.53693860204,1,0.001,0.5
