,PRP
0,198
1,269
2,220
3,172
4,132
5,318
6,367
7,489
8,636
9,1144
10,38
11,40
12,92
13,138
14,10
15,35
16,19
17,28
18,31
19,120
20,30
21,33
22,61
23,76
24,23
25,69
26,33
27,27
28,77
29,27
30,274
31,368
32,32
33,63
34,106
35,208
36,20
37,29
38,71
39,26
40,36
41,40
42,52
43,60
44,72
45,72
46,18
47,20
48,40
49,62
50,24
51,24
52,138
53,36
54,26
55,60
56,71
57,12
58,14
59,20
60,16
61,22
62,36
63,144
64,144
65,259
66,17
67,26
68,32
69,32
70,62
71,64
72,22
73,36
74,44
75,50
76,45
77,53
78,36
79,84
80,16
81,38
82,38
83,16
84,22
85,29
86,40
87,35
88,134
89,66
90,141
91,189
92,22
93,132
94,237
95,465
96,465
97,277
98,185
99,6
100,24
101,45
102,7
103,13
104,16
105,32
106,32
107,11
108,11
109,18
110,22
111,37
112,40
113,34
114,50
115,76
116,66
117,24
118,49
119,66
120,100
121,133
122,12
123,18
124,20
125,27
126,45
127,56
128,70
129,80
130,136
131,16
132,26
133,32
134,45
135,54
136,65
137,30
138,50
139,40
140,62
141,60
142,50
143,66
144,86
145,74
146,93
147,111
148,143
149,105
150,214
151,277
152,370
153,510
154,214
155,326
156,510
157,8
158,12
159,17
160,21
161,24
162,34
163,42
164,46
165,51
166,116
167,100
168,140
169,212
170,25
171,30
172,41
173,25
174,50
175,50
176,30
177,32
178,38
179,60
180,109
181,6
182,11
183,22
184,33
185,58
186,130
187,75
188,113
189,188
190,173
191,248
192,405
193,70
194,114
195,208
196,307
197,397
198,915
199,1150
200,12
201,14
202,18
203,21
204,42
205,46
206,52
207,67
208,45
