,handicapped-infants_abstain,handicapped-infants_no,handicapped-infants_yes,water-project-cost-sharing_abstain,water-project-cost-sharing_no,water-project-cost-sharing_yes,adoption-of-the-budget-resolution_abstain,adoption-of-the-budget-resolution_no,adoption-of-the-budget-resolution_yes,physician-fee-freeze_abstain,physician-fee-freeze_no,physician-fee-freeze_yes,el-salvador-aid_abstain,el-salvador-aid_no,el-salvador-aid_yes,religious-groups-in-schools_abstain,religious-groups-in-schools_no,religious-groups-in-schools_yes,anti-satellite-test-ban_abstain,anti-satellite-test-ban_no,anti-satellite-test-ban_yes,aid-to-nicaraguan-contras_abstain,aid-to-nicaraguan-contras_no,aid-to-nicaraguan-contras_yes,mx-missile_abstain,mx-missile_no,mx-missile_yes,immigration_abstain,immigration_no,immigration_yes,synfuels-corporation-cutback_abstain,synfuels-corporation-cutback_no,synfuels-corporation-cutback_yes,education-spending_abstain,education-spending_no,education-spending_yes,superfund-right-to-sue_abstain,superfund-right-to-sue_no,superfund-right-to-sue_yes,crime_abstain,crime_no,crime_yes,duty-free-exports_abstain,duty-free-exports_no,duty-free-exports_yes,export-administration-act-south-africa_abstain,export-administration-act-south-africa_no,export-administration-act-south-africa_yes,Class,estimatedOutput,lossValue,testID,learningRate,numHiddenNodesPercentage
10,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,republican,republican,0.020274224424212315,1,0.1,0.5
14,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,republican,republican,0.01262465094448274,1,0.1,0.5
15,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,republican,republican,0.008167741528124472,1,0.1,0.5
18,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,republican,republican,0.01157319380091862,1,0.1,0.5
28,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,republican,republican,0.00977013933776195,1,0.1,0.5
30,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,republican,republican,0.014739763244100486,1,0.1,0.5
56,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,republican,republican,0.013168523229197747,1,0.1,0.5
67,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,republican,republican,0.008870713542475097,1,0.1,0.5
83,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,republican,republican,0.012065658373098772,1,0.1,0.5
89,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,republican,republican,0.007965106056139221,1,0.1,0.5
99,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,republican,republican,0.009505331168594094,1,0.1,0.5
106,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,republican,republican,0.010735162204720605,1,0.1,0.5
107,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,republican,republican,0.11655146097325587,1,0.1,0.5
111,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,republican,republican,0.007925741975384157,1,0.1,0.5
113,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,republican,republican,0.008460503718581782,1,0.1,0.5
119,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,republican,republican,0.012065658373098772,1,0.1,0.5
120,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,republican,republican,0.008985452057717199,1,0.1,0.5
