,nodeName,nodeLayer,weightMap,currentInputs,currentOutputs,actualValue,currentPartialError,testID
0,X,0,{},[],"[7, 7, 3, 7, 9, 2, 7, 6, 8, 3, 3, 8, 4, 4, 4, 2, 2, 4, 2, 6, 7, 2, 5, 6, 6, 3, 7, 3, 8, 6, 6, 2, 2, 4, 5, 3, 3, 7, 2, 7, 6, 4, 4, 6, 3, 4, 2, 2, 9, 7, 3, 5, 4, 7, 1, 6, 8, 7, 7, 2, 6, 6, 2, 3, 8, 1, 8, 4, 8, 7, 5, 6, 6, 4, 4, 3, 7, 2, 6, 3, 3, 4, 3, 6, 1, 7, 6, 7, 4, 8, 9, 9, 8, 7, 4, 4, 1, 2, 7, 3, 7, 8, 6]",[],[],1
1,Y,0,{},[],"[4, 4, 4, 4, 4, 4, 4, 3, 5, 6, 4, 6, 5, 3, 3, 2, 5, 4, 2, 6, 5, 4, 4, 5, 5, 5, 4, 4, 6, 4, 4, 2, 2, 4, 5, 4, 6, 4, 4, 5, 5, 4, 4, 3, 4, 5, 2, 4, 9, 4, 5, 4, 4, 5, 4, 5, 6, 4, 4, 2, 4, 5, 5, 4, 5, 2, 6, 5, 6, 4, 6, 5, 5, 5, 3, 6, 6, 4, 3, 6, 4, 5, 4, 5, 2, 4, 5, 4, 4, 6, 5, 4, 6, 4, 6, 5, 3, 5, 4, 4, 5, 6, 5]",[],[],1
2,FFMC,0,{},[],"[0.8126614987080103, 0.9418604651162791, 0.9276485788113695, 0.9664082687338502, 0.9418604651162791, 0.9677002583979328, 0.9328165374677004, 0.9521963824289407, 0.9173126614987082, 0.9354005167958657, 0.9056847545219638, 0.9121447028423773, 1.0012919896640828, 0.9483204134366925, 0.9160206718346253, 0.8992248062015504, 0.9418604651162791, 0.9547803617571059, 0.9431524547803619, 1.0012919896640828, 0.8165374677002585, 0.9857881136950906, 0.9689922480620156, 0.9366925064599484, 0.9521963824289407, 0.930232558139535, 0.9444444444444444, 0.9392764857881138, 0.9392764857881138, 0.9263565891472869, 0.9883720930232559, 0.9418604651162791, 0.9354005167958657, 0.8617571059431526, 0.9728682170542636, 0.8488372093023258, 0.9328165374677004, 0.9521963824289407, 0.934108527131783, 0.9431524547803619, 0.9224806201550387, 0.9534883720930233, 0.830749354005168, 0.9418604651162791, 0.9444444444444444, 0.9586563307493542, 0.9664082687338502, 0.9418604651162791, 0.8669250645994833, 0.9418604651162791, 0.9392764857881138, 0.9250645994832042, 0.9870801033591732, 0.8720930232558141, 0.9160206718346253, 0.896640826873385, 0.9689922480620156, 0.9224806201550387, 0.9457364341085273, 0.9121447028423773, 0.9315245478036176, 0.7286821705426356, 0.971576227390181, 0.9431524547803619, 0.9612403100775194, 0.9392764857881138, 0.9883720930232559, 0.9534883720930233, 0.9392764857881138, 0.9405684754521965, 0.9289405684754521, 0.9883720930232559, 0.8449612403100775, 0.9354005167958657, 0.9250645994832042, 0.9521963824289407, 0.9612403100775194, 0.9651162790697676, 0.9289405684754521, 0.9354005167958657, 0.9599483204134368, 0.9586563307493542, 0.9483204134366925, 0.9366925064599484, 0.9431524547803619, 0.9767441860465117, 0.9573643410852714, 0.9832041343669251, 0.9328165374677004, 0.9883720930232559, 0.9638242894056848, 0.9509043927648579, 0.9483204134366925, 0.9224806201550387, 0.8488372093023258, 0.9883720930232559, 0.9521963824289407, 0.888888888888889, 0.930232558139535, 0.9638242894056848, 0.9689922480620156, 0.9405684754521965, 1.0]",[],[],1
3,DMC,0,{},[],"[0.19159200551343902, 0.35527222605099934, 0.32942798070296353, 0.4765678842177809, 0.35527222605099934, 0.33356305995864927, 0.43211578221915925, 0.36078566505858034, 0.30634045485871814, 0.32046864231564437, 0.503790489317712, 0.1729841488628532, 0.6009648518263268, 0.3793935217091661, 0.0837353549276361, 0.5141281874569263, 0.35527222605099934, 0.39386629910406623, 0.39007580978635426, 0.6009648518263268, 0.006547208821502412, 0.46312887663680224, 0.3452791178497588, 0.16264645072363887, 0.4024810475534115, 0.4679531357684356, 0.5995864920744315, 0.4869055823569952, 0.4869055823569952, 0.3046175051688491, 0.4500344589937974, 0.852170916609235, 0.35182632667126124, 0.0837353549276361, 0.16126809097174363, 0.24913852515506552, 0.43211578221915925, 0.36078566505858034, 0.571330117160579, 0.1633356305995865, 0.1330117160578911, 0.2994486560992419, 0.07649896623018608, 0.36974500344589945, 0.26671261199172985, 0.45554789800137846, 0.4765678842177809, 0.6209510682288079, 0.16264645072363887, 0.36974500344589945, 0.1268090971743625, 0.9955203308063404, 0.48311509303928335, 0.0864920744314266, 0.28600964851826327, 0.17987594762232942, 0.7925568573397657, 0.2818745692625776, 0.3725017229496899, 0.1729841488628532, 0.14059269469331495, 0.01137146795313577, 0.4638180565127498, 0.11957270847691247, 0.5382494831150931, 0.4869055823569952, 0.746381805651275, 0.4135079255685734, 0.1268090971743625, 0.8170227429359063, 0.16884906960716747, 0.4500344589937974, 0.01206064782908339, 0.4521019986216403, 0.27429359062715375, 0.4238456237077877, 0.6178497587870435, 0.047898001378359756, 0.16884906960716747, 0.32046864231564437, 0.2556857339765679, 0.46829772570640943, 0.5220537560303239, 0.321157822191592, 0.39007580978635426, 0.2894555478980014, 0.4062715368711234, 0.7784286698828394, 0.43211578221915925, 0.4500344589937974, 0.1667815299793246, 0.31357684355616816, 0.7095106822880772, 0.1330117160578911, 0.08993797381116471, 0.746381805651275, 0.4238456237077877, 0.2615437629221227, 0.147829083390765, 0.4827705031013094, 0.7925568573397657, 0.4445210199862164, 0.6202618883528601]",[],[],1
4,DC,0,{},[],"[0.7693126700579676, 0.543712291494144, 0.8697503844788832, 0.6848456169407312, 0.543712291494144, 0.6230923932331717, 0.7940376197799598, 0.8787412752868804, 0.8152135336566899, 0.2564769904176032, 0.7088607594936709, 0.102803738317757, 0.764817224653969, 0.7557080326511298, 0.06908789778776765, 0.34851532000473195, 0.543712291494144, 0.9012185023068733, 0.7642257186797586, 0.764817224653969, -0.008754288418313026, 0.6873299420324145, 0.5246657991245711, 0.09759848574470602, 0.7721518987341772, 0.9552821483496983, 0.8108363894475334, 0.69336330296936, 0.69336330296936, 0.32591979178989705, 0.6666272329350525, 0.8736543239086714, 0.7376079498402933, 0.395599195551875, 0.10102922039512599, 0.7767656453330178, 0.7940376197799598, 0.8787412752868804, 0.8722347095705667, 0.8053945344847984, 0.08434875192239441, 0.80835206435585, 0.08281083638944753, 0.8857210457825624, 0.8387554714302614, 0.8095350763042707, 0.6848456169407312, 0.7070862415710398, 0.35265586182420433, 0.8857210457825624, 0.7790133680350171, 0.9937300366733703, 0.6985685555424109, 0.09345794392523364, 0.8269253519460545, 0.8418313024961551, 0.8278717615047912, 0.8522418076422572, 0.6508931740210576, 0.102803738317757, 0.08766118537797232, 0.0010647107535786094, 0.675973027327576, 0.07748728262155447, 0.7706139832012304, 0.69336330296936, 0.7981781615994321, 0.7797231752040695, 0.7790133680350171, 0.8462084467053117, 0.1006743168105998, 0.6666272329350525, 0.03714657518040932, 0.942623920501597, 0.8457352419259435, 0.7871761504791199, 0.4915414645687921, 0.012185023068732995, 0.1006743168105998, 0.2564769904176032, 0.5338932923222525, 0.8175795575535313, 0.7605583816396546, 0.8625340115935171, 0.7642257186797586, 0.8008990890807997, 0.9087897787767656, 0.8179344611380576, 0.7940376197799598, 0.6666272329350525, 0.33408257423399973, 0.5049094995859458, 0.7775937536969123, 0.08434875192239441, 0.4000946409558736, 0.7981781615994321, 0.7871761504791199, 0.8038566189518513, 0.09121022122323436, 0.8264521471666864, 0.8278717615047912, 0.9367088607594937, 0.7759375369691235]",[],[],1
5,ISI,0,{},[],"[0.08370044052863436, 0.39647577092511016, 0.5022026431718062, 0.894273127753304, 0.39647577092511016, 0.6343612334801763, 0.30837004405286345, 0.43612334801762115, 0.21145374449339208, 0.31277533039647576, 0.39647577092511016, 0.42290748898678415, 0.7400881057268723, 0.42290748898678415, 0.2511013215859031, 0.29955947136563876, 0.39647577092511016, 0.38766519823788553, 0.2775330396475771, 0.7400881057268723, 0.15418502202643172, 0.9383259911894274, 0.5242290748898679, 0.5506607929515419, 0.5374449339207048, 0.29955947136563876, 0.6079295154185023, 0.4669603524229075, 0.4669603524229075, 0.28193832599118945, 0.4581497797356828, 0.2775330396475771, 0.2555066079295154, 0.1145374449339207, 0.4713656387665198, 0.14096916299559473, 0.30837004405286345, 0.43612334801762115, 0.31277533039647576, 0.4889867841409692, 0.27312775330396477, 0.31277533039647576, 0.1013215859030837, 0.27312775330396477, 0.4052863436123348, 0.4052863436123348, 0.894273127753304, 0.33480176211453744, 0.17180616740088106, 0.27312775330396477, 0.2290748898678414, 0.3259911894273128, 0.7797356828193832, 0.22466960352422907, 0.2511013215859031, 0.2378854625550661, 0.37004405286343617, 0.27312775330396477, 0.3524229074889868, 0.42290748898678415, 0.3480176211453745, 0.08370044052863436, 0.6651982378854625, 0.3436123348017621, 0.5947136563876653, 0.4669603524229075, 0.7929515418502203, 0.3788546255506608, 0.2290748898678414, 0.3303964757709251, 0.3436123348017621, 0.4581497797356828, 0.09691629955947138, 0.5506607929515419, 0.2775330396475771, 0.3744493392070485, 0.4845814977973568, 0.5022026431718062, 0.3436123348017621, 0.31277533039647576, 0.3392070484581498, 0.4052863436123348, 0.6299559471365639, 0.37004405286343617, 0.2775330396475771, 0.7004405286343612, 0.3303964757709251, 0.5286343612334802, 0.30837004405286345, 0.4581497797356828, 0.6167400881057269, 0.43171806167400884, 0.36123348017621143, 0.27312775330396477, 0.29955947136563876, 0.7929515418502203, 0.3744493392070485, 0.22026431718061676, 0.2422907488986784, 0.6123348017621145, 0.37004405286343617, 0.3303964757709251, 0.6299559471365639]",[],[],1
6,temp,0,{},[],"[0.5971223021582734, 0.6294964028776979, 0.5755395683453238, 0.01798561151079137, 0.7446043165467627, 0.8525179856115109, 0.5323741007194245, 0.7266187050359714, 0.4748201438848922, 0.525179856115108, 0.3525179856115109, 0.2482014388489209, 1.0071942446043167, 0.5683453237410072, 0.4820143884892087, 0.3165467625899281, 0.5071942446043166, 0.5431654676258993, 0.5035971223021584, 0.6942446043165468, 0.3165467625899281, 0.9352517985611511, 0.5287769784172662, 0.3597122302158274, 0.5395683453237411, 0.2985611510791367, 0.6223021582733813, 0.5467625899280576, 0.5395683453237411, 0.34892086330935257, 0.564748201438849, 0.5683453237410072, 0.6654676258992807, 0.0, 0.4568345323741008, 0.4784172661870504, 0.3956834532374101, 0.7446043165467627, 0.7661870503597122, 0.41366906474820153, 0.381294964028777, 0.5395683453237411, 0.4352517985611511, 0.6618705035971223, 0.5143884892086331, 0.70863309352518, 0.658273381294964, 0.5863309352517985, 0.4820143884892087, 0.5287769784172662, 0.406474820143885, 0.4172661870503597, 0.5323741007194245, 0.12949640287769784, 0.5179856115107915, 0.3273381294964029, 0.802158273381295, 0.3884892086330936, 0.6043165467625898, 0.2482014388489209, 0.31294964028776984, 0.0, 0.6798561151079137, 0.2517985611510792, 0.697841726618705, 0.5359712230215828, 0.8489208633093527, 0.4712230215827338, 0.5611510791366907, 0.4712230215827338, 0.37769784172661874, 0.8201438848920863, 0.025179856115107924, 0.406474820143885, 0.4748201438848922, 0.45323741007194246, 0.802158273381295, 0.381294964028777, 0.381294964028777, 0.525179856115108, 0.5395683453237411, 0.6079136690647482, 0.5899280575539568, 0.43884892086330946, 0.5611510791366907, 0.5575539568345325, 0.6115107913669066, 0.6726618705035973, 0.4712230215827338, 0.5791366906474821, 0.841726618705036, 0.6546762589928059, 0.5935251798561152, 0.41366906474820153, 0.007194244604316554, 0.6762589928057554, 0.6942446043165468, 0.6366906474820145, 0.2482014388489209, 0.5035971223021584, 0.7841726618705036, 0.406474820143885, 1.0323741007194245]",[],[],1
7,RH,0,{},[],"[0.6296296296296297, 0.37037037037037035, 0.4444444444444444, 0.9506172839506173, 0.24691358024691357, 0.16049382716049382, 0.35802469135802467, 0.1111111111111111, 0.5925925925925926, 0.2345679012345679, 0.5802469135802469, 0.24691358024691357, 0.08641975308641975, 0.2839506172839506, 0.25925925925925924, 0.7407407407407407, 0.41975308641975306, 0.2716049382716049, 0.30864197530864196, 0.2839506172839506, 0.691358024691358, 0.1111111111111111, 0.24691358024691357, 0.08641975308641975, 0.1728395061728395, 0.24691358024691357, 0.6666666666666666, 0.24691358024691357, 0.2716049382716049, 0.3333333333333333, 0.2716049382716049, 0.4567901234567901, 0.14814814814814814, 0.024691358024691357, 0.7530864197530864, 0.32098765432098764, 0.5802469135802469, 0.09876543209876543, 0.2716049382716049, 0.30864197530864196, 0.09876543209876543, 0.35802469135802467, 0.012345679012345678, 0.18518518518518517, 0.19753086419753085, 0.07407407407407407, 0.14814814814814814, 0.38271604938271603, 0.2839506172839506, 0.30864197530864196, 0.3333333333333333, 0.48148148148148145, 0.6419753086419753, 0.3950617283950617, 0.4074074074074074, 0.4567901234567901, 0.14814814814814814, 0.4691358024691358, 0.2345679012345679, 0.24691358024691357, 0.2839506172839506, 0.7777777777777778, 0.20987654320987653, 0.13580246913580246, 0.20987654320987653, 0.24691358024691357, 0.12345679012345678, 0.07407407407407407, 0.2222222222222222, 0.5679012345679012, 0.5555555555555556, 0.037037037037037035, 0.6049382716049383, 0.2345679012345679, 0.5432098765432098, 0.48148148148148145, 0.1111111111111111, 0.0, 0.14814814814814814, 0.2345679012345679, 0.20987654320987653, -0.04938271604938271, 0.16049382716049382, 0.345679012345679, 0.32098765432098764, 0.345679012345679, 0.09876543209876543, 0.18518518518518517, 0.24691358024691357, 0.32098765432098764, 0.18518518518518517, 0.09876543209876543, 0.43209876543209874, 0.12345679012345678, 0.4691358024691358, 0.37037037037037035, 0.16049382716049382, 0.3333333333333333, 0.5061728395061729, 0.37037037037037035, 0.1728395061728395, 0.3950617283950617, 0.08641975308641975]",[],[],1
8,wind,0,{},[],"[0.6823529411764706, 0.21176470588235297, 0.5294117647058824, 0.5764705882352941, 0.0, 0.3647058823529412, 0.047058823529411764, 0.10588235294117647, 0.15294117647058827, 0.4235294117647059, 0.5294117647058824, 0.5764705882352941, 0.25882352941176473, 0.47058823529411764, 0.3647058823529412, 0.31764705882352945, 0.10588235294117647, 0.10588235294117647, 0.4235294117647059, 0.15294117647058827, 0.10588235294117647, 0.31764705882352945, 0.7411764705882353, 1.0, 0.6352941176470588, 0.21176470588235297, 0.7882352941176469, 0.5294117647058824, 0.5764705882352941, 0.10588235294117647, 0.3647058823529412, 0.15294117647058827, 0.25882352941176473, 0.8941176470588235, 0.4235294117647059, 0.25882352941176473, 0.25882352941176473, 0.21176470588235297, 0.31764705882352945, 0.3647058823529412, 0.25882352941176473, 0.21176470588235297, 0.25882352941176473, 0.15294117647058827, 0.21176470588235297, 0.3647058823529412, 0.7411764705882353, 0.15294117647058827, 0.21176470588235297, 0.15294117647058827, 0.31764705882352945, 0.31764705882352945, 0.7882352941176469, 0.6823529411764706, 0.15294117647058827, 0.10588235294117647, 0.31764705882352945, 0.4235294117647059, 0.21176470588235297, 0.5764705882352941, 0.0, 0.6352941176470588, 0.5294117647058824, 0.6352941176470588, 0.25882352941176473, 0.6352941176470588, 0.10588235294117647, 0.25882352941176473, 0.21176470588235297, 0.3647058823529412, 0.3647058823529412, 0.3647058823529412, 0.10588235294117647, 0.5294117647058824, 0.47058823529411764, 0.047058823529411764, 0.5294117647058824, 0.7882352941176469, 0.8941176470588235, 0.4235294117647059, 0.25882352941176473, 0.0, 0.25882352941176473, 0.47058823529411764, 0.31764705882352945, 0.47058823529411764, 0.15294117647058827, 0.25882352941176473, 0.15294117647058827, 0.15294117647058827, 0.4235294117647059, 0.4235294117647059, 0.15294117647058827, 0.25882352941176473, 0.8941176470588235, 0.5294117647058824, 0.6823529411764706, 0.3647058823529412, 0.3647058823529412, 0.31764705882352945, 0.31764705882352945, 0.4235294117647059, 0.21176470588235297]",[],[],1
9,rain,0,{},[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],1
