,X,Y,FFMC,DMC,DC,ISI,temp,RH,wind,rain,apr,aug,dec,feb,jan,jul,jun,mar,may,nov,oct,sep,fri,mon,sat,sun,thu,tue,wed,Class,estimatedOutput,lossValue,testID
1,7,4,0.9289405684754521,0.11819434872501722,0.77345321187744,0.29515418502202645,0.4820143884892087,0.1728395061728395,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0,0.5127120628366775,0.22308332799954544,Test1
6,8,6,0.9509043927648579,0.30254996554100627,0.5682006388264521,0.3744493392070485,0.7014388489208634,0.09876543209876543,0.25882352941176473,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.5127120628366775,0.4466391223578774,Test1
9,7,5,0.9534883720930233,0.2994486560992419,0.80835206435585,0.31277533039647576,0.6546762589928059,0.25925925925925924,0.3647058823529412,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0,0.5127120628366775,0.22163888482788519,Test1
11,7,5,0.9573643410852714,0.24844934527911788,0.8253874364131077,0.9955947136563877,0.5287769784172662,0.2345679012345679,0.3647058823529412,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0,0.5127120628366775,0.23147956033667386,Test1
12,6,5,0.578811369509044,0.2401791867677464,0.7689577664734413,0.03524229074889868,0.44604316546762596,0.654320987654321,0.6823529411764706,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.5127120628366775,0.11285973221058992,Test1
14,6,5,0.9586563307493542,0.45554789800137846,0.8095350763042707,0.4052863436123348,0.7841726618705036,0.024691358024691357,0.4235294117647059,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,0.5127120628366775,0.1111743798476133,Test1
15,6,5,0.9638242894056848,0.4827705031013094,0.8264521471666864,0.6123348017621145,0.658273381294964,0.30864197530864196,0.5294117647058824,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.0,0.5127120628366775,0.12087531492953953,Test1
16,5,5,0.9431524547803619,0.11957270847691247,0.07748728262155447,0.3436123348017621,0.37769784172661874,0.09876543209876543,0.5294117647058824,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0,0.5127120628366775,0.08672694999175373,Test1
17,8,5,0.8552971576227392,0.10923501033769813,0.7676564533301787,0.13215859030837004,0.4352517985611511,0.345679012345679,0.47058823529411764,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.5127120628366775,0.40981162846322994,Test1
18,6,4,0.9108527131782946,0.09235010337698138,0.06565716313734768,0.2775330396475771,0.406474820143885,0.19753086419753085,0.3647058823529412,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.5127120628366775,0.10479471350963931,Test1
