,X,Y,FFMC,DMC,DC,ISI,temp,RH,wind,rain,apr,aug,dec,feb,jan,jul,jun,mar,may,nov,oct,sep,fri,mon,sat,sun,thu,tue,wed,Class,estimatedOutput,lossValue,testID,learningRate,numHiddenNodesPercentage
1,7,4,0.9289405684754521,0.11819434872501722,0.77345321187744,0.29515418502202645,0.4820143884892087,0.1728395061728395,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0,1.312072909973467,1.7215353210862414,Test1,0.1,
6,8,6,0.9509043927648579,0.30254996554100627,0.5682006388264521,0.3744493392070485,0.7014388489208634,0.09876543209876543,0.25882352941176473,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,1.312072909973467,1.7215353210862414,Test1,0.1,
9,7,5,0.9534883720930233,0.2994486560992419,0.80835206435585,0.31277533039647576,0.6546762589928059,0.25925925925925924,0.3647058823529412,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0,1.312072909973467,1.7215353210862414,Test1,0.1,
11,7,5,0.9573643410852714,0.24844934527911788,0.8253874364131077,0.9955947136563877,0.5287769784172662,0.2345679012345679,0.3647058823529412,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0,1.312072909973467,1.7215353210862414,Test1,0.1,
12,6,5,0.578811369509044,0.2401791867677464,0.7689577664734413,0.03524229074889868,0.44604316546762596,0.654320987654321,0.6823529411764706,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1.312072909973467,1.7215353210862414,Test1,0.1,
14,6,5,0.9586563307493542,0.45554789800137846,0.8095350763042707,0.4052863436123348,0.7841726618705036,0.024691358024691357,0.4235294117647059,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,1.312072909973467,1.7215353210862414,Test1,0.1,
15,6,5,0.9638242894056848,0.4827705031013094,0.8264521471666864,0.6123348017621145,0.658273381294964,0.30864197530864196,0.5294117647058824,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.0,1.312072909973467,1.7215353210862414,Test1,0.1,
16,5,5,0.9431524547803619,0.11957270847691247,0.07748728262155447,0.3436123348017621,0.37769784172661874,0.09876543209876543,0.5294117647058824,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0,1.312072909973467,1.7215353210862414,Test1,0.1,
17,8,5,0.8552971576227392,0.10923501033769813,0.7676564533301787,0.13215859030837004,0.4352517985611511,0.345679012345679,0.47058823529411764,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,1.312072909973467,1.7215353210862414,Test1,0.1,
18,6,4,0.9108527131782946,0.09235010337698138,0.06565716313734768,0.2775330396475771,0.406474820143885,0.19753086419753085,0.3647058823529412,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,1.312072909973467,1.7215353210862414,Test1,0.1,
22,7,4,0.9767441860465117,0.32804962095106827,0.21850230687329938,2.47136563876652,0.5899280575539568,0.30864197530864196,0.4235294117647059,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1.312072909973467,1.7215353210862414,Test1,0.1,
24,7,4,0.9664082687338502,0.4765678842177809,0.6848456169407312,0.894273127753304,0.6870503597122304,0.16049382716049382,0.5764705882352941,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,1.312072909973467,1.7215353210862414,Test1,0.1,
28,6,3,0.9651162790697676,0.4972432804962096,0.8353247367798414,0.3568281938325991,0.9208633093525181,0.06172839506172839,0.21176470588235297,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0,1.312072909973467,1.7215353210862414,Test1,0.1,
29,6,3,0.9664082687338502,0.5106822880771882,0.8438424228084703,0.3568281938325991,0.6546762589928059,0.24691358024691357,0.31764705882352945,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,1.312072909973467,1.7215353210862414,Test1,0.1,
33,6,3,0.9431524547803619,0.2567195037904893,0.8316573997397373,0.3436123348017621,0.4712230215827338,0.24691358024691357,0.31764705882352945,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,1.312072909973467,1.7215353210862414,Test1,0.1,
34,6,3,0.9444444444444444,0.26671261199172985,0.8387554714302614,0.4052863436123348,0.5971223021582734,0.16049382716049382,0.21176470588235297,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,1.312072909973467,1.7215353210862414,Test1,0.1,
35,6,3,0.9250645994832042,0.27429359062715375,0.8457352419259435,0.2775330396475771,0.4892086330935252,0.5308641975308642,0.4235294117647059,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0,1.312072909973467,1.7215353210862414,Test1,0.1,
38,7,3,0.9289405684754521,0.14679531357684356,0.794510824559328,0.29515418502202645,0.4748201438848922,0.09876543209876543,0.3647058823529412,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0,1.312072909973467,1.7215353210862414,Test1,0.1,
39,4,4,0.896640826873385,0.08476912474155754,0.061871524902401505,0.16740088105726872,0.341726618705036,0.2962962962962963,0.21176470588235297,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,1.312072909973467,1.7215353210862414,Test1,0.1,
41,4,4,0.9237726098191216,0.33011716057891116,0.7203359753933515,0.39207048458149785,0.49640287769784175,0.2839506172839506,0.6823529411764706,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,1.312072909973467,1.7215353210862414,Test1,0.1,
45,5,6,0.9767441860465117,0.2894555478980014,0.8008990890807997,0.7004405286343612,0.7661870503597122,0.06172839506172839,0.3647058823529412,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,1.312072909973467,1.7215353210862414,Test1,0.1,
50,4,4,0.9586563307493542,0.46829772570640943,0.8175795575535313,0.4052863436123348,0.5827338129496404,-0.024691358024691357,0.047058823529411764,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0,1.312072909973467,1.7215353210862414,Test1,0.1,
53,4,3,0.9483204134366925,0.3793935217091661,0.7557080326511298,0.42290748898678415,0.5683453237410072,0.2839506172839506,0.47058823529411764,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.312072909973467,1.7215353210862414,Test1,0.1,
54,4,3,0.9431524547803619,0.39007580978635426,0.7642257186797586,0.2775330396475771,0.46762589928057563,0.32098765432098764,0.31764705882352945,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1.312072909973467,1.7215353210862414,Test1,0.1,
