,X,Y,FFMC,DMC,DC,ISI,temp,RH,wind,rain,apr,aug,dec,feb,jan,jul,jun,mar,may,nov,oct,sep,fri,mon,sat,sun,thu,tue,wed,Class,estimatedOutput,lossValue,testID,learningRate,numHiddenNodesPercentage
3,8,6,0.865030674846626,0.10509885535900103,0.08162307962941244,0.42051282051282046,0.13309352517985618,0.975609756097561,0.3647058823529412,0.03125,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.0,1.050503034229326,1.1035566249250204,1,0.1,0.5
8,8,6,0.8435582822085891,0.4387790496011099,0.8029787733083148,0.317948717948718,0.3057553956834533,0.5609756097560976,0.5294117647058824,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0,1.050503408115072,1.1035574104613814,1,0.1,0.5
9,7,5,0.8895705521472395,0.29483177245924386,0.8100152456901607,0.3230769230769231,0.6546762589928059,0.2804878048780488,0.3647058823529412,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0,1.050494890327045,1.1035395146032303,1,0.1,0.5
10,7,5,0.8895705521472395,0.29483177245924386,0.8100152456901607,0.3230769230769231,0.4748201438848922,0.4146341463414634,0.7411764705882353,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0,1.0504951090719163,1.1035399741840175,1,0.1,0.5
11,7,5,0.8987730061349694,0.24349635796045785,0.8269027794065908,1.117948717948718,0.5287769784172662,0.25609756097560976,0.3647058823529412,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0,1.0504955301967547,1.1035408589633606,1,0.1,0.5
14,6,5,0.9018404907975464,0.45195976413458205,0.811187991087135,0.4307692307692307,0.7841726618705036,0.04878048780487805,0.4235294117647059,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,1.0504871306669432,1.1035232116968674,1,0.1,0.5
16,5,5,0.865030674846626,0.11377037807839055,0.08549313943942768,0.358974358974359,0.37769784172661874,0.12195121951219512,0.5294117647058824,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0,1.0504666158262725,1.1034801109655017,1,0.1,0.5
17,8,5,0.6564417177914114,0.10336455081512312,0.7696728040342442,0.11282051282051284,0.4352517985611511,0.36585365853658536,0.47058823529411764,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,1.0504990601988256,1.1035482754786157,1,0.1,0.5
20,6,4,0.8435582822085891,0.4387790496011099,0.8029787733083148,0.317948717948718,0.49280575539568355,0.2804878048780488,0.21176470588235297,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0,1.0504678152904803,1.1034826309611545,1,0.1,0.5
21,5,4,0.8680981595092025,0.2618799861255636,0.8401548023924006,0.4307692307692307,0.5215827338129497,0.25609756097560976,0.21176470588235297,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,1.0504407804111235,1.1034258331507303,1,0.1,0.5
22,7,4,0.9447852760736197,0.32362122788761705,0.22528439075876625,2.835897435897436,0.5899280575539568,0.32926829268292684,0.4235294117647059,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1.0504867708482952,1.1035224557272787,1,0.1,0.5
26,7,4,0.8865030674846629,0.39854318418314255,0.7741292365427466,0.5846153846153845,0.5179856115107915,0.2073170731707317,0.5764705882352941,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.0,1.0504853958973241,1.1035195669935578,1,0.1,0.5
32,6,3,0.7699386503067485,0.23135622615331253,0.81963175794535,0.2564102564102564,0.5755395683453238,0.24390243902439024,0.10588235294117647,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.0,1.0504324346599123,1.103408299785551,1,0.1,0.5
34,6,3,0.8680981595092025,0.2618799861255636,0.8401548023924006,0.4307692307692307,0.5971223021582734,0.18292682926829268,0.21176470588235297,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,1.0504343474424056,1.1034123182867526,1,0.1,0.5
36,6,3,0.8312883435582822,0.11238293444328823,0.7754192564794183,0.3025641025641026,0.6151079136690648,0.08536585365853659,0.4235294117647059,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0,1.0504283171844448,1.1033996495429448,1,0.1,0.5
41,4,4,0.8190184049079757,0.32570239334027057,0.7227629881552715,0.41538461538461535,0.49640287769784175,0.3048780487804878,0.6823529411764706,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,1.050394105840576,1.103327777584623,1,0.1,0.5
42,4,4,0.9601226993865032,0.36524453694068676,0.7496188577459834,0.8307692307692307,0.4316546762589929,0.45121951219512196,0.5294117647058824,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0504019339813877,1.1033442229118395,1,0.1,0.5
43,4,4,0.8895705521472395,0.29483177245924386,0.8100152456901607,0.3230769230769231,0.5395683453237411,0.3780487804878049,0.21176470588235297,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0,1.0503927279847913,1.1033248830033318,1,0.1,0.5
48,4,4,0.7269938650306751,0.07249392993409642,0.0666119385481412,0.1692307692307692,0.25899280575539574,0.21951219512195122,0.10588235294117647,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0,1.050370615512776,1.103278429932688,1,0.1,0.5
49,4,4,0.7392638036809815,0.17065556711758584,0.11246628356983697,0.2153846153846154,0.23021582733812954,0.35365853658536583,0.5764705882352941,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0,1.050377964240969,1.1032938677630022,1,0.1,0.5
52,4,3,0.8773006134969324,0.37530350329517864,0.7578280755248036,0.45128205128205123,0.5683453237410072,0.3048780487804878,0.47058823529411764,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0503020430382568,1.1031343816103363,1,0.1,0.5
