,X,Y,FFMC,DMC,DC,ISI,temp,RH,wind,rain,apr,aug,dec,feb,jan,jul,jun,mar,may,nov,oct,sep,fri,mon,sat,sun,thu,tue,wed,Class,estimatedOutput,lossValue,testID,learningRate,numHiddenNodesPercentage
493,1,3,0.9961290322580646,0.5406616126809097,0.7314562877085059,0.20142602495543674,0.8204225352112676,0.16470588235294117,0.48235294117647054,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.7914360424390283,1.1031493805276527,7.226885176610607,1,0.1,0.5
500,8,6,0.9987096774193547,0.6202618883528601,0.7759375369691235,0.2549019607843137,0.6126760563380282,0.5882352941176471,0.5294117647058824,0.5714285714285715,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1.1003199948927649,1.2107040911608142,1,0.1,0.5
370,7,4,0.9329032258064516,0.9483115093039283,0.9580030758310659,0.1265597147950089,0.33802816901408456,0.7294117647058823,0.8470588235294116,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2.4898941912990393,1.1003243379620902,1.9309043773028705,1,0.1,0.5
507,2,4,0.9329032258064516,0.571330117160579,0.8722347095705667,0.1265597147950089,0.7640845070422534,0.3058823529411765,0.3764705882352941,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1.1008661622900606,1.211906307275246,1,0.1,0.5
283,3,4,0.88,0.018952446588559616,0.0040222406246303065,0.05704099821746881,0.1619718309859155,0.23529411764705882,0.31764705882352945,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7419373447293773,1.100612631163467,0.12864796109857624,1,0.1,0.5
181,8,6,0.8541935483870968,0.10923501033769813,0.7676564533301787,0.053475935828877004,0.5246478873239437,0.2,0.4235294117647059,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.8625285401162623,1.1003201218438754,0.580961672885294,1,0.1,0.5
392,1,3,0.9329032258064516,0.9483115093039283,0.9580030758310659,0.1265597147950089,0.6232394366197183,0.32941176470588235,0.4235294117647059,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4.27332721775054,1.103154694336437,10.049993828209743,1,0.1,0.5
17,8,5,0.8541935483870968,0.10923501033769813,0.7676564533301787,0.053475935828877004,0.4401408450704225,0.3764705882352941,0.5294117647058824,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,1.100320709903942,1.210705664643515,1,0.1,0.5
403,8,6,0.9290322580645162,0.6650585802894555,0.7425766000236602,0.1212121212121212,0.602112676056338,0.3058823529411765,0.3764705882352941,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1.1003200340754868,1.2107041773878806,1,0.1,0.5
153,5,4,0.9754838709677419,0.2894555478980014,0.8008990890807997,0.28342245989304815,0.5598591549295775,0.3764705882352941,0.5294117647058824,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.9001613499442714,1.100350896431266,0.040075854522668576,1,0.1,0.5
