,X,Y,FFMC,DMC,DC,ISI,temp,RH,wind,rain,apr,aug,dec,feb,jan,jul,jun,mar,may,nov,oct,sep,fri,mon,sat,sun,thu,tue,wed,Class,estimatedOutput,lossValue,testID,learningRate,numHiddenNodesPercentage
2,7,4,0.9277419354838708,0.1474558670820353,0.7994760657299357,0.11942959001782531,0.401294498381877,0.21176470588235294,0.1,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0.9439453673102406,0.891032856466465,1,0.001,0.5
9,7,5,0.952258064516129,0.30079612322602983,0.8134079542748274,0.1265597147950089,0.6666666666666666,0.29411764705882354,0.4,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0,1.2117334970576652,1.4682980678915987,1,0.001,0.5
10,7,5,0.952258064516129,0.30079612322602983,0.8134079542748274,0.1265597147950089,0.5048543689320388,0.4235294117647059,0.7555555555555555,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0,1.220661617072118,1.490014783393118,1,0.001,0.5
11,7,5,0.9561290322580644,0.24956732433367954,0.8305548940223864,0.4028520499108735,0.5533980582524272,0.27058823529411763,0.4,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0,1.2069868255487919,1.4568171970483499,1,0.001,0.5
13,6,5,0.9316129032258065,0.4340602284527519,0.7989997618480591,0.12477718360071301,0.6181229773462783,0.3176470588235294,0.20000000000000004,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,1.1967447578573287,1.4321980154589964,1,0.001,0.5
14,6,5,0.9574193548387098,0.45759778470058854,0.814598713979519,0.1639928698752228,0.7831715210355986,0.07058823529411765,0.4555555555555555,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,1.223942596191102,1.4980354787710148,1,0.001,0.5
16,5,5,0.9419354838709677,0.12011076497057804,0.07775660871636104,0.13903743315508021,0.41747572815533973,0.1411764705882353,0.5555555555555556,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0,1.046413696495222,1.0949816242127945,1,0.001,0.5
17,8,5,0.8541935483870968,0.10972654897888542,0.7724458204334367,0.053475935828877004,0.4692556634304207,0.3764705882352941,0.5,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,1.1362132391533013,1.290980524827237,1,0.001,0.5
20,6,4,0.9329032258064516,0.4444444444444445,0.8062633960466778,0.12477718360071301,0.5210355987055016,0.29411764705882354,0.2555555555555556,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0,1.017164830705289,1.034624292823719,1,0.001,0.5
21,5,4,0.9432258064516128,0.2679127725856698,0.8440104786854012,0.1639928698752228,0.5469255663430421,0.27058823529411763,0.2555555555555556,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,1.0175100952025826,1.0353267938391688,1,0.001,0.5
