,X,Y,FFMC,DMC,DC,ISI,temp,RH,wind,rain,apr,aug,dec,feb,jan,jul,jun,mar,may,nov,oct,sep,fri,mon,sat,sun,thu,tue,wed,Class,estimatedOutput,lossValue,testID,learningRate,numHiddenNodesPercentage
233,9,4,0.7439824945295407,0.2592186929536327,0.8108174857989626,0.12556053811659193,0.6955017301038062,0.21794871794871795,0.33333333333333337,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4.669646205172456,1.8032860200844687,8.216020710657642,1,0.01,0.5
156,2,4,0.940919037199125,0.5220883534136546,0.8719436897999505,0.34529147982062774,0.8442906574394464,0.10256410256410256,0.22222222222222227,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.959350221334602,1.4894187491092774,0.2809726441372118,1,0.01,0.5
479,7,4,0.8490153172866522,0.37057320189850307,0.5140775500123487,0.26905829596412556,0.6366782006920415,0.48717948717948717,0.5555555555555556,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5.633109621361155,0.986166115560537,21.594083946102536,1,0.01,0.5
129,2,5,0.9234135667396062,0.1610076670317634,0.8353914546801678,0.37668161434977576,0.38754325259515565,0.20512820512820512,0.0617283950617284,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0,0.7908218136846101,0.6253991409994162,1,0.01,0.5
364,6,5,0.9080962800875276,0.39905074844833877,0.932328970116078,0.27354260089686094,0.5847750865051904,0.20512820512820512,0.28395061728395066,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1.8946168546677629,1.7936246795963084,0.0101994194256633,1,0.01,0.5
31,6,3,0.8358862144420132,0.3263964950711938,0.8577426525067917,0.3004484304932735,0.24221453287197228,0.7564102564102564,0.8888888888888888,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,1.118092614073134,1.2501310936448942,1,0.01,0.5
59,2,2,0.7921225382932167,0.039430449069003275,0.034205976784391204,0.21973094170403584,0.28027681660899656,0.41025641025641024,0.0617283950617284,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.502976396342885,0.25298525527807497,1,0.01,0.5
269,4,4,0.912472647702407,0.5483753194596567,0.7938997283279823,0.6233183856502242,0.5155709342560554,0.4358974358974359,0.28395061728395066,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.6863989535702288,1.182801721163369,0.2536101724878488,1,0.01,0.5
271,8,6,0.912472647702407,0.5483753194596567,0.7938997283279823,0.6233183856502242,0.5501730103806228,0.5,0.5061728395061729,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.329227023940467,1.446347619742438,0.7794760423570664,1,0.01,0.5
66,2,2,0.9190371991247267,0.4216867469879518,0.8060014818473697,0.5291479820627802,0.6505190311418685,0.23076923076923078,0.5061728395061729,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.0,1.3340489115103062,1.779686498301833,1,0.01,0.5
430,7,4,0.8599562363238514,1.0397955458196422,1.0298839219560385,0.2869955156950672,0.5259515570934256,0.3333333333333333,0.39506172839506176,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0,1.620587921150146,2.6263052101777515,1,0.01,0.5
322,6,5,0.9277899343544859,0.42570281124497983,0.9486292911830081,0.3183856502242152,0.4359861591695502,0.11538461538461539,0.4444444444444445,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.6981347220709844,1.3761094647820677,0.45964975175415973,1,0.01,0.5
300,6,5,0.8752735229759302,0.3318729463307776,0.3492220301308965,0.3183856502242152,0.5709342560553633,0.07692307692307693,0.5555555555555556,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.8276359296135902,0.6849812319873517,1,0.01,0.5
469,6,3,0.8884026258205691,0.044541803577948146,0.012719189923437886,0.5336322869955157,0.328719723183391,0.1794871794871795,1.1111111111111112,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.129228964075603,0.9314066588806982,10.226067495602052,1,0.01,0.5
