,area
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.36
139,0.43
140,0.47
141,0.55
142,0.61
143,0.71
144,0.77
145,0.9
146,0.95
147,0.96
148,1.07
149,1.12
150,1.19
151,1.36
152,1.43
153,1.46
154,1.46
155,1.56
156,1.61
157,1.63
158,1.64
159,1.69
160,1.75
161,1.9
162,1.94
163,1.95
164,2.01
165,2.14
166,2.29
167,2.51
168,2.53
169,2.55
170,2.57
171,2.69
172,2.74
173,3.07
174,3.5
175,4.53
176,4.61
177,4.69
178,4.88
179,5.23
180,5.33
181,5.44
182,6.38
183,6.83
184,6.96
185,7.04
186,7.19
187,7.3
188,7.4
189,8.24
190,8.31
191,8.68
192,8.71
193,9.41
194,10.01
195,10.02
196,10.93
197,11.06
198,11.24
199,11.32
200,11.53
201,12.1
202,13.05
203,13.7
204,13.99
205,14.57
206,15.45
207,17.2
208,19.23
209,23.41
210,24.23
211,26.0
212,26.13
213,27.35
214,28.66
215,28.66
216,29.48
217,30.32
218,31.72
219,31.86
220,32.07
221,35.88
222,36.85
223,37.02
224,37.71
225,48.55
226,49.37
227,58.3
228,64.1
229,71.3
230,88.49
231,95.18
232,103.39
233,105.66
234,154.88
235,196.48
236,200.94
237,212.88
238,1090.84
239,0.0
240,0.0
241,0.0
242,10.13
243,0.0
244,2.87
245,0.76
246,0.09
247,0.75
248,0.0
249,2.47
250,0.68
251,0.24
252,0.21
253,1.52
254,10.34
255,0.0
256,8.02
257,0.68
258,0.0
259,1.38
260,8.85
261,3.3
262,4.25
263,1.56
264,6.54
265,0.79
266,0.17
267,0.0
268,0.0
269,4.4
270,0.52
271,9.27
272,3.09
273,8.98
274,11.19
275,5.38
276,17.85
277,10.73
278,22.03
279,9.77
280,9.27
281,24.77
282,0.0
283,1.1
284,24.24
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,8.0
292,2.64
293,86.45
294,6.57
295,0.0
296,0.9
297,0.0
298,0.0
299,0.0
300,0.0
301,3.52
302,0.0
303,0.0
304,0.0
305,0.0
306,0.41
307,5.18
308,0.0
309,0.0
310,0.0
311,14.29
312,0.0
313,0.0
314,1.58
315,0.0
316,0.0
317,3.78
318,0.0
319,4.41
320,34.36
321,7.21
322,1.01
323,2.18
324,4.42
325,0.0
326,0.0
327,0.0
328,0.0
329,3.33
330,6.58
331,15.64
332,11.22
333,2.13
334,0.0
335,0.0
336,0.0
337,56.04
338,7.48
339,1.47
340,3.93
341,0.0
342,0.0
343,2.18
344,6.1
345,5.83
346,28.19
347,0.0
348,0.0
349,1.64
350,3.71
351,7.31
352,2.03
353,1.72
354,5.97
355,13.06
356,1.26
357,0.0
358,0.0
359,8.12
360,1.09
361,3.94
362,0.52
363,2.93
364,5.65
365,20.03
366,1.75
367,0.0
368,12.64
369,0.0
370,11.06
371,0.0
372,0.0
373,0.0
374,18.3
375,39.35
376,0.0
377,174.63
378,0.0
379,0.0
380,7.73
381,16.33
382,5.86
383,42.87
384,12.18
385,16.0
386,24.59
387,0.0
388,28.74
389,0.0
390,9.96
391,30.18
392,70.76
393,0.0
394,0.0
395,51.78
396,3.64
397,3.63
398,0.0
399,0.0
400,8.16
401,4.95
402,0.0
403,0.0
404,6.04
405,0.0
406,3.95
407,0.0
408,7.8
409,0.0
410,0.0
411,4.62
412,1.63
413,0.0
414,0.0
415,746.28
416,7.02
417,0.0
418,2.44
419,3.05
420,185.76
421,0.0
422,6.3
423,0.72
424,4.96
425,0.0
426,0.0
427,2.35
428,0.0
429,3.2
430,0.0
431,6.36
432,0.0
433,15.34
434,0.0
435,0.0
436,0.54
437,0.0
438,6.43
439,0.33
440,0.0
441,1.23
442,3.35
443,0.0
444,9.96
445,0.0
446,0.0
447,0.0
448,0.0
449,0.0
450,6.43
451,9.71
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,82.75
458,3.32
459,1.94
460,0.0
461,0.0
462,3.71
463,5.39
464,2.14
465,6.84
466,3.18
467,5.55
468,6.61
469,61.13
470,0.0
471,38.48
472,1.94
473,70.32
474,10.08
475,3.19
476,1.76
477,7.36
478,2.21
479,278.53
480,2.75
481,0.0
482,1.29
483,0.0
484,26.43
485,2.07
486,2.0
487,16.4
488,46.7
489,0.0
490,0.0
491,0.0
492,0.0
493,43.32
494,8.59
495,0.0
496,2.77
497,14.68
498,40.54
499,10.82
500,0.0
501,0.0
502,0.0
503,1.95
504,49.59
505,5.8
506,0.0
507,0.0
508,0.0
509,2.17
510,0.43
511,0.0
512,6.44
513,54.29
514,11.16
515,0.0
516,0.0
