,EpochNumber,SumOfValues
0,0.0,0.0
0,1.0,0.0
0,2.0,1.0
0,3.0,1.0
0,4.0,2.0
0,5.0,4.000063199060409
0,6.0,4.882352941176471
0,7.0,5.0215208034433285
0,8.0,5.000626819517767
0,9.0,6.0014402424968125
0,10.0,7.882352941176471
0,11.0,8.021520803443329
0,12.0,11.865385430645972
0,13.0,14.76771969616491
0,14.0,15.757210439444547
0,15.0,15.795522309796826
0,16.0,18.79882943087749
0,17.0,19.695471980800576
0,18.0,19.695519987714047
0,19.0,19.695522385454268
0,20.0,21.5955223876274
0,21.0,21.59552238805773
0,22.0,21.60850746268644
0,23.0,22.60850746268656
0,24.0,22.608507462686568
0,25.0,22.608507462686568
0,26.0,22.608507462686568
0,27.0,23.608507462686568
0,28.0,27.52072167384452
0,29.0,27.52072167384452
0,30.0,28.366390646483254
0,31.0,28.38770055109103
0,32.0,28.38770055109103
0,33.0,30.311845648243825
0,34.0,30.31334655811184
0,35.0,30.31338193036049
0,36.0,31.20890681374747
0,37.0,32.095520892552535
0,38.0,32.095520892610544
0,39.0,32.98661136634616
0,40.0,32.986611484606314
0,41.0,32.98661148460634
0,42.0,32.98661149653828
0,43.0,32.98661149691416
0,44.0,32.98661149696641
0,45.0,32.98661149696862
0,46.0,32.99104477611743
0,47.0,33.00112019740802
0,48.0,33.00112019740985
0,49.0,33.00112019740985
0,50.0,33.00112019740985
0,51.0,33.00112019740996
0,52.0,33.00112019740996
0,53.0,33.00112019740998
0,54.0,33.00112019740999
0,55.0,33.0037695976053
0,56.0,33.80978342448611
0,57.0,33.80978342448611
0,58.0,33.80978342448611
0,59.0,33.80978342448611
0,60.0,33.81377337572004
0,61.0,33.81377337572004
0,62.0,33.813812685584416
0,63.0,33.813812685584416
0,64.0,33.813812685584416
0,65.0,34.813812685584416
0,66.0,34.813812685584416
0,67.0,34.813941791511525
0,68.0,34.813941791511525
0,69.0,34.813941791511525
0,70.0,34.813941791511525
0,71.0,35.705030900422415
0,72.0,35.70946417957123
0,73.0,35.70946417957123
0,74.0,35.70946482188927
0,75.0,35.71381074578392
0,76.0,35.71381074578392
0,77.0,35.71381074578392
0,78.0,35.71381074578392
0,79.0,35.71381074578392
0,80.0,35.71381074578392
0,81.0,35.71381075831695
0,82.0,36.71381075831695
0,83.0,36.71381075831695
0,84.0,36.71381134796492
0,85.0,36.71381134796492
0,86.0,36.71389870321908
0,87.0,37.7100113944088
