,xLocState,yLocState,locTypeState,xVelState,yVelState,indexMap,currentValue
0,4,1,.,-5,-5,0,-0.0017860887139604
1,4,1,.,-5,-4,1,-0.0040714870313722
2,4,1,.,-5,-3,2,-0.0042327163438239
3,4,1,.,-5,-2,3,-0.0094794915659935
4,4,1,.,-5,-1,4,-4.90671571013177
5,4,1,.,-5,0,5,-5.903111073484642
6,4,1,.,-5,1,6,-0.0019599662545001
7,4,1,.,-5,2,7,-0.0007160554041604
8,4,1,.,-5,3,8,-0.003272708347576
9,4,1,.,-5,4,9,-0.0023573862992764
10,4,1,.,-5,5,10,-0.0028858172134787
11,4,1,.,-4,-5,11,-0.0015425484299857
12,4,1,.,-4,-4,12,-0.0015649453034415
13,4,1,.,-4,-3,13,-0.000732550699838
14,4,1,.,-4,-2,14,-0.0009232627686069
15,4,1,.,-4,-1,15,-6.301763853976646
16,4,1,.,-4,0,16,-6.24413338885425
17,4,1,.,-4,1,17,-0.0003571913416727
18,4,1,.,-4,2,18,-0.0001496724660634
19,4,1,.,-4,3,19,-0.0027067998230589
20,4,1,.,-4,4,20,-0.0035588465706677
21,4,1,.,-4,5,21,-0.003447777201152
22,4,1,.,-3,-5,22,-0.0028579033786287
23,4,1,.,-3,-4,23,-0.0002096333318611
24,4,1,.,-3,-3,24,-0.0002513570746329
25,4,1,.,-3,-2,25,-0.0021942871071152
26,4,1,.,-3,-1,26,-6.3332668974818
27,4,1,.,-3,0,27,-6.3014632685260175
28,4,1,.,-3,1,28,-0.0001549669835969
29,4,1,.,-3,2,29,-0.0020919509111458
30,4,1,.,-3,3,30,-0.0001440890533713
31,4,1,.,-3,4,31,-0.0003814049308769
32,4,1,.,-3,5,32,-0.0037621883908455
33,4,1,.,-2,-5,33,-0.0022414692737252
34,4,1,.,-2,-4,34,-0.002577939288305
35,4,1,.,-2,-3,35,-0.0004814609122193
36,4,1,.,-2,-2,36,-0.0005716105385748
37,4,1,.,-2,-1,37,-6.338959113862856
38,4,1,.,-2,0,38,-6.330187102280954
39,4,1,.,-2,1,39,-0.0080726217256838
40,4,1,.,-2,2,40,-0.0011872927804539
41,4,1,.,-2,3,41,-0.0015447643643422
42,4,1,.,-2,4,42,-0.0003669923662111
43,4,1,.,-2,5,43,-0.0008957701145344
44,4,1,.,-1,-5,44,-0.0040568786637208
45,4,1,.,-1,-4,45,-0.0026317672570003
46,4,1,.,-1,-3,46,-0.000621586627018
47,4,1,.,-1,-2,47,-6.415435616945823
48,4,1,.,-1,-1,48,-6.245735380039413
49,4,1,.,-1,0,49,-6.333959755266444
50,4,1,.,-1,1,50,-0.003883706668648
51,4,1,.,-1,2,51,-0.0088398846429184
52,4,1,.,-1,3,52,-0.0015347608788179
53,4,1,.,-1,4,53,-0.0039597256095066
54,4,1,.,-1,5,54,-0.0001177711536528
55,4,1,.,0,-5,55,-0.0097865021181563
56,4,1,.,0,-4,56,-0.0013890245128381
57,4,1,.,0,-3,57,-6.3370655726234135
58,4,1,.,0,-2,58,-6.266342978941921
59,4,1,.,0,-1,59,-6.313528977631776
60,4,1,.,0,0,60,-6.330370302815327
61,4,1,.,0,1,61,-0.0048857148832732
62,4,1,.,0,2,62,-0.0019408227759827
63,4,1,.,0,3,63,-0.0016959669482684
64,4,1,.,0,4,64,-0.0007926053607237
65,4,1,.,0,5,65,-0.0016149351867632
66,4,1,.,1,-5,66,-0.0079220880114727
67,4,1,.,1,-4,67,-0.0081808699730373
68,4,1,.,1,-3,68,-6.373379325507287
69,4,1,.,1,-2,69,-6.375325818894771
70,4,1,.,1,-1,70,-6.457429716742267
71,4,1,.,1,0,71,-0.0043437821351551
72,4,1,.,1,1,72,-0.0041817981917228
73,4,1,.,1,2,73,-0.0015709099333198
74,4,1,.,1,3,74,-0.0023489346534526
75,4,1,.,1,4,75,-0.0009472096731449
76,4,1,.,1,5,76,-0.0020016254521351
77,4,1,.,2,-5,77,-0.0025806594720683
78,4,1,.,2,-4,78,-0.0056798340242738
79,4,1,.,2,-3,79,-6.466436380082068
80,4,1,.,2,-2,80,-0.00278724603889
81,4,1,.,2,-1,81,-0.0022593490554026
82,4,1,.,2,0,82,-0.001177623009192
83,4,1,.,2,1,83,-0.0023074604916008
84,4,1,.,2,2,84,-0.0007130144404721
85,4,1,.,2,3,85,-0.00047251596028
86,4,1,.,2,4,86,-0.0001464216206876
87,4,1,.,2,5,87,-0.0059062033033586
88,4,1,.,3,-5,88,-0.0017151253524625
89,4,1,.,3,-4,89,-0.0020258938958964
90,4,1,.,3,-3,90,-0.0009773707025221
91,4,1,.,3,-2,91,-0.0039260929893229
92,4,1,.,3,-1,92,-0.0007343910830434
93,4,1,.,3,0,93,-0.0022985556101088
94,4,1,.,3,1,94,-0.0004803909339545
95,4,1,.,3,2,95,-0.0038033689497313
96,4,1,.,3,3,96,-0.0049876245668251
97,4,1,.,3,4,97,-9.012724622023403e-05
98,4,1,.,3,5,98,-0.0007747393112894
99,4,1,.,4,-5,99,-0.0020127418276186
100,4,1,.,4,-4,100,-0.0005761124255359
101,4,1,.,4,-3,101,-0.0023656742269051
102,4,1,.,4,-2,102,-0.0004422069372832
103,4,1,.,4,-1,103,-0.0021125180006296
104,4,1,.,4,0,104,-0.000999262342554
105,4,1,.,4,1,105,-0.0015156144211863
106,4,1,.,4,2,106,-0.0025996601714293
107,4,1,.,4,3,107,-0.000199503053322
108,4,1,.,4,4,108,-0.0003457896567026
109,4,1,.,4,5,109,-0.0014245641460599
110,4,1,.,5,-5,110,-0.0024660507648517
111,4,1,.,5,-4,111,-0.0014857978471715
112,4,1,.,5,-3,112,-0.0054023507060738
113,4,1,.,5,-2,113,-0.0018454706543953
114,4,1,.,5,-1,114,-0.0045287060313523
115,4,1,.,5,0,115,-0.0008512332551523
116,4,1,.,5,1,116,-0.0027160886464172
117,4,1,.,5,2,117,-0.0026214985186291
118,4,1,.,5,3,118,-0.0012002516400956
119,4,1,.,5,4,119,-0.001522536509929
120,4,1,.,5,5,120,-0.0001833778285313
121,5,1,.,-5,-5,121,-0.0027659669166791
122,5,1,.,-5,-4,122,-0.003325944227164
123,5,1,.,-5,-3,123,-0.0007506685486604
124,5,1,.,-5,-2,124,-0.0046145560056553
125,5,1,.,-5,-1,125,-6.142457336599497
126,5,1,.,-5,0,126,-5.814612950460832
127,5,1,.,-5,1,127,-0.0001131926652249
128,5,1,.,-5,2,128,-4.498382611761373e-05
129,5,1,.,-5,3,129,-0.0006566699469514
130,5,1,.,-5,4,130,-0.0026377667326613
131,5,1,.,-5,5,131,-0.0006764674838343
132,5,1,.,-4,-5,132,-0.0016805796704996
