,EpochNumber,SumOfValues
0,0.0,0.0
0,1.0,0.0
0,2.0,1.0
0,3.0,1.0
0,4.0,2.0
0,5.0,4.0
0,6.0,7.0
0,7.0,11.0
0,8.0,12.825688073394495
0,9.0,13.89324437030859
0,10.0,16.799928270341113
0,11.0,18.79992827034112
0,12.0,19.799998986586097
0,13.0,24.489473552026105
0,14.0,26.5944953946117
0,15.0,29.59995039089239
0,16.0,30.59999468404279
0,17.0,33.27474406325341
0,18.0,34.32235525237517
0,19.0,37.05608958879503
0,20.0,38.1229004239576
0,21.0,39.054786029139606
0,22.0,41.85042465960906
0,23.0,43.863490348765296
0,24.0,44.86438382288712
0,25.0,45.6977612528683
0,26.0,46.62200737187906
0,27.0,48.62200742167873
0,28.0,49.51310024997968
0,29.0,50.362158239164735
0,30.0,50.362158365950506
0,31.0,51.215082003226186
0,32.0,51.21508230799907
0,33.0,51.21508231590435
0,34.0,51.21595597334454
0,35.0,52.14405858289116
0,36.0,52.14949144909134
0,37.0,53.14949145639525
0,38.0,53.14953044934803
0,39.0,55.96702000489511
0,40.0,55.96703067762903
0,41.0,55.96703265684148
0,42.0,55.96703265700979
0,43.0,55.96703416255974
0,44.0,55.96703416257271
0,45.0,55.98262451359696
0,46.0,55.98262451359696
0,47.0,55.99136076996081
0,48.0,55.99136091361717
0,49.0,55.99153068312141
0,50.0,55.991530683121695
0,51.0,55.99153069697342
0,52.0,55.99153071458263
0,53.0,57.89153071682769
0,54.0,57.8915307168278
0,55.0,61.47586385768526
0,56.0,61.47586386167176
0,57.0,61.49202577198044
0,58.0,61.500422671064975
0,59.0,61.500422671064975
0,60.0,62.50042267165016
0,61.0,62.500422671768256
0,62.0,63.391948589155
0,63.0,65.08501789612762
0,64.0,66.99375915290364
0,65.0,66.99375915291148
0,66.0,66.99375915291452
0,67.0,66.99375915292173
0,68.0,67.00267004401306
0,69.0,67.00267004401348
0,70.0,68.00267004401374
0,71.0,68.00267004401374
0,72.0,68.00267004401378
0,73.0,68.00267004401532
0,74.0,69.0026700440155
0,75.0,69.00267004401559
0,76.0,69.00267004401559
0,77.0,69.01156116643773
0,78.0,69.01157584633124
0,79.0,69.01157584633127
0,80.0,69.0204867374204
0,81.0,69.0204867374204
0,82.0,69.02048673742041
0,83.0,69.02048673742041
0,84.0,69.02048673742041
0,85.0,69.02048673742041
0,86.0,69.02048673742041
0,87.0,69.02048673742041
0,88.0,69.02049088507286
