,Test1,Test2,Test3,Test4,Test5,Test6,Test7,Test8,Test9,Test10,Min,Max,Mean,AdjMean,tau,DF
0,301,301,301,301,301,301,301,301,301,301,301,301,301.0,301.0,,
0,301,301,301,301,301,301,301,301,301,301,301,301,301.0,301.0,,
0,301,301,301,301,301,301,301,301,301,301,301,301,301.0,301.0,,
0,501,501,501,501,501,501,501,501,501,501,501,501,501.0,501.0,,
0,501,501,501,501,501,501,501,501,501,501,501,501,501.0,501.0,,
0,501,501,501,501,501,501,501,501,501,501,501,501,501.0,501.0,,
0,501,501,501,501,501,501,501,501,397,501,397,501,491.54545454545456,501.0,,
0,501,501,501,501,501,501,501,501,501,501,501,501,501.0,501.0,,
0,501,501,501,501,501,501,501,501,501,501,501,501,501.0,501.0,,
0,501,501,501,501,501,501,501,501,501,501,501,501,501.0,501.0,,
0,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001.0,1001.0,,
0,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001.0,1001.0,,
0,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001.0,1001.0,,
0,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001.0,1001.0,,
0,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001.0,1001.0,,
0,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001.0,1001.0,,
0,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001.0,1001.0,,
0,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001.0,1001.0,,
0,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001.0,1001.0,,
0,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001.0,1001.0,,
0,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001.0,1001.0,,
0,28,25,37,32,31,31,24,27,26,26,24,37,28.27272727272728,27.77777777777778,,
0,39,42,36,32,34,30,42,33,35,63,30,63,37.90909090909091,36.0,100.0,0.9
0,30,65,42,73,42,64,34,47,36,51,30,73,47.90909090909091,47.11111111111112,100.0,0.99
0,83,30,38,43,44,39,31,47,49,33,30,83,44.45454545454545,41.77777777777778,200.0,0.9
0,40,29,43,46,41,31,33,40,35,39,27,46,36.72727272727273,36.77777777777778,200.0,0.99
