,EpochNumber,SumOfValues
0,0.0,0.0
0,1.0,0.0
0,2.0,0.0
0,3.0,2.0
0,4.0,4.0
0,5.0,6.0
0,6.0,7.038246942341293
0,7.0,8.038246942341292
0,8.0,10.003491447716453
0,9.0,14.990005409101816
0,10.0,19.048262332032778
0,11.0,22.97256866622601
0,12.0,24.972761003740104
0,13.0,26.989065771293447
0,14.0,31.87337011426849
0,15.0,32.88086308013871
0,16.0,33.003192343712094
0,17.0,33.86179593177608
0,18.0,35.84796314826262
0,19.0,36.83745799301974
0,20.0,38.13176510860168
0,21.0,40.92437603975566
0,22.0,42.82773865982588
0,23.0,42.89603696804272
0,24.0,42.94715062947997
0,25.0,42.06895135918357
0,26.0,43.16033373534485
0,27.0,46.61680412870382
0,28.0,47.59868272324228
0,29.0,47.093748316539006
0,30.0,47.95088838930835
0,31.0,48.55731363846024
0,32.0,52.46182538033142
0,33.0,53.31083728650358
0,34.0,51.87392264362177
0,35.0,51.692331116883366
0,36.0,51.671432570775714
0,37.0,51.67128471928324
0,38.0,51.68087894171119
0,39.0,52.69610299216754
0,40.0,52.68120394701117
0,41.0,52.75083106248414
0,42.0,52.75082215763424
0,43.0,53.76043483842263
0,44.0,53.80535055251588
0,45.0,53.82289595748014
0,46.0,53.79829705459327
0,47.0,53.78781458386832
0,48.0,53.78051816552614
0,49.0,53.77998121666657
0,50.0,53.77986034173046
0,51.0,54.89381094960471
0,52.0,55.02728215681819
0,53.0,56.16135804739743
0,54.0,56.090742875558206
0,55.0,56.02422302823384
0,56.0,56.10390537362713
0,57.0,56.103401762526886
0,58.0,56.22482484418394
0,59.0,55.28295382063988
0,60.0,55.28294869778401
0,61.0,55.72077929892012
0,62.0,55.6617192787988
0,63.0,56.17208528404548
0,64.0,56.23090533289435
0,65.0,56.22413219883201
0,66.0,56.322654035119655
0,67.0,56.1647367882813
0,68.0,56.06565707940557
0,69.0,56.05675818140243
0,70.0,57.76860471438682
0,71.0,58.06451811219614
0,72.0,57.83135135752582
0,73.0,58.75647643806813
0,74.0,58.47574516209392
0,75.0,58.553839956767895
0,76.0,58.553827878310855
0,77.0,59.534023624857575
0,78.0,58.93642994474312
0,79.0,60.49431540454569
0,80.0,60.22410637759791
0,81.0,60.1972620952028
0,82.0,60.31275854403126
0,83.0,60.48296744517571
0,84.0,60.89803892308675
0,85.0,60.842314810988746
0,86.0,60.731337343299664
0,87.0,61.9430591402091
