,xLocState,yLocState,locTypeState,xVelState,yVelState,indexMap,currentValue
0,4,1,.,-5,-5,0,-0.0005754414952976
1,4,1,.,-5,-4,1,-0.001854348740137
2,4,1,.,-5,-3,2,-0.0008996604624235
3,4,1,.,-5,-2,3,-0.0011201252214668
4,4,1,.,-5,-1,4,-0.0007242557070002
5,4,1,.,-5,0,5,-20.892016919360685
6,4,1,.,-5,1,6,-0.0004799302186038
7,4,1,.,-5,2,7,-0.0011304579454373
8,4,1,.,-5,3,8,-0.0007472629812901
9,4,1,.,-5,4,9,-0.0015430476375932
10,4,1,.,-5,5,10,-0.0010100550634962
11,4,1,.,-4,-5,11,-0.0003323652346807
12,4,1,.,-4,-4,12,-0.0004452918392782
13,4,1,.,-4,-3,13,-0.0014066380570208
14,4,1,.,-4,-2,14,-0.0009749110182029
15,4,1,.,-4,-1,15,-17.282906248418488
16,4,1,.,-4,0,16,-20.086440154357604
17,4,1,.,-4,1,17,-0.0041042843401054
18,4,1,.,-4,2,18,-0.0006080589122233
19,4,1,.,-4,3,19,-5.201498666921808e-05
20,4,1,.,-4,4,20,-0.0002398083755869
21,4,1,.,-4,5,21,-0.0002966043574368
22,4,1,.,-3,-5,22,-0.0039281952870012
23,4,1,.,-3,-4,23,-0.0017822808885402
24,4,1,.,-3,-3,24,-0.0006198051806753
25,4,1,.,-3,-2,25,-0.0017844524060704
26,4,1,.,-3,-1,26,-21.68504966652829
27,4,1,.,-3,0,27,-23.739708939972157
28,4,1,.,-3,1,28,-0.0004836336853346
29,4,1,.,-3,2,29,-0.0002124658421493
30,4,1,.,-3,3,30,-0.0032982238333148
31,4,1,.,-3,4,31,-0.0024217730176782
32,4,1,.,-3,5,32,-0.0014371272383606
33,4,1,.,-2,-5,33,-0.0003910117601346
34,4,1,.,-2,-4,34,-0.0001797941602307
35,4,1,.,-2,-3,35,-0.0015536982245191
36,4,1,.,-2,-2,36,-0.0009300600851482
37,4,1,.,-2,-1,37,-23.15900850700094
38,4,1,.,-2,0,38,-23.95995827492956
39,4,1,.,-2,1,39,-0.0035144224991675
40,4,1,.,-2,2,40,-0.0021076015749055
41,4,1,.,-2,3,41,-0.0026379304631978
42,4,1,.,-2,4,42,-0.0025833158187708
43,4,1,.,-2,5,43,-0.0011916160171241
44,4,1,.,-1,-5,44,-0.0006502876225168
45,4,1,.,-1,-4,45,-0.001102430235137
46,4,1,.,-1,-3,46,-0.0031815478609957
