,xLocState,yLocState,locTypeState,xVelState,yVelState,indexMap,currentValue
0,4,1,.,-5,-5,0,0
1,4,1,.,-5,-4,1,0
2,4,1,.,-5,-3,2,0
3,4,1,.,-5,-2,3,0
4,4,1,.,-5,-1,4,0
5,4,1,.,-5,0,5,0
6,4,1,.,-5,1,6,0
7,4,1,.,-5,2,7,0
8,4,1,.,-5,3,8,0
9,4,1,.,-5,4,9,0
10,4,1,.,-5,5,10,0
11,4,1,.,-4,-5,11,0
12,4,1,.,-4,-4,12,0
13,4,1,.,-4,-3,13,0
14,4,1,.,-4,-2,14,0
15,4,1,.,-4,-1,15,0
16,4,1,.,-4,0,16,0
17,4,1,.,-4,1,17,0
18,4,1,.,-4,2,18,0
19,4,1,.,-4,3,19,0
20,4,1,.,-4,4,20,0
21,4,1,.,-4,5,21,0
22,4,1,.,-3,-5,22,0
23,4,1,.,-3,-4,23,0
24,4,1,.,-3,-3,24,0
25,4,1,.,-3,-2,25,0
26,4,1,.,-3,-1,26,0
27,4,1,.,-3,0,27,0
28,4,1,.,-3,1,28,0
29,4,1,.,-3,2,29,0
30,4,1,.,-3,3,30,0
31,4,1,.,-3,4,31,0
32,4,1,.,-3,5,32,0
33,4,1,.,-2,-5,33,0
34,4,1,.,-2,-4,34,0
35,4,1,.,-2,-3,35,0
36,4,1,.,-2,-2,36,0
37,4,1,.,-2,-1,37,0
38,4,1,.,-2,0,38,0
39,4,1,.,-2,1,39,0
40,4,1,.,-2,2,40,0
41,4,1,.,-2,3,41,0
42,4,1,.,-2,4,42,0
43,4,1,.,-2,5,43,0
44,4,1,.,-1,-5,44,0
45,4,1,.,-1,-4,45,0
46,4,1,.,-1,-3,46,0
47,4,1,.,-1,-2,47,0
48,4,1,.,-1,-1,48,0
49,4,1,.,-1,0,49,0
50,4,1,.,-1,1,50,0
51,4,1,.,-1,2,51,0
52,4,1,.,-1,3,52,0
53,4,1,.,-1,4,53,0
54,4,1,.,-1,5,54,0
55,4,1,.,0,-5,55,0
56,4,1,.,0,-4,56,0
57,4,1,.,0,-3,57,0
58,4,1,.,0,-2,58,0
