,EpochNumber,SumOfValues
0,0.0,0.0
0,1.0,0.0
0,2.0,6.989951233929363
0,3.0,10.979999999999992
0,4.0,14.98
0,5.0,16.96902490502322
0,6.0,18.96971312662996
0,7.0,23.91736680606279
0,8.0,24.917368217259096
0,9.0,25.91736841416106
0,10.0,27.91736841917692
0,11.0,32.86680513993461
0,12.0,34.904803983202086
0,13.0,35.88663760860579
0,14.0,38.838939403870654
0,15.0,38.871743825311285
0,16.0,42.84184617883899
0,17.0,44.79234150595284
0,18.0,44.829670678855535
0,19.0,45.82967067983356
0,20.0,45.82967068755596
0,21.0,46.83099747130936
0,22.0,46.831594929504654
0,23.0,50.79177698006334
0,24.0,54.761894772312274
0,25.0,55.76190055908349
0,26.0,56.761900738957976
0,27.0,56.76190076100144
0,28.0,57.746975388074056
0,29.0,57.746975388074056
0,30.0,57.746975389477775
0,31.0,57.74697538961922
0,32.0,57.74697538961922
0,33.0,57.74697538973142
0,34.0,57.74697538973315
0,35.0,57.7469753897373
0,36.0,59.7369753897373
0,37.0,60.71219927033929
0,38.0,64.67225050426865
0,39.0,64.67712711133235
0,40.0,64.67712711133284
0,41.0,64.67712711133284
0,42.0,65.67712711133284
0,43.0,66.67712711133288
0,44.0,66.67712711133288
0,45.0,66.67712711133288
0,46.0,66.67712711133288
0,47.0,68.6671271113329
0,48.0,69.64732513113488
0,49.0,69.64732513113488
0,50.0,69.64732513113488
0,51.0,69.66626823436226
0,52.0,69.66626823436226
0,53.0,70.67104875064638
0,54.0,70.67114484142596
0,55.0,70.67114484142596
0,56.0,70.67114484142596
0,57.0,70.67114484142596
0,58.0,72.65568295458758
0,59.0,72.65568295458758
0,60.0,72.65568295458758
0,61.0,72.65568295458758
0,62.0,72.65573099997737
0,63.0,72.65573099997737
0,64.0,72.65573099997737
0,65.0,72.65573099997737
0,66.0,72.65573099997737
0,67.0,73.63100080631462
0,68.0,76.6011988261166
0,69.0,77.5911988261166
0,70.0,77.5911988261166
0,71.0,78.5911988261166
0,72.0,78.5911988261166
0,73.0,78.5911988261166
0,74.0,78.5911988261166
0,75.0,78.5960287867592
0,76.0,78.5960287867592
0,77.0,78.5960287867592
0,78.0,78.5960287867592
0,79.0,78.59602949330906
0,80.0,78.59602949330906
0,81.0,79.59607705824494
0,82.0,79.59971480596121
0,83.0,79.59971480596121
0,84.0,79.599762851351
0,85.0,79.599762851351
0,86.0,80.599762851351
0,87.0,81.59976350275551
