,xLocState,yLocState,locTypeState,xVelState,yVelState,indexMap,currentValue
0,9,1,.,-5,-5,0,-0.0004647052996349
1,9,1,.,-5,-4,1,-0.0001479165539389
2,9,1,.,-5,-3,2,-0.0017636192998325
3,9,1,.,-5,-2,3,-0.0003673080618487
4,9,1,.,-5,-1,4,-14.506097614915577
5,9,1,.,-5,0,5,-14.286220741816187
6,9,1,.,-5,1,6,-0.0024936278642757
7,9,1,.,-5,2,7,-0.0027523222620652
8,9,1,.,-5,3,8,-0.0018657200784443
9,9,1,.,-5,4,9,-0.0004908841937474
10,9,1,.,-5,5,10,-0.0007797208822811
11,9,1,.,-4,-5,11,-0.0023350825567363
12,9,1,.,-4,-4,12,-0.0007311875067136
13,9,1,.,-4,-3,13,-0.0007168038473935
14,9,1,.,-4,-2,14,-0.0007093925303842
15,9,1,.,-4,-1,15,-13.124573748827975
16,9,1,.,-4,0,16,-14.79096597462869
17,9,1,.,-4,1,17,-0.0023774653775297
18,9,1,.,-4,2,18,-0.0012154819151225
19,9,1,.,-4,3,19,-0.0033953355149627
20,9,1,.,-4,4,20,-0.001082717910439
21,9,1,.,-4,5,21,-0.006880631153545
22,9,1,.,-3,-5,22,-0.0014395434514799
23,9,1,.,-3,-4,23,-0.0024279548554864
24,9,1,.,-3,-3,24,-4.428575279606488e-05
25,9,1,.,-3,-2,25,-0.0001001937075037
26,9,1,.,-3,-1,26,-14.70736628516383
27,9,1,.,-3,0,27,-14.933364036734645
28,9,1,.,-3,1,28,-0.0003511398540796
29,9,1,.,-3,2,29,-0.0010940530846877
30,9,1,.,-3,3,30,-0.000437614194597
31,9,1,.,-3,4,31,-9.699037137765251e-06
32,9,1,.,-3,5,32,-0.0003346435464385
33,9,1,.,-2,-5,33,-0.0001300006784602
34,9,1,.,-2,-4,34,-0.0031978741891851
35,9,1,.,-2,-3,35,-0.0004184652082758
36,9,1,.,-2,-2,36,-0.0003770870836923
37,9,1,.,-2,-1,37,-14.085603474337576
38,9,1,.,-2,0,38,-14.016588390694556
39,9,1,.,-2,1,39,-9.850822253366571e-06
40,9,1,.,-2,2,40,-0.0007538467871917
41,9,1,.,-2,3,41,-0.0023129174541613
42,9,1,.,-2,4,42,-0.0039001719670474
43,9,1,.,-2,5,43,-0.0013490025965558
44,9,1,.,-1,-5,44,-0.0001497645940661
45,9,1,.,-1,-4,45,-0.0028712661260681
46,9,1,.,-1,-3,46,-8.155422084085012e-05
47,9,1,.,-1,-2,47,-0.0007663841215449
48,9,1,.,-1,-1,48,-14.252195880724454
49,9,1,.,-1,0,49,-15.545115167014634
50,9,1,.,-1,1,50,-0.0013096096555182
51,9,1,.,-1,2,51,-0.001320661911093
52,9,1,.,-1,3,52,-3.757584705011384e-05
53,9,1,.,-1,4,53,-0.0030739286921248
54,9,1,.,-1,5,54,-0.0004113056340509
55,9,1,.,0,-5,55,-0.00045650764506
56,9,1,.,0,-4,56,-0.0003368763709428
57,9,1,.,0,-3,57,-0.0026795659843127
58,9,1,.,0,-2,58,-0.0012893624668435
59,9,1,.,0,-1,59,-15.741317093799516
60,9,1,.,0,0,60,-15.215803176663458
61,9,1,.,0,1,61,-0.0003942693068795
62,9,1,.,0,2,62,-0.0002490499517569
63,9,1,.,0,3,63,-0.0010391767792779
64,9,1,.,0,4,64,-0.0019832891768167
65,9,1,.,0,5,65,-0.0045232445037729
66,9,1,.,1,-5,66,-0.0014380804714554
67,9,1,.,1,-4,67,-0.0004829252390357
68,9,1,.,1,-3,68,-0.0005398455013459
69,9,1,.,1,-2,69,-19.87502331667337
70,9,1,.,1,-1,70,-15.62583253909963
71,9,1,.,1,0,71,-0.0010713075000051
72,9,1,.,1,1,72,-0.0012256273581211
73,9,1,.,1,2,73,-0.0041919660410869
74,9,1,.,1,3,74,-1.972474236241508e-05
75,9,1,.,1,4,75,-0.0023058629956526
76,9,1,.,1,5,76,-0.001669777153506
77,9,1,.,2,-5,77,-0.0018024569215503
78,9,1,.,2,-4,78,-0.0016996706922424
79,9,1,.,2,-3,79,-21.64335528284232
80,9,1,.,2,-2,80,-15.378865027564007
81,9,1,.,2,-1,81,-0.0001838309694513
82,9,1,.,2,0,82,-0.001099885072919
83,9,1,.,2,1,83,-0.0008481620792224
84,9,1,.,2,2,84,-6.030279236138476e-05
85,9,1,.,2,3,85,-0.0004841861231696
86,9,1,.,2,4,86,-0.0014051232905511
87,9,1,.,2,5,87,-0.001022710788594
88,9,1,.,3,-5,88,-0.0010601681253486
89,9,1,.,3,-4,89,-19.644961763493765
90,9,1,.,3,-3,90,-21.618140471436593
91,9,1,.,3,-2,91,-20.11339802094946
92,9,1,.,3,-1,92,-0.0002816835608446
93,9,1,.,3,0,93,-0.0057606329705837
94,9,1,.,3,1,94,-0.0018510925968311
95,9,1,.,3,2,95,-0.0021459968255648
96,9,1,.,3,3,96,-0.0044669099557686
97,9,1,.,3,4,97,-0.0005817001432323
98,9,1,.,3,5,98,-0.0002143020486103
99,9,1,.,4,-5,99,-0.0013175282290687
100,9,1,.,4,-4,100,-0.0023661215754834
101,9,1,.,4,-3,101,-0.0001716003464672
102,9,1,.,4,-2,102,-0.0039765450552456
103,9,1,.,4,-1,103,-0.000378493458692
104,9,1,.,4,0,104,-0.001053734482585
105,9,1,.,4,1,105,-0.0016221315174724
106,9,1,.,4,2,106,-0.0001547030635353
107,9,1,.,4,3,107,-0.0017289041303142
108,9,1,.,4,4,108,-6.669312452086545e-05
109,9,1,.,4,5,109,-0.0001577300584445
