,xLocState,yLocState,locTypeState,xVelState,yVelState,indexMap,currentValue
0,9,1,.,-5,-5,0,0
1,9,1,.,-5,-4,1,0
2,9,1,.,-5,-3,2,0
3,9,1,.,-5,-2,3,0
4,9,1,.,-5,-1,4,0
5,9,1,.,-5,0,5,0
6,9,1,.,-5,1,6,0
7,9,1,.,-5,2,7,0
8,9,1,.,-5,3,8,0
9,9,1,.,-5,4,9,0
10,9,1,.,-5,5,10,0
11,9,1,.,-4,-5,11,0
12,9,1,.,-4,-4,12,0
13,9,1,.,-4,-3,13,0
14,9,1,.,-4,-2,14,0
15,9,1,.,-4,-1,15,0
16,9,1,.,-4,0,16,0
17,9,1,.,-4,1,17,0
18,9,1,.,-4,2,18,0
19,9,1,.,-4,3,19,0
20,9,1,.,-4,4,20,0
21,9,1,.,-4,5,21,0
22,9,1,.,-3,-5,22,0
23,9,1,.,-3,-4,23,0
24,9,1,.,-3,-3,24,0
25,9,1,.,-3,-2,25,0
26,9,1,.,-3,-1,26,0
27,9,1,.,-3,0,27,0
28,9,1,.,-3,1,28,0
29,9,1,.,-3,2,29,0
30,9,1,.,-3,3,30,0
31,9,1,.,-3,4,31,0
32,9,1,.,-3,5,32,0
33,9,1,.,-2,-5,33,0
34,9,1,.,-2,-4,34,0
35,9,1,.,-2,-3,35,0
36,9,1,.,-2,-2,36,0
37,9,1,.,-2,-1,37,0
38,9,1,.,-2,0,38,0
39,9,1,.,-2,1,39,0
40,9,1,.,-2,2,40,0
41,9,1,.,-2,3,41,0
42,9,1,.,-2,4,42,0
43,9,1,.,-2,5,43,0
44,9,1,.,-1,-5,44,0
45,9,1,.,-1,-4,45,0
46,9,1,.,-1,-3,46,0
47,9,1,.,-1,-2,47,0
48,9,1,.,-1,-1,48,0
49,9,1,.,-1,0,49,0
50,9,1,.,-1,1,50,0
51,9,1,.,-1,2,51,0
52,9,1,.,-1,3,52,0
53,9,1,.,-1,4,53,0
54,9,1,.,-1,5,54,0
55,9,1,.,0,-5,55,0
56,9,1,.,0,-4,56,0
57,9,1,.,0,-3,57,0
58,9,1,.,0,-2,58,0
59,9,1,.,0,-1,59,0
60,9,1,.,0,0,60,0
61,9,1,.,0,1,61,0
62,9,1,.,0,2,62,0
63,9,1,.,0,3,63,0
64,9,1,.,0,4,64,0
65,9,1,.,0,5,65,0
66,9,1,.,1,-5,66,0
67,9,1,.,1,-4,67,0
68,9,1,.,1,-3,68,0
69,9,1,.,1,-2,69,0
70,9,1,.,1,-1,70,0
71,9,1,.,1,0,71,0
72,9,1,.,1,1,72,0
73,9,1,.,1,2,73,0
74,9,1,.,1,3,74,0
75,9,1,.,1,4,75,0
76,9,1,.,1,5,76,0
77,9,1,.,2,-5,77,0
78,9,1,.,2,-4,78,0
79,9,1,.,2,-3,79,0
80,9,1,.,2,-2,80,0
81,9,1,.,2,-1,81,0
82,9,1,.,2,0,82,0
83,9,1,.,2,1,83,0
84,9,1,.,2,2,84,0
85,9,1,.,2,3,85,0
86,9,1,.,2,4,86,0
87,9,1,.,2,5,87,0
88,9,1,.,3,-5,88,0
89,9,1,.,3,-4,89,0
90,9,1,.,3,-3,90,0
91,9,1,.,3,-2,91,0
92,9,1,.,3,-1,92,0
93,9,1,.,3,0,93,0
94,9,1,.,3,1,94,0
95,9,1,.,3,2,95,0
96,9,1,.,3,3,96,0
97,9,1,.,3,4,97,0
98,9,1,.,3,5,98,0
99,9,1,.,4,-5,99,0
100,9,1,.,4,-4,100,0
101,9,1,.,4,-3,101,0
102,9,1,.,4,-2,102,0
103,9,1,.,4,-1,103,0
104,9,1,.,4,0,104,0
105,9,1,.,4,1,105,0
106,9,1,.,4,2,106,0
107,9,1,.,4,3,107,0
108,9,1,.,4,4,108,0
109,9,1,.,4,5,109,0
110,9,1,.,5,-5,110,0
111,9,1,.,5,-4,111,0
112,9,1,.,5,-3,112,0
113,9,1,.,5,-2,113,0
114,9,1,.,5,-1,114,0
115,9,1,.,5,0,115,0
116,9,1,.,5,1,116,0
117,9,1,.,5,2,117,0
118,9,1,.,5,3,118,0
119,9,1,.,5,4,119,0
120,9,1,.,5,5,120,0
121,10,1,.,-5,-5,121,0
122,10,1,.,-5,-4,122,0
123,10,1,.,-5,-3,123,0
124,10,1,.,-5,-2,124,0
125,10,1,.,-5,-1,125,0
126,10,1,.,-5,0,126,0
127,10,1,.,-5,1,127,0
128,10,1,.,-5,2,128,0
129,10,1,.,-5,3,129,0
130,10,1,.,-5,4,130,0
131,10,1,.,-5,5,131,0
