,xLocState,yLocState,locTypeState,xVelState,yVelState,indexMap,currentValue
0,9,1,.,-5,-5,0,-30.631561244974097
1,9,1,.,-5,-4,1,-30.631561244974097
2,9,1,.,-5,-3,2,-30.631561244974097
3,9,1,.,-5,-2,3,-30.631561244974097
4,9,1,.,-5,-1,4,-30.631561244974097
5,9,1,.,-5,0,5,-30.631561244974097
6,9,1,.,-5,1,6,-30.631561244974097
7,9,1,.,-5,2,7,-30.631561244974097
8,9,1,.,-5,3,8,-30.770298116245655
9,9,1,.,-5,4,9,-31.32524560133189
10,9,1,.,-5,5,10,-31.32524560133189
11,9,1,.,-4,-5,11,-30.631561244974097
12,9,1,.,-4,-4,12,-30.631561244974097
13,9,1,.,-4,-3,13,-30.631561244974097
14,9,1,.,-4,-2,14,-30.631561244974097
15,9,1,.,-4,-1,15,-30.631561244974097
16,9,1,.,-4,0,16,-30.631561244974097
17,9,1,.,-4,1,17,-29.283743843104286
18,9,1,.,-4,2,18,-29.42248071437584
19,9,1,.,-4,3,19,-29.42248071437584
20,9,1,.,-4,4,20,-29.70105031539534
21,9,1,.,-4,5,21,-30.770298116245655
22,9,1,.,-3,-5,22,-30.631561244974097
23,9,1,.,-3,-4,23,-30.631561244974097
24,9,1,.,-3,-3,24,-30.631561244974097
25,9,1,.,-3,-2,25,-30.631561244974097
26,9,1,.,-3,-1,26,-30.631561244974097
27,9,1,.,-3,0,27,-26.67879399821509
28,9,1,.,-3,1,28,-26.67879399821509
29,9,1,.,-3,2,29,-26.34183964774764
30,9,1,.,-3,3,30,-26.472173414906706
31,9,1,.,-3,4,31,-28.96101802094873
32,9,1,.,-3,5,32,-30.631561244974097
33,9,1,.,-2,-5,33,-30.631561244974097
34,9,1,.,-2,-4,34,-30.631561244974097
35,9,1,.,-2,-3,35,-30.631561244974097
36,9,1,.,-2,-2,36,-30.631561244974097
37,9,1,.,-2,-1,37,-30.631561244974097
38,9,1,.,-2,0,38,-25.370788890601894
39,9,1,.,-2,1,39,-24.382597078912145
40,9,1,.,-2,2,40,-24.39776992063819
41,9,1,.,-2,3,41,-26.310800144022803
42,9,1,.,-2,4,42,-28.916820360588172
43,9,1,.,-2,5,43,-30.631561244974097
44,9,1,.,-1,-5,44,-30.631561244974097
45,9,1,.,-1,-4,45,-30.631561244974097
46,9,1,.,-1,-3,46,-30.631561244974097
47,9,1,.,-1,-2,47,-30.631561244974097
48,9,1,.,-1,-1,48,-24.3419279177112
49,9,1,.,-1,0,49,-24.3419279177112
50,9,1,.,-1,1,50,-23.026734829118148
51,9,1,.,-1,2,51,-23.70801903045668
52,9,1,.,-1,3,52,-26.739485365119286
53,9,1,.,-1,4,53,-28.916820360588172
54,9,1,.,-1,5,54,-30.631561244974097
55,9,1,.,0,-5,55,-30.631561244974097
56,9,1,.,0,-4,56,-30.631561244974097
57,9,1,.,0,-3,57,-30.631561244974097
58,9,1,.,0,-2,58,-30.631561244974097
59,9,1,.,0,-1,59,-23.561822063950412
60,9,1,.,0,0,60,-21.989413732134686
61,9,1,.,0,1,61,-22.044542467740982
62,9,1,.,0,2,62,-23.99717235120629
63,9,1,.,0,3,63,-27.213865926255313
64,9,1,.,0,4,64,-30.631561244974097
65,9,1,.,0,5,65,-30.631561244974097
66,9,1,.,1,-5,66,-30.631561244974097
67,9,1,.,1,-4,67,-30.631561244974097
68,9,1,.,1,-3,68,-30.631561244974097
69,9,1,.,1,-2,69,-30.631561244974097
70,9,1,.,1,-1,70,-23.041096238308576
71,9,1,.,1,0,71,-21.273661443052656
72,9,1,.,1,1,72,-21.347814797048734
73,9,1,.,1,2,73,-23.53847894331169
74,9,1,.,1,3,74,-30.631561244974097
75,9,1,.,1,4,75,-30.631561244974097
76,9,1,.,1,5,76,-30.631561244974097
77,9,1,.,2,-5,77,-30.631561244974097
78,9,1,.,2,-4,78,-30.631561244974097
79,9,1,.,2,-3,79,-30.631561244974097
80,9,1,.,2,-2,80,-30.631561244974097
81,9,1,.,2,-1,81,-22.860398360667897
82,9,1,.,2,0,82,-20.962782109001516
83,9,1,.,2,1,83,-21.05244356743441
84,9,1,.,2,2,84,-23.288431561781202
85,9,1,.,2,3,85,-30.631561244974097
86,9,1,.,2,4,86,-30.631561244974097
87,9,1,.,2,5,87,-30.631561244974097
88,9,1,.,3,-5,88,-30.631561244974097
89,9,1,.,3,-4,89,-30.631561244974097
90,9,1,.,3,-3,90,-30.631561244974097
91,9,1,.,3,-2,91,-30.631561244974097
92,9,1,.,3,-1,92,-22.860398360667897
93,9,1,.,3,0,93,-20.91760763959135
94,9,1,.,3,1,94,-20.989931722051786
95,9,1,.,3,2,95,-23.288431561781202
96,9,1,.,3,3,96,-30.631561244974097
97,9,1,.,3,4,97,-30.631561244974097
98,9,1,.,3,5,98,-30.631561244974097
99,9,1,.,4,-5,99,-30.631561244974097
100,9,1,.,4,-4,100,-30.631561244974097
101,9,1,.,4,-3,101,-30.631561244974097
102,9,1,.,4,-2,102,-30.631561244974097
103,9,1,.,4,-1,103,-22.860398360667897
104,9,1,.,4,0,104,-21.074342992714236
105,9,1,.,4,1,105,-21.063189649043718
106,9,1,.,4,2,106,-23.288431561781202
107,9,1,.,4,3,107,-30.631561244974097
108,9,1,.,4,4,108,-30.631561244974097
109,9,1,.,4,5,109,-30.631561244974097
110,9,1,.,5,-5,110,-30.631561244974097
111,9,1,.,5,-4,111,-30.631561244974097
112,9,1,.,5,-3,112,-30.631561244974097
113,9,1,.,5,-2,113,-30.631561244974097
114,9,1,.,5,-1,114,-23.487339773159448
115,9,1,.,5,0,115,-22.887254535199222
116,9,1,.,5,1,116,-22.892560980147906
