,EpochNumber,SumOfValues
0,0.0,0.0
0,1.0,0.0
0,2.0,1.0
0,3.0,7.0
0,4.0,9.98989416669636
0,5.0,15.97999999999839
0,6.0,19.98980149253732
0,7.0,22.97918222431036
0,8.0,26.96961817833316
0,9.0,28.92034320290048
0,10.0,35.80114424795761
0,11.0,36.80114426582918
0,12.0,36.80114426587951
0,13.0,40.7440014087496
0,14.0,43.731037267628096
0,15.0,44.80507853658146
0,16.0,50.81166893780451
0,17.0,56.80590527253538
0,18.0,58.78113318489135
0,19.0,60.76625062314545
0,20.0,64.74162343410336
0,21.0,65.74167446102206
0,22.0,67.76110353026547
0,23.0,68.70398330495425
0,24.0,68.70399189674006
0,25.0,69.73692975959932
0,26.0,69.75128570869661
0,27.0,69.75128570884424
0,28.0,70.74118817699978
0,29.0,70.75561415484705
0,30.0,71.75054114722988
0,31.0,73.75054364995994
0,32.0,74.75055033190583
0,33.0,78.74547582863191
0,34.0,81.72547582863264
0,35.0,83.68582308423025
0,36.0,84.67089773453176
0,37.0,85.66080020926205
0,38.0,85.66080020926205
0,39.0,87.65080020926204
0,40.0,87.65080020955887
0,41.0,88.65080020980746
0,42.0,90.55959823980854
0,43.0,91.5595982399987
0,44.0,91.55959824041004
0,45.0,91.55959824044314
0,46.0,93.61566986358667
0,47.0,94.54421438029178
0,48.0,94.54421438032982
0,49.0,94.5442143803324
0,50.0,94.5442143803324
0,51.0,94.54421438033468
0,52.0,94.54426194527156
0,53.0,96.53426194527172
0,54.0,96.53426194527174
0,55.0,96.53426194527174
0,56.0,96.53426194527174
0,57.0,96.53426194527248
0,58.0,98.50948652535384
0,59.0,98.50948652535388
0,60.0,98.51242988247648
0,61.0,98.51242988247648
0,62.0,98.51247746106084
0,63.0,98.51740283132462
0,64.0,98.52217417840268
0,65.0,98.52217417840268
0,66.0,98.52217417840268
0,67.0,98.52217417840268
0,68.0,98.5221755846432
0,69.0,98.5221755846432
0,70.0,98.52217558472812
0,71.0,98.52217558472891
0,72.0,98.52217558472891
0,73.0,98.52217558472891
0,74.0,98.52217558472891
0,75.0,98.5595047284843
0,76.0,98.56543631575936
0,77.0,98.56543631575936
0,78.0,98.57514148449695
0,79.0,98.5751414844971
0,80.0,98.5751414844971
0,81.0,98.5751414844971
0,82.0,98.57597172262363
0,83.0,98.57597172262363
0,84.0,98.57597172262363
0,85.0,98.58084832968736
0,86.0,98.58084832968736
0,87.0,98.58084832968736
