,xLocState,yLocState,locTypeState,xVelState,yVelState,indexMap,currentValue
0,9,1,.,-5,-5,0,-0.001124777628673
1,9,1,.,-5,-4,1,-0.0021081224966143
2,9,1,.,-5,-3,2,-0.000257353776676
3,9,1,.,-5,-2,3,-0.0014996055276772
4,9,1,.,-5,-1,4,-11.476027902792431
5,9,1,.,-5,0,5,-11.997147646020558
6,9,1,.,-5,1,6,-0.0013630921786239
7,9,1,.,-5,2,7,-0.0001210080420162
8,9,1,.,-5,3,8,-0.0001048931489214
9,9,1,.,-5,4,9,-0.0004022729036721
10,9,1,.,-5,5,10,-0.0004573125144744
11,9,1,.,-4,-5,11,-0.001595208396497
12,9,1,.,-4,-4,12,-0.0007543974237481
13,9,1,.,-4,-3,13,-0.0010101748629857
14,9,1,.,-4,-2,14,-0.00107799095805
15,9,1,.,-4,-1,15,-11.27309481288212
16,9,1,.,-4,0,16,-11.436721399600753
17,9,1,.,-4,1,17,-0.0010524264032341
18,9,1,.,-4,2,18,-0.0005601708069177
19,9,1,.,-4,3,19,-0.0019653282076872
20,9,1,.,-4,4,20,-0.0001410350505735
21,9,1,.,-4,5,21,-0.0006240060123418
22,9,1,.,-3,-5,22,-0.002003400104529
23,9,1,.,-3,-4,23,-0.0007943691378465
24,9,1,.,-3,-3,24,-0.002550257082399
25,9,1,.,-3,-2,25,-2.440184056801825e-05
26,9,1,.,-3,-1,26,-12.253129363246956
27,9,1,.,-3,0,27,-12.268876235672227
28,9,1,.,-3,1,28,-0.001028609522407
29,9,1,.,-3,2,29,-0.0013248165743423
30,9,1,.,-3,3,30,-0.001524393457854
31,9,1,.,-3,4,31,-0.0024057499606821
32,9,1,.,-3,5,32,-0.000705565971534
33,9,1,.,-2,-5,33,-0.0023473713674684
34,9,1,.,-2,-4,34,-9.028231158304116e-05
35,9,1,.,-2,-3,35,-0.0019558861274545
36,9,1,.,-2,-2,36,-0.0042274743125391
37,9,1,.,-2,-1,37,-12.988434655934718
38,9,1,.,-2,0,38,-12.257518349180708
39,9,1,.,-2,1,39,-0.0012894181528736
40,9,1,.,-2,2,40,-1.0700233040590937e-05
41,9,1,.,-2,3,41,-0.0018332573729935
42,9,1,.,-2,4,42,-0.0026613112782373
43,9,1,.,-2,5,43,-0.0007713122855198
44,9,1,.,-1,-5,44,-0.0006590478605553
45,9,1,.,-1,-4,45,-0.0003805600797597
46,9,1,.,-1,-3,46,-0.0021953263577711
47,9,1,.,-1,-2,47,-0.0028606284297319
48,9,1,.,-1,-1,48,-12.845386942532718
49,9,1,.,-1,0,49,-13.366788304473452
50,9,1,.,-1,1,50,-0.0013679468319513
51,9,1,.,-1,2,51,-0.0008164722157773
52,9,1,.,-1,3,52,-0.0002373701138705
53,9,1,.,-1,4,53,-0.0020901423122857
54,9,1,.,-1,5,54,-0.0002208259632494
55,9,1,.,0,-5,55,-0.0002260914500836
56,9,1,.,0,-4,56,-0.0002116101147513
57,9,1,.,0,-3,57,-0.0010693000027634
58,9,1,.,0,-2,58,-0.0019149571566582
59,9,1,.,0,-1,59,-13.98911291083504
60,9,1,.,0,0,60,-13.994117243496401
61,9,1,.,0,1,61,-0.0002421070051744
62,9,1,.,0,2,62,-0.0002066499983226
