,EpochNumber,SumOfValues
0,0.0,0.0
0,1.0,0.0
0,2.0,3.0
0,3.0,6.98796992481203
0,4.0,7.989999998331222
0,5.0,7.9899999999903155
0,6.0,8.99046646076349
0,7.0,12.00945766218406
0,8.0,15.00945766218413
0,9.0,16.00945766218413
0,10.0,17.00945766218413
0,11.0,20.969296708501066
0,12.0,23.959951233929363
0,13.0,26.961249207041863
0,14.0,29.96125008237511
0,15.0,30.998386800151337
0,16.0,34.968054651306865
0,17.0,39.86789519998232
0,18.0,44.82872345750761
0,19.0,45.956979200237086
0,20.0,50.83331719423532
0,21.0,53.86915443354909
0,22.0,55.935206520957166
0,23.0,57.91239060303526
0,24.0,59.90776884740077
0,25.0,59.91508422623984
0,26.0,65.8168333748198
0,27.0,65.76047178020832
0,28.0,67.7344794607113
0,29.0,68.84826958002935
0,30.0,67.7662511750209
0,31.0,68.7640353718129
0,32.0,72.72577356268877
0,33.0,74.94287706681511
0,34.0,73.77365514811899
0,35.0,73.74387248983834
0,36.0,73.74016315278439
0,37.0,73.73989006893589
0,38.0,74.73986745076252
0,39.0,74.73986587027542
0,40.0,74.7398654221497
0,41.0,74.73986523864262
0,42.0,74.73986593132148
0,43.0,74.73986592689988
0,44.0,74.73987361919518
0,45.0,75.56396391042466
0,46.0,74.9643887819909
0,47.0,77.72295169182655
0,48.0,76.86390304031828
0,49.0,76.05701817040645
0,50.0,79.52260630015888
0,51.0,81.65783353465831
0,52.0,80.7843907677845
0,53.0,82.77599935327537
0,54.0,84.05183612288931
0,55.0,83.78659338593987
0,56.0,83.75803428851295
0,57.0,83.72467559471828
0,58.0,83.73314526248073
0,59.0,83.72048412862289
0,60.0,83.7204841235325
0,61.0,83.72550274635653
0,62.0,83.73708214432473
0,63.0,83.70633591564625
0,64.0,83.70617404222186
0,65.0,83.70616138959889
0,66.0,84.74298855842855
0,67.0,84.1782573544318
0,68.0,83.73662924573912
0,69.0,83.73662924555093
0,70.0,83.70781971268853
0,71.0,83.70781971260324
0,72.0,83.70658172621309
0,73.0,83.70577716302891
0,74.0,83.70572604850169
0,75.0,84.70585078164218
0,76.0,84.70589882703199
0,77.0,86.66218861942413
0,78.0,86.89771232048035
0,79.0,87.3241287463003
0,80.0,86.73638691241591
0,81.0,86.69362276419037
0,82.0,87.68223282555896
0,83.0,88.90477305950613
0,84.0,88.71050304538029
0,85.0,89.49826689621108
0,86.0,92.82425449249116
