,xLocState,yLocState,locTypeState,xVelState,yVelState,indexMap,currentValue
0,9,1,.,-5,-5,0,-0.0037461506664013
1,9,1,.,-5,-4,1,-0.0001758291824138
2,9,1,.,-5,-3,2,-0.0003394389386069
3,9,1,.,-5,-2,3,-0.00120408063433
4,9,1,.,-5,-1,4,-8.123280377363297
5,9,1,.,-5,0,5,-7.498518474697742
6,9,1,.,-5,1,6,-0.0001154695029847
7,9,1,.,-5,2,7,-0.0004768540006132
8,9,1,.,-5,3,8,-0.0006716123443026
9,9,1,.,-5,4,9,-0.0004083833319208
10,9,1,.,-5,5,10,-0.0047675537467307
11,9,1,.,-4,-5,11,-0.0036250386623669
12,9,1,.,-4,-4,12,-0.0006689902816877
13,9,1,.,-4,-3,13,-0.0006928780341609
14,9,1,.,-4,-2,14,-0.0007089008377957
15,9,1,.,-4,-1,15,-8.592143363421416
16,9,1,.,-4,0,16,-6.61765885317781
17,9,1,.,-4,1,17,-0.0004009929642694
18,9,1,.,-4,2,18,-0.0007614213184515
19,9,1,.,-4,3,19,-0.0023345364429559
20,9,1,.,-4,4,20,-0.0018382340458383
21,9,1,.,-4,5,21,-0.0011763722976882
22,9,1,.,-3,-5,22,-8.887851431760296e-05
23,9,1,.,-3,-4,23,-0.0016651565897432
24,9,1,.,-3,-3,24,-0.001104510847321
25,9,1,.,-3,-2,25,-0.001050872235633
26,9,1,.,-3,-1,26,-8.810693648429664
27,9,1,.,-3,0,27,-8.639487368481339
28,9,1,.,-3,1,28,-0.0006199651237332
29,9,1,.,-3,2,29,-0.0024092161973949
30,9,1,.,-3,3,30,-0.0017428415231923
31,9,1,.,-3,4,31,-0.0013286019719837
32,9,1,.,-3,5,32,-0.004124913929944
33,9,1,.,-2,-5,33,-0.0004832225553815
34,9,1,.,-2,-4,34,-0.000456979704867
35,9,1,.,-2,-3,35,-0.0020066136003339
36,9,1,.,-2,-2,36,-1.7769204013983603e-05
37,9,1,.,-2,-1,37,-8.71311488804504
38,9,1,.,-2,0,38,-8.697589131915848
39,9,1,.,-2,1,39,-0.000265057060346
40,9,1,.,-2,2,40,-0.0001548506444117
41,9,1,.,-2,3,41,-0.0020363320793103
42,9,1,.,-2,4,42,-0.0015072010045403
43,9,1,.,-2,5,43,-0.0009569185884027
44,9,1,.,-1,-5,44,-0.0009220229751993
45,9,1,.,-1,-4,45,-0.0009094817259159
46,9,1,.,-1,-3,46,-0.0012402154433098
47,9,1,.,-1,-2,47,-0.0010812812143927
48,9,1,.,-1,-1,48,-8.792629142164511
49,9,1,.,-1,0,49,-8.916988852465273
50,9,1,.,-1,1,50,-0.0004956047398465
51,9,1,.,-1,2,51,-0.0011407135139143
52,9,1,.,-1,3,52,-0.0011583942736919
53,9,1,.,-1,4,53,-0.0001056738650269
54,9,1,.,-1,5,54,-0.0010237101840979
55,9,1,.,0,-5,55,-0.0045220963855481
56,9,1,.,0,-4,56,-0.0006458866136594
57,9,1,.,0,-3,57,-0.0014194536954749
58,9,1,.,0,-2,58,-0.0005373240755946
59,9,1,.,0,-1,59,-8.818176031719075
60,9,1,.,0,0,60,-8.84837484956439
61,9,1,.,0,1,61,-0.000389515662605
62,9,1,.,0,2,62,-0.0019204526154997
63,9,1,.,0,3,63,-0.0045538494722939
64,9,1,.,0,4,64,-0.0008024899478055
65,9,1,.,0,5,65,-0.0018477068219141
66,9,1,.,1,-5,66,-0.0005002446768337
67,9,1,.,1,-4,67,-0.0008359403958431
68,9,1,.,1,-3,68,-0.0009976147437894
69,9,1,.,1,-2,69,-8.914367704733193
70,9,1,.,1,-1,70,-8.897746216141503
71,9,1,.,1,0,71,-6.200963439577899e-05
72,9,1,.,1,1,72,-0.0002492511138067
73,9,1,.,1,2,73,-0.0003024874220581
74,9,1,.,1,3,74,-0.000949021563231
75,9,1,.,1,4,75,-0.0016183557644655
76,9,1,.,1,5,76,-0.0007075935737642
77,9,1,.,2,-5,77,-0.0018814170654049
78,9,1,.,2,-4,78,-0.0054267370336317
79,9,1,.,2,-3,79,-8.9272332433259
80,9,1,.,2,-2,80,-8.961735684441939
81,9,1,.,2,-1,81,-0.0011780374517236
82,9,1,.,2,0,82,-0.0004602274684803
83,9,1,.,2,1,83,-0.0046955960783767
84,9,1,.,2,2,84,-0.0010716497205478
85,9,1,.,2,3,85,-0.0061746244873634
86,9,1,.,2,4,86,-0.0003707463040901
87,9,1,.,2,5,87,-0.0010329211660782
88,9,1,.,3,-5,88,-0.0002068133220214
89,9,1,.,3,-4,89,-8.955095831261474
90,9,1,.,3,-3,90,-8.954039098873572
91,9,1,.,3,-2,91,-8.954282893856377
92,9,1,.,3,-1,92,-2.5729554189659817e-05
93,9,1,.,3,0,93,-0.0005016932570405
94,9,1,.,3,1,94,-0.0036218349876575
95,9,1,.,3,2,95,-0.0001091754373171
96,9,1,.,3,3,96,-0.0012164659238741
97,9,1,.,3,4,97,-0.002588783304502
98,9,1,.,3,5,98,-0.0007280018567687
99,9,1,.,4,-5,99,-0.0065724154039503
100,9,1,.,4,-4,100,-0.0011006580714832
101,9,1,.,4,-3,101,-0.0026610235051083
102,9,1,.,4,-2,102,-0.0004446848600333
103,9,1,.,4,-1,103,-0.0035489140781048
104,9,1,.,4,0,104,-0.0049593362294688
105,9,1,.,4,1,105,-0.0007761013221586
106,9,1,.,4,2,106,-0.0017471307141019
107,9,1,.,4,3,107,-0.002101472671059
108,9,1,.,4,4,108,-0.0001824513243861
109,9,1,.,4,5,109,-0.0026593486249462
110,9,1,.,5,-5,110,-0.0026054167610258
111,9,1,.,5,-4,111,-0.0038140849592552
112,9,1,.,5,-3,112,-0.0010418065659525
113,9,1,.,5,-2,113,-0.0035625038297623
114,9,1,.,5,-1,114,-0.0014425963523409
115,9,1,.,5,0,115,-0.0002531357004969
116,9,1,.,5,1,116,-0.0043397335339977
117,9,1,.,5,2,117,-0.0005012933660338
118,9,1,.,5,3,118,-0.0001996373848322
119,9,1,.,5,4,119,-3.586206594935297e-05
120,9,1,.,5,5,120,-0.0035467574978506
121,10,1,.,-5,-5,121,-0.0016648428447158
122,10,1,.,-5,-4,122,-0.001144020241232
123,10,1,.,-5,-3,123,-0.0024115850861606
124,10,1,.,-5,-2,124,-2.7079441333797045
125,10,1,.,-5,-1,125,-4.882926765356895
126,10,1,.,-5,0,126,-8.308229893493309
127,10,1,.,-5,1,127,-0.0004588602952862
128,10,1,.,-5,2,128,-0.0022776725500452
129,10,1,.,-5,3,129,-4.365975665349825e-06
130,10,1,.,-5,4,130,-0.0019806822615559
131,10,1,.,-5,5,131,-0.0009197133500276
132,10,1,.,-4,-5,132,-0.00252646445174
133,10,1,.,-4,-4,133,-0.0015548755719236
134,10,1,.,-4,-3,134,-0.0016044363624377
135,10,1,.,-4,-2,135,-0.0024421220884068
136,10,1,.,-4,-1,136,-7.797338946101462
137,10,1,.,-4,0,137,-8.311753680093744
138,10,1,.,-4,1,138,-0.000277279215281
139,10,1,.,-4,2,139,-0.0003983859521003
140,10,1,.,-4,3,140,-0.0002683791200648
141,10,1,.,-4,4,141,-0.0010928967374899
142,10,1,.,-4,5,142,-0.0007624016388449
143,10,1,.,-3,-5,143,-0.0011368805835426
144,10,1,.,-3,-4,144,-0.004203834789274
145,10,1,.,-3,-3,145,-0.0020207586632517
146,10,1,.,-3,-2,146,-0.0003961048694269
147,10,1,.,-3,-1,147,-8.378817075298437
148,10,1,.,-3,0,148,-1.364392521418174
149,10,1,.,-3,1,149,-3.3672675068728564e-05
150,10,1,.,-3,2,150,-0.0021070908922088
151,10,1,.,-3,3,151,-0.0002409811935414
152,10,1,.,-3,4,152,-0.0038850337773608
153,10,1,.,-3,5,153,-4.785675628461023e-05
154,10,1,.,-2,-5,154,-5.234680459096849e-05
155,10,1,.,-2,-4,155,-0.0003956453910569
156,10,1,.,-2,-3,156,-0.0007802144486835
157,10,1,.,-2,-2,157,-0.0022771934539009
158,10,1,.,-2,-1,158,-8.879232406448837
159,10,1,.,-2,0,159,-8.730702985028541
160,10,1,.,-2,1,160,-0.002433839769786
161,10,1,.,-2,2,161,-0.0001999289982023
162,10,1,.,-2,3,162,-0.0023004675533675
163,10,1,.,-2,4,163,-0.00235477382295
164,10,1,.,-2,5,164,-0.0013843326386957
165,10,1,.,-1,-5,165,-0.0021160681605929
166,10,1,.,-1,-4,166,-0.0033762929974668
167,10,1,.,-1,-3,167,-0.0019118854538203
168,10,1,.,-1,-2,168,-1.5198468242194271e-05
169,10,1,.,-1,-1,169,-8.766927925925128
170,10,1,.,-1,0,170,-8.825536993821679
171,10,1,.,-1,1,171,-0.0004203965721547
172,10,1,.,-1,2,172,-0.0001325299418473
173,10,1,.,-1,3,173,-0.0003467755464541
174,10,1,.,-1,4,174,-0.0008675510784967
175,10,1,.,-1,5,175,-0.0005604196420416
176,10,1,.,0,-5,176,-0.0021402933375906
177,10,1,.,0,-4,177,-0.0022651409095856
178,10,1,.,0,-3,178,-0.0002468292379191
179,10,1,.,0,-2,179,-0.002539064576109
180,10,1,.,0,-1,180,-8.768516794998511
181,10,1,.,0,0,181,-8.888535623713794
182,10,1,.,0,1,182,-0.0002071041292862
183,10,1,.,0,2,183,-0.0034456799757485
184,10,1,.,0,3,184,-0.000944938833174
185,10,1,.,0,4,185,-0.0005534535739775
186,10,1,.,0,5,186,-0.0017584066019214
187,10,1,.,1,-5,187,-0.0025213765676687
188,10,1,.,1,-4,188,-0.0002334068606709
189,10,1,.,1,-3,189,-0.000385026144808
190,10,1,.,1,-2,190,-8.79782679280508
191,10,1,.,1,-1,191,-8.703468657879432
192,10,1,.,1,0,192,-8.607488736813425
193,10,1,.,1,1,193,-0.0008652306526128
